cityname,url
collab,https://www.instagram.com/explore/locations/109920613948719/collab/
comfortdelgro-driving-centre,https://www.instagram.com/explore/locations/282932689127469/comfortdelgro-driving-centre/
saturday-house,https://www.instagram.com/explore/locations/453214542/saturday-house/
comfort-driving-centre,https://www.instagram.com/explore/locations/226947920/comfort-driving-centre/
coatconut,https://www.instagram.com/explore/locations/183207705604421/coatconut/
singapore-civil-defence-force,https://www.instagram.com/explore/locations/217453726/singapore-civil-defence-force/
paya-lebar-fire-station,https://www.instagram.com/explore/locations/253751524/paya-lebar-fire-station/
fei-zhu-lok-lok,https://www.instagram.com/explore/locations/101493105241806/fei-zhu-lok-lok/
charles-keith-head-office-building,https://www.instagram.com/explore/locations/1614701/charles-keith-head-office-building/
chun-tsubaki,https://www.instagram.com/explore/locations/186078571939637/chun-tsubaki/
zervex-no-8-ubi-rd-2,https://www.instagram.com/explore/locations/4778896/zervex-no-8-ubi-rd-2/
hong-san-temple,https://www.instagram.com/explore/locations/1783609511942070/hong-san-temple/
hougang-sports-hall,https://www.instagram.com/explore/locations/347028075/hougang-sports-hall/
dhl-express-hq-tai-seng-road,https://www.instagram.com/explore/locations/407669389/dhl-express-hq-tai-seng-road/
ubi-avenue-4,https://www.instagram.com/explore/locations/1056941/ubi-avenue-4/
charles-keith,https://www.instagram.com/explore/locations/2112017708885669/charles-keith/
tai-seng-ave,https://www.instagram.com/explore/locations/148085655/tai-seng-ave/
parched-by-parchmen,https://www.instagram.com/explore/locations/106905814778128/parched-by-parchmen/
dhl-air-express-centre,https://www.instagram.com/explore/locations/1509265/dhl-air-express-centre/
nutrifirst,https://www.instagram.com/explore/locations/45193569/nutrifirst/
hq-scdf,https://www.instagram.com/explore/locations/1103354/hq-scdf/
recess-time,https://www.instagram.com/explore/locations/100282532837593/recess-time/
daiyusan-sushi-bar,https://www.instagram.com/explore/locations/108288788320176/daiyusan-sushi-bar/
racing-world,https://www.instagram.com/explore/locations/319741695/racing-world/
singtel-kim-chuan-datacenter,https://www.instagram.com/explore/locations/280451938/singtel-kim-chuan-datacenter/
10-kaki-bukit-rd-2-first-east-centre,https://www.instagram.com/explore/locations/222528575/10-kaki-bukit-rd-2-first-east-centre/
heaven-of-earth,https://www.instagram.com/explore/locations/701177209906436/heaven-of-earth/
ultimate-sup,https://www.instagram.com/explore/locations/110084777009522/ultimate-sup/
mount-vernon-singapore,https://www.instagram.com/explore/locations/274997188/mount-vernon-singapore/
cellarbration-singapore,https://www.instagram.com/explore/locations/367623146651026/cellarbration-singapore/
skm,https://www.instagram.com/explore/locations/280661905/skm/
1010-eating-house,https://www.instagram.com/explore/locations/261295468/1010-eating-house/
maestro-guitars,https://www.instagram.com/explore/locations/25059681183/maestro-guitars/
cheerforce-singapore,https://www.instagram.com/explore/locations/761330317310351/cheerforce-singapore/
home-fix-singapore,https://www.instagram.com/explore/locations/279899766/home-fix-singapore/
hello-group,https://www.instagram.com/explore/locations/658725587/hello-group/
mazda-ubi,https://www.instagram.com/explore/locations/263748995/mazda-ubi/
hq-scdf-ubi-avenue-4,https://www.instagram.com/explore/locations/242141798/hq-scdf-ubi-avenue-4/
port-26-by-chu-yi-kitchen,https://www.instagram.com/explore/locations/104950694804834/port-26-by-chu-yi-kitchen/
mcs-garage,https://www.instagram.com/explore/locations/243544097/mcs-garage/
honda-service-center,https://www.instagram.com/explore/locations/6534571/honda-service-center/
the-original-starbucks-pikes-placeseattle-wa,https://www.instagram.com/explore/locations/188553074569956/the-original-starbucks-pikes-placeseattle-wa/
mr-yakiniku,https://www.instagram.com/explore/locations/114544311239148/mr-yakiniku/
telescope-studios,https://www.instagram.com/explore/locations/844055432321551/telescope-studios/
arc-motorworks,https://www.instagram.com/explore/locations/108533911447927/arc-motorworks/
adidas-singapore,https://www.instagram.com/explore/locations/405797900240223/adidas-singapore/
old-trafford-stadium-manchester-england,https://www.instagram.com/explore/locations/265063456/old-trafford-stadium-manchester-england/
cagbalete-island-philipines,https://www.instagram.com/explore/locations/670448716304606/cagbalete-island-philipines/
