cityname,url
pasir-ris-singapore,https://www.instagram.com/explore/locations/214251066/pasir-ris-singapore/
pasir-ris-beach,https://www.instagram.com/explore/locations/100385978454907/pasir-ris-beach/
costa-ris,https://www.instagram.com/explore/locations/341025441/costa-ris/
georges-at-the-cove,https://www.instagram.com/explore/locations/1564650696916271/georges-at-the-cove/
the-palette-pasir-ris-grovesingapore-condominium,https://www.instagram.com/explore/locations/251640087/the-palette-pasir-ris-grovesingapore-condominium/
pasir-ris-elias-community-club,https://www.instagram.com/explore/locations/782658/pasir-ris-elias-community-club/
dnest,https://www.instagram.com/explore/locations/1022270633/dnest/
pasir-ris-drive-1,https://www.instagram.com/explore/locations/223963632/pasir-ris-drive-1/
stfu,https://www.instagram.com/explore/locations/622643481/stfu/
elias-road,https://www.instagram.com/explore/locations/1073878/elias-road/
coco-palms-singapore,https://www.instagram.com/explore/locations/519059821535738/coco-palms-singapore/
ohana-beach-house,https://www.instagram.com/explore/locations/1060655480675142/ohana-beach-house/
sungei-api-api,https://www.instagram.com/explore/locations/256235747/sungei-api-api/
ikea-tampines-singapore,https://www.instagram.com/explore/locations/1330220133764035/ikea-tampines-singapore/
the-wedding-present,https://www.instagram.com/explore/locations/246311274/the-wedding-present/
nv-residences,https://www.instagram.com/explore/locations/924877916/nv-residences/
the-butter-story,https://www.instagram.com/explore/locations/225866041095398/the-butter-story/
overseas-family-school,https://www.instagram.com/explore/locations/2241900166121638/overseas-family-school/
elias-green,https://www.instagram.com/explore/locations/235406208/elias-green/
orchid-garden,https://www.instagram.com/explore/locations/960151804173977/orchid-garden/
young-wild-free,https://www.instagram.com/explore/locations/750820449/young-wild-free/
livia-condo-at-paris-ris-grove-singapore-d18,https://www.instagram.com/explore/locations/236763163/livia-condo-at-paris-ris-grove-singapore-d18/
belysa-executive-condominium,https://www.instagram.com/explore/locations/263468008/belysa-executive-condominium/
georges-at-the-cove-pasir-ris-beach,https://www.instagram.com/explore/locations/1043241519058617/georges-at-the-cove-pasir-ris-beach/
ris-grandeur,https://www.instagram.com/explore/locations/1611280/ris-grandeur/
anytime-fitness-pasir-ris-elias,https://www.instagram.com/explore/locations/801324815/anytime-fitness-pasir-ris-elias/
headache-,https://www.instagram.com/explore/locations/662327882/headache-/
changi-airport-terminal-2-arrival-hall,https://www.instagram.com/explore/locations/251299282/changi-airport-terminal-2-arrival-hall/
pasir-ris-singapore-city,https://www.instagram.com/explore/locations/251845374/pasir-ris-singapore-city/
oasis-elias,https://www.instagram.com/explore/locations/8295647/oasis-elias/
summer-breeze-pasir-ris-park,https://www.instagram.com/explore/locations/640659/summer-breeze-pasir-ris-park/
fullerton-hotel-singapore,https://www.instagram.com/explore/locations/296474642/fullerton-hotel-singapore/
elias-mall,https://www.instagram.com/explore/locations/1161767/elias-mall/
livia,https://www.instagram.com/explore/locations/4586852/livia/
anytime-fitness-pasir-ris-elias-cc,https://www.instagram.com/explore/locations/1189521127898141/anytime-fitness-pasir-ris-elias-cc/
gayathri-menon-makeovers,https://www.instagram.com/explore/locations/217886208273482/gayathri-menon-makeovers/
elias-mall,https://www.instagram.com/explore/locations/2516426191715325/elias-mall/
riverina-crescent,https://www.instagram.com/explore/locations/1260930/riverina-crescent/
f45-training-pasir-ris-west,https://www.instagram.com/explore/locations/106078518399457/f45-training-pasir-ris-west/
east-coast-park-singapore,https://www.instagram.com/explore/locations/712925488/east-coast-park-singapore/
nv-residences-pasir-ris-grovesingapore-condominium,https://www.instagram.com/explore/locations/70558145/nv-residences-pasir-ris-grovesingapore-condominium/
tzu-chi-foundation-sg,https://www.instagram.com/explore/locations/549384411875629/tzu-chi-foundation-sg/
stratum,https://www.instagram.com/explore/locations/304339590/stratum/
show-room,https://www.instagram.com/explore/locations/103998123078140/show-room/
mcdonalds-elias-community-centre,https://www.instagram.com/explore/locations/762792976/mcdonalds-elias-community-centre/
blk-518-pasir-ris-st-52,https://www.instagram.com/explore/locations/623900/blk-518-pasir-ris-st-52/
cerebral-palsy-alliance-singapore,https://www.instagram.com/explore/locations/529854953761638/cerebral-palsy-alliance-singapore/
seafood-kitchen-elias-mall,https://www.instagram.com/explore/locations/259652733/seafood-kitchen-elias-mall/
beach-culture,https://www.instagram.com/explore/locations/488113/beach-culture/
pasir-ris-elias-road,https://www.instagram.com/explore/locations/760878309/pasir-ris-elias-road/
costa-ris-bto-pasir-ris,https://www.instagram.com/explore/locations/261428592/costa-ris-bto-pasir-ris/
the-palette-pasir-ris-grove,https://www.instagram.com/explore/locations/1016429778/the-palette-pasir-ris-grove/
scape-youth-park-singapore,https://www.instagram.com/explore/locations/598648352/scape-youth-park-singapore/
padang-cerminpesawaranindonesia,https://www.instagram.com/explore/locations/479678741/padang-cerminpesawaranindonesia/
childrens-playground-pasir-ris-park,https://www.instagram.com/explore/locations/1107543226075619/childrens-playground-pasir-ris-park/
mcdonalds-at-elias-mall,https://www.instagram.com/explore/locations/813314/mcdonalds-at-elias-mall/
elias-mall,https://www.instagram.com/explore/locations/487307618284689/elias-mall/
overseas-family-school-singapore,https://www.instagram.com/explore/locations/1025477563/overseas-family-school-singapore/
pasir-ris-grove,https://www.instagram.com/explore/locations/895863706/pasir-ris-grove/
pasir-ris-heights,https://www.instagram.com/explore/locations/2008133/pasir-ris-heights/
tampines-expressway,https://www.instagram.com/explore/locations/235973666/tampines-expressway/
riverina-view,https://www.instagram.com/explore/locations/1988148/riverina-view/
paris-ris-park-playground,https://www.instagram.com/explore/locations/611463729294227/paris-ris-park-playground/
somewhere-in-the-heaven,https://www.instagram.com/explore/locations/265587025/somewhere-in-the-heaven/
xiao-mu-deng-hot-pot,https://www.instagram.com/explore/locations/105639294796527/xiao-mu-deng-hot-pot/
tampines-greenfoliage,https://www.instagram.com/explore/locations/113059121413222/tampines-greenfoliage/
elias-park-primary-school,https://www.instagram.com/explore/locations/1129676/elias-park-primary-school/
cerebral-palsy-centre,https://www.instagram.com/explore/locations/247008969/cerebral-palsy-centre/
sophisticakes,https://www.instagram.com/explore/locations/437787656/sophisticakes/
in-your-head,https://www.instagram.com/explore/locations/195294087155019/in-your-head/
overseas-family-school,https://www.instagram.com/explore/locations/1033919635/overseas-family-school/
pasir-ris-st-52,https://www.instagram.com/explore/locations/7455033/pasir-ris-st-52/
tenet-ec-tampines-north-ec,https://www.instagram.com/explore/locations/101518839304841/tenet-ec-tampines-north-ec/
plaza-singapore,https://www.instagram.com/explore/locations/496495012/plaza-singapore/
heaven,https://www.instagram.com/explore/locations/284884831627295/heaven/
ris-grandeur-elias-roadpasir-rissingapore-condominium,https://www.instagram.com/explore/locations/258303698/ris-grandeur-elias-roadpasir-rissingapore-condominium/
