cityname,url
someplace-somewhere,https://www.instagram.com/explore/locations/104522377839669/someplace-somewhere/
paya-lebar-singapore,https://www.instagram.com/explore/locations/235565862/paya-lebar-singapore/
tampines-quarry,https://www.instagram.com/explore/locations/5959468/tampines-quarry/
tuah-enterprise,https://www.instagram.com/explore/locations/553554941519711/tuah-enterprise/
kampong-pinang-sebatang,https://www.instagram.com/explore/locations/121771527925523/kampong-pinang-sebatang/
tampines-quarry-lake,https://www.instagram.com/explore/locations/15261016/tampines-quarry-lake/
tanah-merah,https://www.instagram.com/explore/locations/1006861903/tanah-merah/
tampines-industrial-ave-2,https://www.instagram.com/explore/locations/1026928561/tampines-industrial-ave-2/
tampines-industrial-avenue-2,https://www.instagram.com/explore/locations/31748581/tampines-industrial-avenue-2/
sungei-tampines,https://www.instagram.com/explore/locations/133883113357783/sungei-tampines/
a33,https://www.instagram.com/explore/locations/108784697554234/a33/
wildflowers-cafe,https://www.instagram.com/explore/locations/111527833924910/wildflowers-cafe/
sg-rc-flying-field,https://www.instagram.com/explore/locations/288757614/sg-rc-flying-field/
tampines-industrial-avenue-2,https://www.instagram.com/explore/locations/351338302293089/tampines-industrial-avenue-2/
tampines-field,https://www.instagram.com/explore/locations/794466114/tampines-field/
singapore-expo-max-pavilion,https://www.instagram.com/explore/locations/352854009/singapore-expo-max-pavilion/
acme-taekwondosingapore,https://www.instagram.com/explore/locations/1386337834917191/acme-taekwondosingapore/
tbc,https://www.instagram.com/explore/locations/127759690629760/tbc/
field-near-tampines-quarry,https://www.instagram.com/explore/locations/268799110/field-near-tampines-quarry/
tampines-lake,https://www.instagram.com/explore/locations/12688212/tampines-lake/
douglas-fun-photography,https://www.instagram.com/explore/locations/801978619908878/douglas-fun-photography/
tampines-industrial-ave-2,https://www.instagram.com/explore/locations/673283170/tampines-industrial-ave-2/
station-23,https://www.instagram.com/explore/locations/1014845832/station-23/
tampines-industrial-field,https://www.instagram.com/explore/locations/1026785533/tampines-industrial-field/
spartanracesg2017-team-ninjasquad,https://www.instagram.com/explore/locations/1212107662235234/spartanracesg2017-team-ninjasquad/
lacuna-trails,https://www.instagram.com/explore/locations/1817274791889230/lacuna-trails/
perfumes-cosmetics-changi-airport-t2,https://www.instagram.com/explore/locations/1982705672028266/perfumes-cosmetics-changi-airport-t2/
swabhub-sg,https://www.instagram.com/explore/locations/112590161345466/swabhub-sg/
paris-baguette-plq-mall,https://www.instagram.com/explore/locations/113170538467061/paris-baguette-plq-mall/
tampines-lake,https://www.instagram.com/explore/locations/264976261035136/tampines-lake/
atas-pokok,https://www.instagram.com/explore/locations/136701999515966/atas-pokok/
virgin-active-singapore-paya-lebar,https://www.instagram.com/explore/locations/594309881029856/virgin-active-singapore-paya-lebar/
bukit-favisio-touiucity,https://www.instagram.com/explore/locations/827518614008984/bukit-favisio-touiucity/
floor,https://www.instagram.com/explore/locations/213819625330829/floor/
clearly-surely,https://www.instagram.com/explore/locations/104456088086187/clearly-surely/
somewhere-in-a-jungle,https://www.instagram.com/explore/locations/742954811/somewhere-in-a-jungle/
