cityname,url
burnt-ends-sg,https://www.instagram.com/explore/locations/213074006/burnt-ends-sg/
blu-kouzina,https://www.instagram.com/explore/locations/216248548/blu-kouzina/
da-paolo-dempsey-restaurant-bar,https://www.instagram.com/explore/locations/248745897/da-paolo-dempsey-restaurant-bar/
the-dempsey-project,https://www.instagram.com/explore/locations/108904687605459/the-dempsey-project/
chopsuey-cafe,https://www.instagram.com/explore/locations/59435257/chopsuey-cafe/
house-at-dempsey,https://www.instagram.com/explore/locations/212996622/house-at-dempsey/
min-jiang-at-dempsey,https://www.instagram.com/explore/locations/2448029988562335/min-jiang-at-dempsey/
canchita-peruvian-cuisine,https://www.instagram.com/explore/locations/107980304759207/canchita-peruvian-cuisine/
dawson-skyville-skyterrace,https://www.instagram.com/explore/locations/780496439/dawson-skyville-skyterrace/
siri-house-dempsey,https://www.instagram.com/explore/locations/532700287237254/siri-house-dempsey/
skyville-dawson,https://www.instagram.com/explore/locations/498830900616884/skyville-dawson/
burnt-ends-bakery,https://www.instagram.com/explore/locations/107947358002878/burnt-ends-bakery/
forketta,https://www.instagram.com/explore/locations/916513/forketta/
chang-korean-bbq-restaurant-,https://www.instagram.com/explore/locations/236970883/chang-korean-bbq-restaurant-/
portico-prime,https://www.instagram.com/explore/locations/250437775/portico-prime/
skyterrace-dawson,https://www.instagram.com/explore/locations/9491570/skyterrace-dawson/
venusology-cafe,https://www.instagram.com/explore/locations/113145778314114/venusology-cafe/
jiu-zhuang,https://www.instagram.com/explore/locations/68997319/jiu-zhuang/
strathmore-avenue,https://www.instagram.com/explore/locations/8321610/strathmore-avenue/
sushi-sato,https://www.instagram.com/explore/locations/109993841453332/sushi-sato/
tinto-spanish-restaurant-sg,https://www.instagram.com/explore/locations/109238512121771/tinto-spanish-restaurant-sg/
lucky-saigon-cafe,https://www.instagram.com/explore/locations/100759419141992/lucky-saigon-cafe/
flourish-bakehouse,https://www.instagram.com/explore/locations/102685878841530/flourish-bakehouse/
bukit-gombak-park,https://www.instagram.com/explore/locations/403028883133337/bukit-gombak-park/
ascentia-skyalexandra-viewsingapore-condominium,https://www.instagram.com/explore/locations/223940428/ascentia-skyalexandra-viewsingapore-condominium/
dawson-skyville,https://www.instagram.com/explore/locations/550562172/dawson-skyville/
phoenix-park-singapore,https://www.instagram.com/explore/locations/755431/phoenix-park-singapore/
skyparc-dawson,https://www.instagram.com/explore/locations/593490327679493/skyparc-dawson/
queenstown-secondary-school,https://www.instagram.com/explore/locations/645012797/queenstown-secondary-school/
house-dempsey,https://www.instagram.com/explore/locations/518953/house-dempsey/
singpet-pte-ltd,https://www.instagram.com/explore/locations/1016699430/singpet-pte-ltd/
redsea-gallery,https://www.instagram.com/explore/locations/236158222/redsea-gallery/
terra-madre-singapore,https://www.instagram.com/explore/locations/106126178380151/terra-madre-singapore/
alexandra-canal-linear-park,https://www.instagram.com/explore/locations/7113480/alexandra-canal-linear-park/
bincho-at-min-jiang,https://www.instagram.com/explore/locations/1951473604957968/bincho-at-min-jiang/
margaret-drive,https://www.instagram.com/explore/locations/575894369462370/margaret-drive/
edible-garden-city,https://www.instagram.com/explore/locations/424503080909594/edible-garden-city/
sky-residence,https://www.instagram.com/explore/locations/211440925999986/sky-residence/
rainbow-centre-margaret-drive,https://www.instagram.com/explore/locations/250514751/rainbow-centre-margaret-drive/
