cityname,url
national-university-of-singapore,https://www.instagram.com/explore/locations/24228751/national-university-of-singapore/
nus-sports-and-recreational-centre,https://www.instagram.com/explore/locations/7732942/nus-sports-and-recreational-centre/
central-library-nus,https://www.instagram.com/explore/locations/322934519/central-library-nus/
yusof-ishak-house,https://www.instagram.com/explore/locations/338414/yusof-ishak-house/
nus-faculty-of-engineering,https://www.instagram.com/explore/locations/264731/nus-faculty-of-engineering/
ridge-view-residential-college,https://www.instagram.com/explore/locations/345199493/ridge-view-residential-college/
techno-edge-canteen,https://www.instagram.com/explore/locations/220430617/techno-edge-canteen/
nus-central-library,https://www.instagram.com/explore/locations/62161/nus-central-library/
nus-multi-purpose-sports-hall,https://www.instagram.com/explore/locations/1165628/nus-multi-purpose-sports-hall/
nus-department-of-architecture,https://www.instagram.com/explore/locations/254507164/nus-department-of-architecture/
university-health-centre,https://www.instagram.com/explore/locations/614131/university-health-centre/
disneyland-los-angeles-california,https://www.instagram.com/explore/locations/221898802/disneyland-los-angeles-california/
nus-information-technology,https://www.instagram.com/explore/locations/525200/nus-information-technology/
nus-central-library-the-forum,https://www.instagram.com/explore/locations/213539158/nus-central-library-the-forum/
national-university-of-singapore-central-library,https://www.instagram.com/explore/locations/228992973/national-university-of-singapore-central-library/
nus-biological-sciences,https://www.instagram.com/explore/locations/1030745116/nus-biological-sciences/
nus-cfa-studios,https://www.instagram.com/explore/locations/269684949/nus-cfa-studios/
nus-division-of-industrial-design-nusdid,https://www.instagram.com/explore/locations/227583349/nus-division-of-industrial-design-nusdid/
university-sports-center,https://www.instagram.com/explore/locations/2197600260300550/university-sports-center/
nus-raffles-hall,https://www.instagram.com/explore/locations/17954/nus-raffles-hall/
innovation-40,https://www.instagram.com/explore/locations/1388914681244365/innovation-40/
the-coffee-roaster,https://www.instagram.com/explore/locations/104040864430883/the-coffee-roaster/
starbucks-singapore,https://www.instagram.com/explore/locations/238463595/starbucks-singapore/
nus-libraries,https://www.instagram.com/explore/locations/256750240/nus-libraries/
humble-origins,https://www.instagram.com/explore/locations/216905504/humble-origins/
nus-soccer-field,https://www.instagram.com/explore/locations/245054175/nus-soccer-field/
faculty-of-engineering,https://www.instagram.com/explore/locations/682639248787710/faculty-of-engineering/
central-library-nus,https://www.instagram.com/explore/locations/214130478/central-library-nus/
nus-tennis-courts,https://www.instagram.com/explore/locations/625893/nus-tennis-courts/
nus-university-hall,https://www.instagram.com/explore/locations/1005928/nus-university-hall/
nus-src,https://www.instagram.com/explore/locations/134568/nus-src/
harvard-university,https://www.instagram.com/explore/locations/278664956/harvard-university/
mcdonalds-national-university-of-singapore,https://www.instagram.com/explore/locations/238477235/mcdonalds-national-university-of-singapore/
octoboxsg,https://www.instagram.com/explore/locations/109478437198409/octoboxsg/
nus-track,https://www.instagram.com/explore/locations/268073863/nus-track/
ridge-view-residences,https://www.instagram.com/explore/locations/239154648/ridge-view-residences/
the-tea-party-at-nus,https://www.instagram.com/explore/locations/355024814917860/the-tea-party-at-nus/
t-lab-nus,https://www.instagram.com/explore/locations/2334925/t-lab-nus/
nus-university-hall-tct-wing,https://www.instagram.com/explore/locations/255337063/nus-university-hall-tct-wing/
nus-mpsh5,https://www.instagram.com/explore/locations/267280374/nus-mpsh5/
nus-track-field,https://www.instagram.com/explore/locations/247108544/nus-track-field/
nus-mpsh,https://www.instagram.com/explore/locations/268098625/nus-mpsh/
nus-u-town,https://www.instagram.com/explore/locations/265671894/nus-u-town/
sitiawan-perak,https://www.instagram.com/explore/locations/306430337/sitiawan-perak/
nus-studentsarts-and-social-sciences-club-fass-club,https://www.instagram.com/explore/locations/255966479/nus-studentsarts-and-social-sciences-club-fass-club/
nus-chemical-biomolecular-engineering-gsa,https://www.instagram.com/explore/locations/257523063/nus-chemical-biomolecular-engineering-gsa/
nus-field,https://www.instagram.com/explore/locations/114052897106995/nus-field/
glory-presbyterian-church,https://www.instagram.com/explore/locations/671594316568628/glory-presbyterian-church/
nus-museum,https://www.instagram.com/explore/locations/1673599/nus-museum/
nus-mpsh6,https://www.instagram.com/explore/locations/264628867/nus-mpsh6/
sde-er4-nus,https://www.instagram.com/explore/locations/1309086109234253/sde-er4-nus/
nus-mpsh2,https://www.instagram.com/explore/locations/270561140/nus-mpsh2/
nus-pharmacy-and-pharmaceutical-sciences-dept,https://www.instagram.com/explore/locations/1030165093/nus-pharmacy-and-pharmaceutical-sciences-dept/
nus-school-of-design-environment-sde-2,https://www.instagram.com/explore/locations/440564845/nus-school-of-design-environment-sde-2/
obar-nus,https://www.instagram.com/explore/locations/255452342/obar-nus/
nus-engineering-canteen,https://www.instagram.com/explore/locations/90467465/nus-engineering-canteen/
nus-lt32,https://www.instagram.com/explore/locations/229005545/nus-lt32/
technoedge-nus,https://www.instagram.com/explore/locations/235365355/technoedge-nus/
nus-multi-purpose-co-operative-society-ltd,https://www.instagram.com/explore/locations/246218934/nus-multi-purpose-co-operative-society-ltd/
nus-swimming-pool,https://www.instagram.com/explore/locations/238112700/nus-swimming-pool/
kuok-foundation-house,https://www.instagram.com/explore/locations/37482/kuok-foundation-house/
nus-gym,https://www.instagram.com/explore/locations/14468605/nus-gym/
nus-staff-club,https://www.instagram.com/explore/locations/255405252/nus-staff-club/
spinelli-coffee-company,https://www.instagram.com/explore/locations/246084428/spinelli-coffee-company/
institute-of-systems-science,https://www.instagram.com/explore/locations/108489312516145/institute-of-systems-science/
yih-student-lounge,https://www.instagram.com/explore/locations/1517768/yih-student-lounge/
nus-architectural-conservation,https://www.instagram.com/explore/locations/110413264088292/nus-architectural-conservation/
university-sports-centre,https://www.instagram.com/explore/locations/493895967659412/university-sports-centre/
mechanobiology-institute,https://www.instagram.com/explore/locations/663775618/mechanobiology-institute/
university-hall,https://www.instagram.com/explore/locations/276373175/university-hall/
temasek-life-science-laboratory,https://www.instagram.com/explore/locations/298944570/temasek-life-science-laboratory/
institute-of-materials-research-and-engineering,https://www.instagram.com/explore/locations/1598020/institute-of-materials-research-and-engineering/
pasir-panjang-singapore,https://www.instagram.com/explore/locations/652525642/pasir-panjang-singapore/
yih-plaza-nus,https://www.instagram.com/explore/locations/235331036/yih-plaza-nus/
ya-kun-kaya-toast,https://www.instagram.com/explore/locations/36386/ya-kun-kaya-toast/
nus-museum,https://www.instagram.com/explore/locations/187187615515512/nus-museum/
nus-yusof-ishak-house,https://www.instagram.com/explore/locations/261663849/nus-yusof-ishak-house/
block-e4-nus,https://www.instagram.com/explore/locations/431659484032252/block-e4-nus/
nus-university-hall-auditorium,https://www.instagram.com/explore/locations/278345146/nus-university-hall-auditorium/
nus-studentsunion,https://www.instagram.com/explore/locations/741244543/nus-studentsunion/
eskimo-cafe-dessert-bar,https://www.instagram.com/explore/locations/36132729/eskimo-cafe-dessert-bar/
nus-central-library-level-6,https://www.instagram.com/explore/locations/6305865/nus-central-library-level-6/
crave,https://www.instagram.com/explore/locations/858347841194887/crave/
zero25,https://www.instagram.com/explore/locations/102330447998079/zero25/
flash-coffee-singapore,https://www.instagram.com/explore/locations/112554414404049/flash-coffee-singapore/
nus-studentssports-club,https://www.instagram.com/explore/locations/347031047/nus-studentssports-club/
starbucks-yih-nus,https://www.instagram.com/explore/locations/246990099/starbucks-yih-nus/
nus-chinese-library,https://www.instagram.com/explore/locations/1473504/nus-chinese-library/
nus-science-camp-scamp,https://www.instagram.com/explore/locations/311756566/nus-science-camp-scamp/
nus-src-pool,https://www.instagram.com/explore/locations/273318090/nus-src-pool/
raffles-hall-comm-hall,https://www.instagram.com/explore/locations/272622863/raffles-hall-comm-hall/
starbucks-nus-yusof-ishak,https://www.instagram.com/explore/locations/294689013/starbucks-nus-yusof-ishak/
lt6-engineering,https://www.instagram.com/explore/locations/712560953/lt6-engineering/
nus-ls-lab-7,https://www.instagram.com/explore/locations/1690272/nus-ls-lab-7/
nus-life-science-lab-7-s2,https://www.instagram.com/explore/locations/251119424/nus-life-science-lab-7-s2/
nus-studentscommunity-service-club,https://www.instagram.com/explore/locations/284673450/nus-studentscommunity-service-club/
nus-college-of-design-and-engineering,https://www.instagram.com/explore/locations/107416958509048/nus-college-of-design-and-engineering/
architecture-faculty-nus,https://www.instagram.com/explore/locations/608802832/architecture-faculty-nus/
nus-school-of-continuing-and-lifelong-education-scale,https://www.instagram.com/explore/locations/656469731215899/nus-school-of-continuing-and-lifelong-education-scale/
the-national-university-of-singapore-faculty-of-engineering,https://www.instagram.com/explore/locations/542630/the-national-university-of-singapore-faculty-of-engineering/
national-university-of-singapore-tennis-courts,https://www.instagram.com/explore/locations/252597728/national-university-of-singapore-tennis-courts/
keio-nus-cute-center,https://www.instagram.com/explore/locations/3548145/keio-nus-cute-center/
nus-sports-camp,https://www.instagram.com/explore/locations/624723010922757/nus-sports-camp/
