cityname,url
university-cultural-centre,https://www.instagram.com/explore/locations/1023513/university-cultural-centre/
west-coast-park,https://www.instagram.com/explore/locations/1269915/west-coast-park/
west-coast-park,https://www.instagram.com/explore/locations/366872337096160/west-coast-park/
republic-of-singapore-yacht-club,https://www.instagram.com/explore/locations/597492/republic-of-singapore-yacht-club/
west-coast-park-parkrun,https://www.instagram.com/explore/locations/1863755153856500/west-coast-park-parkrun/
mcdonalds-west-coast-park,https://www.instagram.com/explore/locations/29909082/mcdonalds-west-coast-park/
west-coast-plaza,https://www.instagram.com/explore/locations/1032647766/west-coast-plaza/
island-penang-kitchen,https://www.instagram.com/explore/locations/243567215/island-penang-kitchen/
mbs-singapore,https://www.instagram.com/explore/locations/258581763/mbs-singapore/
726-west-coast-market,https://www.instagram.com/explore/locations/236231978/726-west-coast-market/
west-coast-singapore,https://www.instagram.com/explore/locations/288999864/west-coast-singapore/
west-coast-plaza,https://www.instagram.com/explore/locations/1346589/west-coast-plaza/
anytime-fitness-west-coast,https://www.instagram.com/explore/locations/388204138/anytime-fitness-west-coast/
boleh-boleh-clementi-mall,https://www.instagram.com/explore/locations/105862104815015/boleh-boleh-clementi-mall/
west-coast-park,https://www.instagram.com/explore/locations/206442889917931/west-coast-park/
waseda-shibuya-senior-high-school-in-singapore,https://www.instagram.com/explore/locations/1005858516/waseda-shibuya-senior-high-school-in-singapore/
nus-kent-vale,https://www.instagram.com/explore/locations/244056333/nus-kent-vale/
la-pizzeria-at-the-bridge-beacon-bar,https://www.instagram.com/explore/locations/747758962098426/la-pizzeria-at-the-bridge-beacon-bar/
kent-ridge-secondary-school,https://www.instagram.com/explore/locations/242767054/kent-ridge-secondary-school/
clementi-woods-park,https://www.instagram.com/explore/locations/399894/clementi-woods-park/
poly-marina,https://www.instagram.com/explore/locations/3691856/poly-marina/
clementi-woods-park,https://www.instagram.com/explore/locations/449384618796300/clementi-woods-park/
clementi-west-steet-2,https://www.instagram.com/explore/locations/386539310/clementi-west-steet-2/
ah-li-mee-pok,https://www.instagram.com/explore/locations/588406819/ah-li-mee-pok/
university-cultural-center-ucc-hall,https://www.instagram.com/explore/locations/249741030/university-cultural-center-ucc-hall/
west-coast-park-playground,https://www.instagram.com/explore/locations/1236068/west-coast-park-playground/
sakura-international-buffet-restaurant,https://www.instagram.com/explore/locations/440483/sakura-international-buffet-restaurant/
nus-centre-for-the-arts,https://www.instagram.com/explore/locations/1719874/nus-centre-for-the-arts/
west-coast-park-seaside,https://www.instagram.com/explore/locations/4466125/west-coast-park-seaside/
west-coast-market-square,https://www.instagram.com/explore/locations/483561/west-coast-market-square/
seahill-condo,https://www.instagram.com/explore/locations/508407042/seahill-condo/
rajoundhkaithalharyanaindia,https://www.instagram.com/explore/locations/1014789835/rajoundhkaithalharyanaindia/
blue-horizon,https://www.instagram.com/explore/locations/9292809/blue-horizon/
west-coast-park-playground,https://www.instagram.com/explore/locations/297660867325886/west-coast-park-playground/
masjid-tentera-di-raja,https://www.instagram.com/explore/locations/6765018/masjid-tentera-di-raja/
tentera-di-raja-mosque,https://www.instagram.com/explore/locations/166679056825867/tentera-di-raja-mosque/
fish-mart-sakuraya,https://www.instagram.com/explore/locations/103337194598327/fish-mart-sakuraya/
fish-mart-sakuraya-west-coast-plaza,https://www.instagram.com/explore/locations/217972012/fish-mart-sakuraya-west-coast-plaza/
nus-architecture-studios,https://www.instagram.com/explore/locations/6397212/nus-architecture-studios/
the-bible-church-singapore,https://www.instagram.com/explore/locations/2104799/the-bible-church-singapore/
west-coast-park,https://www.instagram.com/explore/locations/246934182487470/west-coast-park/
get-some,https://www.instagram.com/explore/locations/106644575374920/get-some/
almost-paradise,https://www.instagram.com/explore/locations/22363214/almost-paradise/
emerson-process-management-asia-pacific,https://www.instagram.com/explore/locations/17091302/emerson-process-management-asia-pacific/
west-coast-area,https://www.instagram.com/explore/locations/385655433/west-coast-area/
kith-cafe,https://www.instagram.com/explore/locations/761085124257829/kith-cafe/
ucc-theatre,https://www.instagram.com/explore/locations/664384869/ucc-theatre/
neraka-dunia,https://www.instagram.com/explore/locations/626443645/neraka-dunia/
rong-liang-restaurant,https://www.instagram.com/explore/locations/1734883/rong-liang-restaurant/
west-coast-beach-3,https://www.instagram.com/explore/locations/250341403/west-coast-beach-3/
west-coast-park,https://www.instagram.com/explore/locations/761557560/west-coast-park/
west-coast-park-sea-side,https://www.instagram.com/explore/locations/282828388398352/west-coast-park-sea-side/
west-coz-cafe-west-coast-plaza,https://www.instagram.com/explore/locations/294808000/west-coz-cafe-west-coast-plaza/
blue-horizon-condo,https://www.instagram.com/explore/locations/1572437609519572/blue-horizon-condo/
sushi-tei,https://www.instagram.com/explore/locations/102115798189709/sushi-tei/
yuk-tan-chobeolgu-i-korean-bbq,https://www.instagram.com/explore/locations/111866594468558/yuk-tan-chobeolgu-i-korean-bbq/
