cityname,url
universal-studios-singapore,https://www.instagram.com/explore/locations/363850430717323/universal-studios-singapore/
sentosa,https://www.instagram.com/explore/locations/214790334/sentosa/
tanjong-beach-club,https://www.instagram.com/explore/locations/1371397/tanjong-beach-club/
universal-studio-singapore,https://www.instagram.com/explore/locations/522654017/universal-studio-singapore/
w-singapore-sentosa-cove,https://www.instagram.com/explore/locations/10389095/w-singapore-sentosa-cove/
sentosa-island-singapore,https://www.instagram.com/explore/locations/231406050728877/sentosa-island-singapore/
capella-singapore-sentosa-island-singapore,https://www.instagram.com/explore/locations/214763809/capella-singapore-sentosa-island-singapore/
universal-studios-singapore,https://www.instagram.com/explore/locations/220337788570026/universal-studios-singapore/
sofitel-singapore-sentosa-resort-spa,https://www.instagram.com/explore/locations/248044791/sofitel-singapore-sentosa-resort-spa/
universal-studios-singapore,https://www.instagram.com/explore/locations/2265903333634976/universal-studios-singapore/
one15-marina,https://www.instagram.com/explore/locations/213063121/one15-marina/
lazarus-island,https://www.instagram.com/explore/locations/927624420667666/lazarus-island/
universal-studio-singapore-uss-by-resortsworld-sentosa-island-sgp,https://www.instagram.com/explore/locations/234769443/universal-studio-singapore-uss-by-resortsworld-sentosa-island-sgp/
universal-studios-singapore,https://www.instagram.com/explore/locations/342972992824691/universal-studios-singapore/
sentosa-cove,https://www.instagram.com/explore/locations/104057822963891/sentosa-cove/
amara-sanctuary-sentosa,https://www.instagram.com/explore/locations/543622/amara-sanctuary-sentosa/
sentosa,https://www.instagram.com/explore/locations/1023022580/sentosa/
universal-studios-singapore,https://www.instagram.com/explore/locations/315421315568485/universal-studios-singapore/
universal-studio-singapore,https://www.instagram.com/explore/locations/942264811/universal-studio-singapore/
foc-by-the-beach,https://www.instagram.com/explore/locations/292353857796493/foc-by-the-beach/
universal-studios-singapore,https://www.instagram.com/explore/locations/2150888501804799/universal-studios-singapore/
panamericana-sg,https://www.instagram.com/explore/locations/349581548840771/panamericana-sg/
sentosa-island-singapore,https://www.instagram.com/explore/locations/357904383/sentosa-island-singapore/
sentosa-golf-club,https://www.instagram.com/explore/locations/398549/sentosa-golf-club/
tanjong-beach-sentosa,https://www.instagram.com/explore/locations/206051210/tanjong-beach-sentosa/
tanjong-beach,https://www.instagram.com/explore/locations/755487171458528/tanjong-beach/
quayside-isle,https://www.instagram.com/explore/locations/214825485/quayside-isle/
universal-studios-singapore,https://www.instagram.com/explore/locations/522576721414827/universal-studios-singapore/
lazarus-island,https://www.instagram.com/explore/locations/1222307/lazarus-island/
southern-most-point-of-continental-asia,https://www.instagram.com/explore/locations/739453/southern-most-point-of-continental-asia/
universal-studios-singapore,https://www.instagram.com/explore/locations/139619046743032/universal-studios-singapore/
transformers-the-ride-the-ultimate-3d-battle-universal-studios-singapore,https://www.instagram.com/explore/locations/5383865/transformers-the-ride-the-ultimate-3d-battle-universal-studios-singapore/
sentosacove,https://www.instagram.com/explore/locations/414585/sentosacove/
greenwood-fish-market,https://www.instagram.com/explore/locations/386969901867573/greenwood-fish-market/
tanjong-beach-sentosa,https://www.instagram.com/explore/locations/859179681131670/tanjong-beach-sentosa/
universal-studio-singapore,https://www.instagram.com/explore/locations/452019999/universal-studio-singapore/
saint-johns-island,https://www.instagram.com/explore/locations/1895034947425673/saint-johns-island/
saint-johns-island,https://www.instagram.com/explore/locations/249098053/saint-johns-island/
universal-studio-singapore,https://www.instagram.com/explore/locations/594445480582494/universal-studio-singapore/
one-degree-15-marina-club,https://www.instagram.com/explore/locations/236305/one-degree-15-marina-club/
capella-hotel-sentosa,https://www.instagram.com/explore/locations/96835/capella-hotel-sentosa/
sentosa-tanjong-beach,https://www.instagram.com/explore/locations/261507771/sentosa-tanjong-beach/
far-far-away-universal-singapore,https://www.instagram.com/explore/locations/1375125265949892/far-far-away-universal-singapore/
universal-studios-singapore,https://www.instagram.com/explore/locations/114971223204345/universal-studios-singapore/
sentosa-cove,https://www.instagram.com/explore/locations/1469040366484937/sentosa-cove/
far-far-away-castle-universal-studios,https://www.instagram.com/explore/locations/380463677/far-far-away-castle-universal-studios/
hendricks-sunset-cinema,https://www.instagram.com/explore/locations/1906081222953314/hendricks-sunset-cinema/
kusu-island,https://www.instagram.com/explore/locations/527867697564861/kusu-island/
jurassic-park-universal-studios-singapore,https://www.instagram.com/explore/locations/322060251/jurassic-park-universal-studios-singapore/
far-far-away,https://www.instagram.com/explore/locations/298529/far-far-away/
oceanfront-sentosa-cove,https://www.instagram.com/explore/locations/224719343/oceanfront-sentosa-cove/
kusu-island,https://www.instagram.com/explore/locations/225138205/kusu-island/
tanjong-beach-club-sentosa,https://www.instagram.com/explore/locations/288712374922876/tanjong-beach-club-sentosa/
sabio-by-the-sea,https://www.instagram.com/explore/locations/322752141/sabio-by-the-sea/
universal-studio-singapore,https://www.instagram.com/explore/locations/508333312880376/universal-studio-singapore/
the-cliff,https://www.instagram.com/explore/locations/240035264/the-cliff/
ancient-egypt-universal-studios-singapore,https://www.instagram.com/explore/locations/223273450/ancient-egypt-universal-studios-singapore/
universal-studios,https://www.instagram.com/explore/locations/2450267105113996/universal-studios/
sentosa-luge-skyride,https://www.instagram.com/explore/locations/1254792424679670/sentosa-luge-skyride/
mykonos-on-the-bay-sentosa,https://www.instagram.com/explore/locations/507145874/mykonos-on-the-bay-sentosa/
madagascar-a-crate-adventure,https://www.instagram.com/explore/locations/298557/madagascar-a-crate-adventure/
universal-studios-singapore-uss,https://www.instagram.com/explore/locations/218926199/universal-studios-singapore-uss/
far-far-away-castle-4-d-adventure-universal-studios-singapore,https://www.instagram.com/explore/locations/1014391982/far-far-away-castle-4-d-adventure-universal-studios-singapore/
palawan-beach-sentosa-island,https://www.instagram.com/explore/locations/215089361/palawan-beach-sentosa-island/
fiamma-singapore,https://www.instagram.com/explore/locations/101550579221368/fiamma-singapore/
w-hotel,https://www.instagram.com/explore/locations/1022223473/w-hotel/
one15-marina-sentosa-cove,https://www.instagram.com/explore/locations/110368794139357/one15-marina-sentosa-cove/
mels-drive-in-hollywood-universal-studio-singapore,https://www.instagram.com/explore/locations/216260851/mels-drive-in-hollywood-universal-studio-singapore/
kith-at-sentosa-cove,https://www.instagram.com/explore/locations/215013615/kith-at-sentosa-cove/
museo,https://www.instagram.com/explore/locations/75125399/museo/
halloween-nights-at-universal-studios-singapore,https://www.instagram.com/explore/locations/419440180/halloween-nights-at-universal-studios-singapore/
bobs-bar,https://www.instagram.com/explore/locations/3870410/bobs-bar/
waterworld-universal-studio,https://www.instagram.com/explore/locations/791340945/waterworld-universal-studio/
singapore-zoo,https://www.instagram.com/explore/locations/272462702/singapore-zoo/
the-coast-at-sentosa-coveocean-drivesingapore-condominium,https://www.instagram.com/explore/locations/254541134/the-coast-at-sentosa-coveocean-drivesingapore-condominium/
revenge-of-the-mummy-universal-studios-singapore,https://www.instagram.com/explore/locations/20185/revenge-of-the-mummy-universal-studios-singapore/
w-hotel-resort-world-sentosa-singapore,https://www.instagram.com/explore/locations/952913032/w-hotel-resort-world-sentosa-singapore/
jurassic-park-in-universal-studios-singapore,https://www.instagram.com/explore/locations/558191/jurassic-park-in-universal-studios-singapore/
