cityname,url
sixth-avenue,https://www.instagram.com/explore/locations/367536/sixth-avenue/
jalan-lim-tai-see,https://www.instagram.com/explore/locations/1213770/jalan-lim-tai-see/
queen-astrid-park-singapore,https://www.instagram.com/explore/locations/259485493/queen-astrid-park-singapore/
astrid-hill,https://www.instagram.com/explore/locations/3984404/astrid-hill/
ventura-heights,https://www.instagram.com/explore/locations/14591398/ventura-heights/
estrivillas-jalan-lim-tai-see,https://www.instagram.com/explore/locations/460179017/estrivillas-jalan-lim-tai-see/
semoga-allah-melindungi-kita-semua,https://www.instagram.com/explore/locations/224898184374403/semoga-allah-melindungi-kita-semua/
desa-bambang,https://www.instagram.com/explore/locations/606643392828445/desa-bambang/
cow-kaffe,https://www.instagram.com/explore/locations/101893429262897/cow-kaffe/
queen-astrid-gardens-singapore,https://www.instagram.com/explore/locations/247936519/queen-astrid-gardens-singapore/
astrid-hills,https://www.instagram.com/explore/locations/1735151746562012/astrid-hills/
cafe500,https://www.instagram.com/explore/locations/106368267710460/cafe500/
kampung-tabuan-rabak,https://www.instagram.com/explore/locations/351355964/kampung-tabuan-rabak/
swensons-plaza-singapura,https://www.instagram.com/explore/locations/525537705/swensons-plaza-singapura/
ming-teck-park,https://www.instagram.com/explore/locations/559561307576826/ming-teck-park/
seruling-masbanjarnegara,https://www.instagram.com/explore/locations/117933148330363/seruling-masbanjarnegara/
new-zealand-high-commission,https://www.instagram.com/explore/locations/331551550/new-zealand-high-commission/
santiago-cityisabela,https://www.instagram.com/explore/locations/403045991/santiago-cityisabela/
stately-wayne-manor,https://www.instagram.com/explore/locations/608799132/stately-wayne-manor/
queen-astrid-park,https://www.instagram.com/explore/locations/3685449/queen-astrid-park/
upper-pierce-reservoir,https://www.instagram.com/explore/locations/434552889/upper-pierce-reservoir/
nz-high-commission-singapore,https://www.instagram.com/explore/locations/498280310/nz-high-commission-singapore/
saint-ignatuis-churchkings-road,https://www.instagram.com/explore/locations/320908995/saint-ignatuis-churchkings-road/
tao-payoh-park,https://www.instagram.com/explore/locations/339262084/tao-payoh-park/
sumawe-city,https://www.instagram.com/explore/locations/852914447/sumawe-city/
queen-astrid-gardensingapore,https://www.instagram.com/explore/locations/305311993219981/queen-astrid-gardensingapore/
kitchen,https://www.instagram.com/explore/locations/497224916971899/kitchen/
holland-grove-walk,https://www.instagram.com/explore/locations/407739263/holland-grove-walk/
gdvbs-records,https://www.instagram.com/explore/locations/1021746678/gdvbs-records/
ventural-height,https://www.instagram.com/explore/locations/209200792451011/ventural-height/
