cityname,url
queenstown-singapore,https://www.instagram.com/explore/locations/513478/queenstown-singapore/
kanpur-ganga-bairaj,https://www.instagram.com/explore/locations/1019299491/kanpur-ganga-bairaj/
far-far-away,https://www.instagram.com/explore/locations/247087445/far-far-away/
queenstown-stadium,https://www.instagram.com/explore/locations/668497/queenstown-stadium/
mujahidin-mosque,https://www.instagram.com/explore/locations/239874950/mujahidin-mosque/
emo,https://www.instagram.com/explore/locations/275883547/emo/
mdis-unicampus,https://www.instagram.com/explore/locations/524203/mdis-unicampus/
management-development-institute-of-singapore-university-campus,https://www.instagram.com/explore/locations/219916372/management-development-institute-of-singapore-university-campus/
mdis,https://www.instagram.com/explore/locations/2270690516582286/mdis/
queenstown-mrt-station,https://www.instagram.com/explore/locations/249627098/queenstown-mrt-station/
margaret-market,https://www.instagram.com/explore/locations/116620178197110/margaret-market/
tepi-pantai,https://www.instagram.com/explore/locations/369965049713058/tepi-pantai/
commonwealth-towers,https://www.instagram.com/explore/locations/662435925/commonwealth-towers/
the-cheese-ark,https://www.instagram.com/explore/locations/90035581/the-cheese-ark/
queenstown-swimming-complex,https://www.instagram.com/explore/locations/219888420/queenstown-swimming-complex/
church-of-the-good-shepherd,https://www.instagram.com/explore/locations/246376198/church-of-the-good-shepherd/
true-way-presbyterian-church,https://www.instagram.com/explore/locations/6207846/true-way-presbyterian-church/
church-of-our-saviour,https://www.instagram.com/explore/locations/1622989141285972/church-of-our-saviour/
forfar-heights,https://www.instagram.com/explore/locations/1417501/forfar-heights/
queenstown-public-library-singapore,https://www.instagram.com/explore/locations/101690991470112/queenstown-public-library-singapore/
mdis-college,https://www.instagram.com/explore/locations/257713904/mdis-college/
margaret-drive,https://www.instagram.com/explore/locations/268680892/margaret-drive/
queens-peak-condo,https://www.instagram.com/explore/locations/1147671781970046/queens-peak-condo/
stirling-residences,https://www.instagram.com/explore/locations/101230381490029/stirling-residences/
simply-life,https://www.instagram.com/explore/locations/927397664068139/simply-life/
mdis-hostel,https://www.instagram.com/explore/locations/1599909/mdis-hostel/
idiot-idiot-idiot-idiot,https://www.instagram.com/explore/locations/269592278/idiot-idiot-idiot-idiot/
chua-chu-kang,https://www.instagram.com/explore/locations/158657777563099/chua-chu-kang/
we-will-rock-you,https://www.instagram.com/explore/locations/1401264846808158/we-will-rock-you/
queenstown-polyclinic,https://www.instagram.com/explore/locations/2009986052605109/queenstown-polyclinic/
masjid-mujahidin,https://www.instagram.com/explore/locations/269750498/masjid-mujahidin/
queenstown-swimming-complex,https://www.instagram.com/explore/locations/100549524937969/queenstown-swimming-complex/
green-corridor-queensway,https://www.instagram.com/explore/locations/100586695318690/green-corridor-queensway/
royal-fur-palace,https://www.instagram.com/explore/locations/977969200/royal-fur-palace/
