cityname,url
hwa-chong-institution-boarding-school,https://www.instagram.com/explore/locations/1623239/hwa-chong-institution-boarding-school/
duchess-residences,https://www.instagram.com/explore/locations/1366874/duchess-residences/
labrador-park-singapore,https://www.instagram.com/explore/locations/1005740019/labrador-park-singapore/
singapore,https://www.instagram.com/explore/locations/113146982098061/singapore/
miami-florida,https://www.instagram.com/explore/locations/106519446154879/miami-florida/
victoria-park-villas-by-capitaland,https://www.instagram.com/explore/locations/1052586351485865/victoria-park-villas-by-capitaland/
hwa-chong-institution-boarding-school-hcibs,https://www.instagram.com/explore/locations/243747486/hwa-chong-institution-boarding-school-hcibs/
rebecca-road,https://www.instagram.com/explore/locations/2533965/rebecca-road/
kebahagiaanmu-adalah-kebahagiaanku-juga,https://www.instagram.com/explore/locations/641891425822634/kebahagiaanmu-adalah-kebahagiaanku-juga/
casabella,https://www.instagram.com/explore/locations/379196878/casabella/
coronation-road-west,https://www.instagram.com/explore/locations/221549158609475/coronation-road-west/
in-my-room-thinking-of-you-coz-i-miss-you-alots,https://www.instagram.com/explore/locations/270721360/in-my-room-thinking-of-you-coz-i-miss-you-alots/
26,https://www.instagram.com/explore/locations/1399751560302060/26/
ditempat-yg-sepi,https://www.instagram.com/explore/locations/390295621053493/ditempat-yg-sepi/
learning-vision-at-hwa-chong,https://www.instagram.com/explore/locations/1943409572552126/learning-vision-at-hwa-chong/
east-cost-park,https://www.instagram.com/explore/locations/250399061/east-cost-park/
sommerville-park-estate,https://www.instagram.com/explore/locations/305342392/sommerville-park-estate/
the-republic-cultural-centre-theatre,https://www.instagram.com/explore/locations/263783351/the-republic-cultural-centre-theatre/
casabella,https://www.instagram.com/explore/locations/150745045876681/casabella/
at-home,https://www.instagram.com/explore/locations/218114741546429/at-home/
_,https://www.instagram.com/explore/locations/730967807/_/
victoria-park-road-49,https://www.instagram.com/explore/locations/580608182/victoria-park-road-49/
bei-lucy,https://www.instagram.com/explore/locations/137472442992595/bei-lucy/
duchess-ave-casabella0511,https://www.instagram.com/explore/locations/1015625143/duchess-ave-casabella0511/
sherlyns-house,https://www.instagram.com/explore/locations/151302241626959/sherlyns-house/
the-chinese-high-school,https://www.instagram.com/explore/locations/253045691/the-chinese-high-school/
sdn-rinjani-perumnas-cirebon,https://www.instagram.com/explore/locations/1031569952/sdn-rinjani-perumnas-cirebon/
victoria-park-playground-singapore,https://www.instagram.com/explore/locations/1993897110904761/victoria-park-playground-singapore/
rebecca-park-singapore,https://www.instagram.com/explore/locations/426710720/rebecca-park-singapore/
clementi-forest,https://www.instagram.com/explore/locations/750714047/clementi-forest/
victoria-park-villas,https://www.instagram.com/explore/locations/1527125117337860/victoria-park-villas/
dragonsden-lohikaarmeluola,https://www.instagram.com/explore/locations/1012580940/dragonsden-lohikaarmeluola/
bellas-house-d,https://www.instagram.com/explore/locations/106742826078209/bellas-house-d/
victoria-park-villas-pg,https://www.instagram.com/explore/locations/153887871681629/victoria-park-villas-pg/
duchess-residence-duchess-avenue,https://www.instagram.com/explore/locations/148636225290489/duchess-residence-duchess-avenue/
victoria-park-villas-by-capitaland,https://www.instagram.com/explore/locations/660778464115922/victoria-park-villas-by-capitaland/
bali,https://www.instagram.com/explore/locations/718671875/bali/
descrozailles-residence-104-duchess-avenue-singapore,https://www.instagram.com/explore/locations/168210040454813/descrozailles-residence-104-duchess-avenue-singapore/
tempat-menyebalkan,https://www.instagram.com/explore/locations/125990137541768/tempat-menyebalkan/
chinese-high-school-clock-tower,https://www.instagram.com/explore/locations/167375273289938/chinese-high-school-clock-tower/
botanic-gardens,https://www.instagram.com/explore/locations/275788971/botanic-gardens/
108-duchess-avenue-duchess-residence,https://www.instagram.com/explore/locations/288254475/108-duchess-avenue-duchess-residence/
duchess-residences,https://www.instagram.com/explore/locations/338625276682518/duchess-residences/
hcibs-gymnasium,https://www.instagram.com/explore/locations/1027851373/hcibs-gymnasium/
casabella-05-11,https://www.instagram.com/explore/locations/1023467871/casabella-05-11/
in-bed-3,https://www.instagram.com/explore/locations/202083249854156/in-bed-3/
pinggir-jalan-raya,https://www.instagram.com/explore/locations/113225915492972/pinggir-jalan-raya/
singapaore,https://www.instagram.com/explore/locations/310441333/singapaore/
casabella,https://www.instagram.com/explore/locations/330092651006053/casabella/
home-singapore,https://www.instagram.com/explore/locations/806143032/home-singapore/
victoria-park-villas-capitaland,https://www.instagram.com/explore/locations/655243271294517/victoria-park-villas-capitaland/
waspada,https://www.instagram.com/explore/locations/950796761/waspada/
singapore-indoor-stadium,https://www.instagram.com/explore/locations/742406148/singapore-indoor-stadium/
hwa-chong-institution-boarding-school,https://www.instagram.com/explore/locations/1626484237574541/hwa-chong-institution-boarding-school/
house-of-fongs,https://www.instagram.com/explore/locations/1027403417/house-of-fongs/
singapore-chinese-girl-school,https://www.instagram.com/explore/locations/282164250/singapore-chinese-girl-school/
marina-bay,https://www.instagram.com/explore/locations/957408989/marina-bay/
in-my-bedroom,https://www.instagram.com/explore/locations/425167094/in-my-bedroom/
