cityname,url
the-star-vista,https://www.instagram.com/explore/locations/214187450/the-star-vista/
the-star-performing-arts-centre,https://www.instagram.com/explore/locations/13391065/the-star-performing-arts-centre/
new-creation-church-at-star-vista,https://www.instagram.com/explore/locations/53513503/new-creation-church-at-star-vista/
the-metropolis-north-bouna-vista-singapore,https://www.instagram.com/explore/locations/230070880/the-metropolis-north-bouna-vista-singapore/
the-star-theatre-the-star-performing-arts-centre,https://www.instagram.com/explore/locations/215112923/the-star-theatre-the-star-performing-arts-centre/
starbucks-singapore,https://www.instagram.com/explore/locations/5921724/starbucks-singapore/
the-star-vista-mall,https://www.instagram.com/explore/locations/13741576/the-star-vista-mall/
beauty-in-the-pot-at-star-vista,https://www.instagram.com/explore/locations/382199969082443/beauty-in-the-pot-at-star-vista/
the-star-theatre,https://www.instagram.com/explore/locations/70816294/the-star-theatre/
new-creation-church-at-the-star-vista,https://www.instagram.com/explore/locations/1898323643546991/new-creation-church-at-the-star-vista/
buona-vista-mrt-station,https://www.instagram.com/explore/locations/39872466/buona-vista-mrt-station/
dewgather,https://www.instagram.com/explore/locations/103502365308882/dewgather/
picotin-brewhaus,https://www.instagram.com/explore/locations/304855241/picotin-brewhaus/
star-vista-mall-bouna-vista,https://www.instagram.com/explore/locations/221579738/star-vista-mall-bouna-vista/
da-paolo-bistro-bar-at-rochester-park,https://www.instagram.com/explore/locations/609005/da-paolo-bistro-bar-at-rochester-park/
chi-bing-star-vista,https://www.instagram.com/explore/locations/1018084025/chi-bing-star-vista/
park-avenue-hotel-rochester,https://www.instagram.com/explore/locations/408210766243312/park-avenue-hotel-rochester/
rochester-park-singapore,https://www.instagram.com/explore/locations/214986457/rochester-park-singapore/
les-bouchons-rochester,https://www.instagram.com/explore/locations/111938008057233/les-bouchons-rochester/
1-una,https://www.instagram.com/explore/locations/251179723/1-una/
isteaks-diner,https://www.instagram.com/explore/locations/296931990925826/isteaks-diner/
monki,https://www.instagram.com/explore/locations/2012598619010594/monki/
rochester-mall,https://www.instagram.com/explore/locations/7613677/rochester-mall/
orange-teal,https://www.instagram.com/explore/locations/108209384850176/orange-teal/
new-lucky-claypot-rice,https://www.instagram.com/explore/locations/5965830/new-lucky-claypot-rice/
whiskit-bakery-cafe,https://www.instagram.com/explore/locations/897769023/whiskit-bakery-cafe/
jco,https://www.instagram.com/explore/locations/1548598152045357/jco/
peach-garden-the-metropolis,https://www.instagram.com/explore/locations/249646838/peach-garden-the-metropolis/
5-senses-bistro,https://www.instagram.com/explore/locations/281363596015148/5-senses-bistro/
ikki-izakaya,https://www.instagram.com/explore/locations/275343547/ikki-izakaya/
gyu-kaku,https://www.instagram.com/explore/locations/335693317259234/gyu-kaku/
guzman-y-gomez-star-vista,https://www.instagram.com/explore/locations/1019682842/guzman-y-gomez-star-vista/
dw-workshopbistroeventretail,https://www.instagram.com/explore/locations/1035604525/dw-workshopbistroeventretail/
lemuel-chocolate,https://www.instagram.com/explore/locations/285975075359465/lemuel-chocolate/
apl,https://www.instagram.com/explore/locations/286839357/apl/
chens-mapo-tofu,https://www.instagram.com/explore/locations/110997321044801/chens-mapo-tofu/
itacho-sushi-the-star-vista-buona-vista,https://www.instagram.com/explore/locations/36130803/itacho-sushi-the-star-vista-buona-vista/
taverna-greka,https://www.instagram.com/explore/locations/101338635724679/taverna-greka/
the-star-theatre,https://www.instagram.com/explore/locations/492503594575568/the-star-theatre/
nandos-star-vista,https://www.instagram.com/explore/locations/1766054520354213/nandos-star-vista/
nene-chicken,https://www.instagram.com/explore/locations/50326734/nene-chicken/
one-rochester,https://www.instagram.com/explore/locations/563038803/one-rochester/
cali-singapore,https://www.instagram.com/explore/locations/269708802/cali-singapore/
star-vista-buona-vista,https://www.instagram.com/explore/locations/262351888/star-vista-buona-vista/
the-metropolis-tower-2,https://www.instagram.com/explore/locations/191233428352553/the-metropolis-tower-2/
watami-japanese-casual-restaurant-singapore,https://www.instagram.com/explore/locations/460750984412267/watami-japanese-casual-restaurant-singapore/
yayoi-star-vista,https://www.instagram.com/explore/locations/350695011/yayoi-star-vista/
fitness-first-platinum-metropolis,https://www.instagram.com/explore/locations/249844292/fitness-first-platinum-metropolis/
le-shrimp-star-vista,https://www.instagram.com/explore/locations/101206521713614/le-shrimp-star-vista/
signature-koi,https://www.instagram.com/explore/locations/105255258005691/signature-koi/
itacho-at-the-star-vista,https://www.instagram.com/explore/locations/371319492959290/itacho-at-the-star-vista/
swee-lee-star-vista-flagship-store,https://www.instagram.com/explore/locations/1792020614459836/swee-lee-star-vista-flagship-store/
ji-de-chi-dessert,https://www.instagram.com/explore/locations/16513192/ji-de-chi-dessert/
morganfields,https://www.instagram.com/explore/locations/235501460367078/morganfields/
omoomo,https://www.instagram.com/explore/locations/569635243209846/omoomo/
eighteen-chefs,https://www.instagram.com/explore/locations/204285956650007/eighteen-chefs/
gsk-asia-house,https://www.instagram.com/explore/locations/125063191377489/gsk-asia-house/
the-headless-baker,https://www.instagram.com/explore/locations/190910914861653/the-headless-baker/
muugu-fork,https://www.instagram.com/explore/locations/429056800/muugu-fork/
yomenya-goemon-singapore,https://www.instagram.com/explore/locations/6826118/yomenya-goemon-singapore/
north-border-bar-grill,https://www.instagram.com/explore/locations/408644/north-border-bar-grill/
porns-sexy-thai-food-at-the-star-vista,https://www.instagram.com/explore/locations/38184873/porns-sexy-thai-food-at-the-star-vista/
ippudo-sg,https://www.instagram.com/explore/locations/101264707929563/ippudo-sg/
shi-li-fang-star-vista,https://www.instagram.com/explore/locations/103296257904038/shi-li-fang-star-vista/
changi-international-airport-terminal-2,https://www.instagram.com/explore/locations/214007588/changi-international-airport-terminal-2/
nandos-star-vista,https://www.instagram.com/explore/locations/215783573/nandos-star-vista/
nozomi,https://www.instagram.com/explore/locations/109382484628143/nozomi/
morganfields-the-star-vista,https://www.instagram.com/explore/locations/237869725/morganfields-the-star-vista/
watami-the-star-vista,https://www.instagram.com/explore/locations/218508778/watami-the-star-vista/
nosh-restaurant-bar,https://www.instagram.com/explore/locations/13244244/nosh-restaurant-bar/
pies-and-coffee-rochester-mall,https://www.instagram.com/explore/locations/214356243/pies-and-coffee-rochester-mall/
noshery-at-nosh,https://www.instagram.com/explore/locations/963759010408163/noshery-at-nosh/
imakatsu-star-vista,https://www.instagram.com/explore/locations/149692995761641/imakatsu-star-vista/
bouna-vista-singapore,https://www.instagram.com/explore/locations/279146013/bouna-vista-singapore/
canton-paradise-the-star-vista,https://www.instagram.com/explore/locations/376538769097434/canton-paradise-the-star-vista/
first-grill,https://www.instagram.com/explore/locations/109765740556419/first-grill/
the-star-theatre-singapore,https://www.instagram.com/explore/locations/247239079/the-star-theatre-singapore/
the-rochester,https://www.instagram.com/explore/locations/7347385/the-rochester/
awfully-chocolatestar-vista,https://www.instagram.com/explore/locations/217508791/awfully-chocolatestar-vista/
the-rotisserie-rochester-mall,https://www.instagram.com/explore/locations/15950596/the-rotisserie-rochester-mall/
starbucks-rochester-park,https://www.instagram.com/explore/locations/56624143/starbucks-rochester-park/
bintan-lagoon-resort-indonesia,https://www.instagram.com/explore/locations/256881229/bintan-lagoon-resort-indonesia/
awfully-chocolate,https://www.instagram.com/explore/locations/612242372525510/awfully-chocolate/
holland-village-xo-fishhead,https://www.instagram.com/explore/locations/421533842/holland-village-xo-fishhead/
chingu-dining-rochester,https://www.instagram.com/explore/locations/100744336268713/chingu-dining-rochester/
new-creation-church-the-star-performing-arts-centre,https://www.instagram.com/explore/locations/279917962/new-creation-church-the-star-performing-arts-centre/
mcdonalds,https://www.instagram.com/explore/locations/157033908280725/mcdonalds/
keef-the-beef,https://www.instagram.com/explore/locations/108962768880480/keef-the-beef/
nosh,https://www.instagram.com/explore/locations/353916381307073/nosh/
new-creation-church-star-vista,https://www.instagram.com/explore/locations/174563436647274/new-creation-church-star-vista/
fatburger-singapore,https://www.instagram.com/explore/locations/102189548457392/fatburger-singapore/
canton-paradise-the-star-vista,https://www.instagram.com/explore/locations/568555971/canton-paradise-the-star-vista/
watami-japanese-casual-restaurant,https://www.instagram.com/explore/locations/36440052/watami-japanese-casual-restaurant/
mcdonalds-at-the-metropolis,https://www.instagram.com/explore/locations/227346517/mcdonalds-at-the-metropolis/
legendary-hong-kong-rochester-commons,https://www.instagram.com/explore/locations/106643682123695/legendary-hong-kong-rochester-commons/
5-senses-bistro-at-star-vista,https://www.instagram.com/explore/locations/103890334924651/5-senses-bistro-at-star-vista/
gan-yakitori,https://www.instagram.com/explore/locations/267346193/gan-yakitori/
money-on-my-mind,https://www.instagram.com/explore/locations/104186064715563/money-on-my-mind/
fitness-first-singapore,https://www.instagram.com/explore/locations/100411591443796/fitness-first-singapore/
park-avenue-rochester-hotel-suites-singapore,https://www.instagram.com/explore/locations/628223546/park-avenue-rochester-hotel-suites-singapore/
imakatsu-star-vista,https://www.instagram.com/explore/locations/423567842/imakatsu-star-vista/
star-performing-arts-theatre-star-vista,https://www.instagram.com/explore/locations/251325910/star-performing-arts-theatre-star-vista/
graze,https://www.instagram.com/explore/locations/958134/graze/
min-jiang-at-one-north,https://www.instagram.com/explore/locations/241257967/min-jiang-at-one-north/
teo-heng-ktv-star-vista,https://www.instagram.com/explore/locations/1026108957/teo-heng-ktv-star-vista/
buona-vista-singapore,https://www.instagram.com/explore/locations/1029743866/buona-vista-singapore/
menya-musashi-at-the-star-vista,https://www.instagram.com/explore/locations/35069910/menya-musashi-at-the-star-vista/
blossoms-by-the-park,https://www.instagram.com/explore/locations/100316106263910/blossoms-by-the-park/
coco-ichibanya,https://www.instagram.com/explore/locations/164785970951794/coco-ichibanya/
jamaicablue-at-the-star-vista,https://www.instagram.com/explore/locations/215678950/jamaicablue-at-the-star-vista/
brotzeit-german-bier-bar-restaurant,https://www.instagram.com/explore/locations/467045832/brotzeit-german-bier-bar-restaurant/
nandos,https://www.instagram.com/explore/locations/36629013/nandos/
yomenya-goemon,https://www.instagram.com/explore/locations/36983929/yomenya-goemon/
zaffron-kitchen,https://www.instagram.com/explore/locations/102424344897115/zaffron-kitchen/
ew21cc22-buona-vista-interchange,https://www.instagram.com/explore/locations/3003450/ew21cc22-buona-vista-interchange/
bornga,https://www.instagram.com/explore/locations/43537772/bornga/
holland-village-xo-fish-head-bee-hun-restaurant,https://www.instagram.com/explore/locations/397465732/holland-village-xo-fish-head-bee-hun-restaurant/
teo-heng-trading-ktv-studio,https://www.instagram.com/explore/locations/2356913764336099/teo-heng-trading-ktv-studio/
the-6ixs-rosti,https://www.instagram.com/explore/locations/1919443388070695/the-6ixs-rosti/
owl-cafe,https://www.instagram.com/explore/locations/35932565/owl-cafe/
canton-paradise-restuarant,https://www.instagram.com/explore/locations/318655846/canton-paradise-restuarant/
nosh-restaurant-bar-rochester-park,https://www.instagram.com/explore/locations/215625318/nosh-restaurant-bar-rochester-park/
cedele-at-star-vista,https://www.instagram.com/explore/locations/1023546603/cedele-at-star-vista/
district-10-star-vista,https://www.instagram.com/explore/locations/213141886/district-10-star-vista/
pie-coffee-rochester,https://www.instagram.com/explore/locations/214355465/pie-coffee-rochester/
papparich-singapore,https://www.instagram.com/explore/locations/249030838/papparich-singapore/
cocoichibanya-the-star-vista,https://www.instagram.com/explore/locations/239291332/cocoichibanya-the-star-vista/
rollie-olie,https://www.instagram.com/explore/locations/104461838191625/rollie-olie/
cocoa-colony,https://www.instagram.com/explore/locations/891769579/cocoa-colony/
the-star-theatre-star-performing-arts-centre,https://www.instagram.com/explore/locations/214975854/the-star-theatre-star-performing-arts-centre/
itacho-sushi,https://www.instagram.com/explore/locations/102539488382868/itacho-sushi/
the-rochester-residences-singapore,https://www.instagram.com/explore/locations/133865177270132/the-rochester-residences-singapore/
saizeriya-star-vista,https://www.instagram.com/explore/locations/2346368845419820/saizeriya-star-vista/
menya-musashi-star-vista,https://www.instagram.com/explore/locations/234870150/menya-musashi-star-vista/
chirz-asian-bistro,https://www.instagram.com/explore/locations/104072578400113/chirz-asian-bistro/
yoga-inc,https://www.instagram.com/explore/locations/111344340333754/yoga-inc/
ben-jerrys-rochester-park,https://www.instagram.com/explore/locations/9460294/ben-jerrys-rochester-park/
golds-gym-singapore,https://www.instagram.com/explore/locations/216896802/golds-gym-singapore/
chens-mapo-toufu,https://www.instagram.com/explore/locations/104068758393376/chens-mapo-toufu/
min-jiang-one-north-rochester-park,https://www.instagram.com/explore/locations/277540754/min-jiang-one-north-rochester-park/
chabuton-at-the-star-vista,https://www.instagram.com/explore/locations/497990317/chabuton-at-the-star-vista/
al-capones-rochester-mall-buona-vista,https://www.instagram.com/explore/locations/113362664124552/al-capones-rochester-mall-buona-vista/
the-star-vista-performing-arts-centre-buona-vista,https://www.instagram.com/explore/locations/215850056/the-star-vista-performing-arts-centre-buona-vista/
dover-close-east,https://www.instagram.com/explore/locations/266642578/dover-close-east/
le-shrimp-ramen-the-star-vista,https://www.instagram.com/explore/locations/299921907564379/le-shrimp-ramen-the-star-vista/
rock-gifts-book-centre,https://www.instagram.com/explore/locations/259662514/rock-gifts-book-centre/
bornga,https://www.instagram.com/explore/locations/225706943/bornga/
swee-lee-star-vista,https://www.instagram.com/explore/locations/410218429/swee-lee-star-vista/
ippudo-ramen-restaurant,https://www.instagram.com/explore/locations/128420577787763/ippudo-ramen-restaurant/
morganfields-star-vista,https://www.instagram.com/explore/locations/1618936998234239/morganfields-star-vista/
the-metropolis,https://www.instagram.com/explore/locations/236004719/the-metropolis/
crossfit-morpheus,https://www.instagram.com/explore/locations/237799713551177/crossfit-morpheus/
chibing,https://www.instagram.com/explore/locations/105808048782838/chibing/
1-caramel-dessert-boutique,https://www.instagram.com/explore/locations/3184245/1-caramel-dessert-boutique/
eighteen-chefs-at-star-vista,https://www.instagram.com/explore/locations/1026369870/eighteen-chefs-at-star-vista/
celebrity-fitnessrochester-mall,https://www.instagram.com/explore/locations/11082462/celebrity-fitnessrochester-mall/
sogurt-star-vista,https://www.instagram.com/explore/locations/36301521/sogurt-star-vista/
redman-baking-studio-at-star-vista,https://www.instagram.com/explore/locations/207704263211378/redman-baking-studio-at-star-vista/
lao-huo-tang,https://www.instagram.com/explore/locations/2036383593311099/lao-huo-tang/
gelarestar-vista,https://www.instagram.com/explore/locations/182077101979458/gelarestar-vista/
owl-cafe-the-star-vista,https://www.instagram.com/explore/locations/236239643/owl-cafe-the-star-vista/
greendot,https://www.instagram.com/explore/locations/628807530617252/greendot/
animal-wellness-centre-pte-ltd,https://www.instagram.com/explore/locations/111318810463940/animal-wellness-centre-pte-ltd/
wrap-and-roll-star-vista,https://www.instagram.com/explore/locations/234686091/wrap-and-roll-star-vista/
new-creation-church,https://www.instagram.com/explore/locations/1796812610619120/new-creation-church/
sogurt-the-star-vista,https://www.instagram.com/explore/locations/41230192/sogurt-the-star-vista/
never-too-early-for-christmas,https://www.instagram.com/explore/locations/185128732052496/never-too-early-for-christmas/
yakun,https://www.instagram.com/explore/locations/12655758/yakun/
starbucks-metropolis,https://www.instagram.com/explore/locations/290758187/starbucks-metropolis/
pappa-rich,https://www.instagram.com/explore/locations/38411701/pappa-rich/
