cityname,url
little-india,https://www.instagram.com/explore/locations/197677/little-india/
haji-lane,https://www.instagram.com/explore/locations/752039144980107/haji-lane/
arab-street,https://www.instagram.com/explore/locations/213790628/arab-street/
haji-lane,https://www.instagram.com/explore/locations/332194/haji-lane/
bugis-junction-x-bugis,https://www.instagram.com/explore/locations/215705474/bugis-junction-x-bugis/
atlas-singapore,https://www.instagram.com/explore/locations/1797313060530227/atlas-singapore/
masjid-sultan,https://www.instagram.com/explore/locations/34018363/masjid-sultan/
kk-womens-and-childrens-hospital,https://www.instagram.com/explore/locations/213501121/kk-womens-and-childrens-hospital/
city-square-mall-singapore,https://www.instagram.com/explore/locations/213077358/city-square-mall-singapore/
andaz-singapore,https://www.instagram.com/explore/locations/726982797454678/andaz-singapore/
lasalle-college-of-the-arts,https://www.instagram.com/explore/locations/26829/lasalle-college-of-the-arts/
sultan-mosque-singapore,https://www.instagram.com/explore/locations/182013125333117/sultan-mosque-singapore/
bugis-street,https://www.instagram.com/explore/locations/106749298448092/bugis-street/
mustafa-centre,https://www.instagram.com/explore/locations/213054881/mustafa-centre/
parkroyal-on-beach-road-singapore,https://www.instagram.com/explore/locations/475094/parkroyal-on-beach-road-singapore/
haji-lane-singapore,https://www.instagram.com/explore/locations/1357361914374702/haji-lane-singapore/
symmetry,https://www.instagram.com/explore/locations/213041818/symmetry/
sri-veeramakaliamman-temple-singapore,https://www.instagram.com/explore/locations/556398/sri-veeramakaliamman-temple-singapore/
bugis-junction-shopping-centre-singapore,https://www.instagram.com/explore/locations/496792797/bugis-junction-shopping-centre-singapore/
national-design-centre,https://www.instagram.com/explore/locations/143566119/national-design-centre/
arabica-singapore-arab-street,https://www.instagram.com/explore/locations/367639157420032/arabica-singapore-arab-street/
kampong-glam-singapore,https://www.instagram.com/explore/locations/1031674758/kampong-glam-singapore/
singapore-zam-zam-restaurant-pte-ltd,https://www.instagram.com/explore/locations/835167/singapore-zam-zam-restaurant-pte-ltd/
bugis-street-singapore,https://www.instagram.com/explore/locations/1018309784/bugis-street-singapore/
champion-bolo-bun,https://www.instagram.com/explore/locations/443454186451941/champion-bolo-bun/
one-farrer-hotel,https://www.instagram.com/explore/locations/310029660/one-farrer-hotel/
tolidos-espresso-nook,https://www.instagram.com/explore/locations/149069138/tolidos-espresso-nook/
the-malayan-council,https://www.instagram.com/explore/locations/1015651207/the-malayan-council/
arab-street-haji-lanesingapore,https://www.instagram.com/explore/locations/230214929/arab-street-haji-lanesingapore/
somewhere-over-the-rainbow,https://www.instagram.com/explore/locations/108927820967045/somewhere-over-the-rainbow/
twenty-grammes,https://www.instagram.com/explore/locations/421151696/twenty-grammes/
little-indiasingapore,https://www.instagram.com/explore/locations/603389562/little-indiasingapore/
sim-lim-square,https://www.instagram.com/explore/locations/214185370/sim-lim-square/
sri-srinivasa-perumal-temple,https://www.instagram.com/explore/locations/649984/sri-srinivasa-perumal-temple/
kwan-im-thong-hood-cho-temple,https://www.instagram.com/explore/locations/221193332/kwan-im-thong-hood-cho-temple/
nafa,https://www.instagram.com/explore/locations/213528639/nafa/
haji-lane,https://www.instagram.com/explore/locations/1032089045/haji-lane/
artistry,https://www.instagram.com/explore/locations/25337867/artistry/
hotel-boss-singapore,https://www.instagram.com/explore/locations/319661835624181/hotel-boss-singapore/
parkroyal-on-kitchener-road-singapore,https://www.instagram.com/explore/locations/1183622/parkroyal-on-kitchener-road-singapore/
syip,https://www.instagram.com/explore/locations/105005135121464/syip/
fika-swedish-cafe-bistro,https://www.instagram.com/explore/locations/213627886/fika-swedish-cafe-bistro/
parkview-square,https://www.instagram.com/explore/locations/26669/parkview-square/
eat-3-bowls,https://www.instagram.com/explore/locations/666141218/eat-3-bowls/
aliwal-arts-centre,https://www.instagram.com/explore/locations/73267374/aliwal-arts-centre/
tan-yu,https://www.instagram.com/explore/locations/114308927087460/tan-yu/
singapore-city,https://www.instagram.com/explore/locations/1026778350/singapore-city/
