cityname,url
wheelers-estate,https://www.instagram.com/explore/locations/575744625919468/wheelers-estate/
wildseed-at-the-summerhouse,https://www.instagram.com/explore/locations/1174729712604247/wildseed-at-the-summerhouse/
seletar-singapore,https://www.instagram.com/explore/locations/234780133/seletar-singapore/
seletar-airport,https://www.instagram.com/explore/locations/1222450/seletar-airport/
seletar-aerospace-park,https://www.instagram.com/explore/locations/119959811384121/seletar-aerospace-park/
the-summerhouse,https://www.instagram.com/explore/locations/191013248014696/the-summerhouse/
youngs-bar-restaurant,https://www.instagram.com/explore/locations/595275403954443/youngs-bar-restaurant/
soek-seng-1954,https://www.instagram.com/explore/locations/272502526/soek-seng-1954/
botanico-at-the-summerhouse,https://www.instagram.com/explore/locations/250158608759893/botanico-at-the-summerhouse/
5-by-sans-facon,https://www.instagram.com/explore/locations/100247438497890/5-by-sans-facon/
the-summerhouse-seletar-aerospace,https://www.instagram.com/explore/locations/108620974247940/the-summerhouse-seletar-aerospace/
chow-cute,https://www.instagram.com/explore/locations/102294787847801/chow-cute/
hangar66-cafe,https://www.instagram.com/explore/locations/2009335219386839/hangar66-cafe/
the-oval,https://www.instagram.com/explore/locations/217073055430827/the-oval/
soek-seng-1954-bicycle-cafe,https://www.instagram.com/explore/locations/1018085394/soek-seng-1954-bicycle-cafe/
seletar-aerospace-park,https://www.instagram.com/explore/locations/225271228/seletar-aerospace-park/
hampstead-wetlands-park,https://www.instagram.com/explore/locations/102378348294476/hampstead-wetlands-park/
cinder-steakhouse,https://www.instagram.com/explore/locations/114152427587510/cinder-steakhouse/
seletar-airport-passenger-departure-hall,https://www.instagram.com/explore/locations/773238389701818/seletar-airport-passenger-departure-hall/
smitten-coffee-roasters,https://www.instagram.com/explore/locations/3831378/smitten-coffee-roasters/
seletar-country-club,https://www.instagram.com/explore/locations/104485325054994/seletar-country-club/
chingu-dining-the-oval,https://www.instagram.com/explore/locations/111300228334414/chingu-dining-the-oval/
secret-fishing-spot,https://www.instagram.com/explore/locations/593088304/secret-fishing-spot/
