cityname,url
sembawang-singapore,https://www.instagram.com/explore/locations/236373301/sembawang-singapore/
haidilao-singapore,https://www.instagram.com/explore/locations/210363666294889/haidilao-singapore/
singapore-marina-bay,https://www.instagram.com/explore/locations/317169722/singapore-marina-bay/
sembawang,https://www.instagram.com/explore/locations/5993625/sembawang/
st-johns-island,https://www.instagram.com/explore/locations/257891754/st-johns-island/
orchard-singapore,https://www.instagram.com/explore/locations/104020658438973/orchard-singapore/
assyafaah-mosque,https://www.instagram.com/explore/locations/236037653/assyafaah-mosque/
admiralty,https://www.instagram.com/explore/locations/264349660/admiralty/
sembawang-god-of-wealth-temple,https://www.instagram.com/explore/locations/24138941/sembawang-god-of-wealth-temple/
3littlepicks,https://www.instagram.com/explore/locations/237094976445428/3littlepicks/
wild-wild-wet-downtown-east,https://www.instagram.com/explore/locations/308520678/wild-wild-wet-downtown-east/
sun-plaza-sg,https://www.instagram.com/explore/locations/1012581210/sun-plaza-sg/
singapore,https://www.instagram.com/explore/locations/114965482503774/singapore/
hometeamns-sembawang,https://www.instagram.com/explore/locations/943008735/hometeamns-sembawang/
over-here,https://www.instagram.com/explore/locations/105508537822455/over-here/
canberra-park,https://www.instagram.com/explore/locations/986137/canberra-park/
bukit-canberra-hawker-centre,https://www.instagram.com/explore/locations/104642012201024/bukit-canberra-hawker-centre/
sembawang-drivesingapore,https://www.instagram.com/explore/locations/9843750/sembawang-drivesingapore/
blue-riverview,https://www.instagram.com/explore/locations/24515391/blue-riverview/
tuk-tuk-cha,https://www.instagram.com/explore/locations/1020728858/tuk-tuk-cha/
anson-town-bistro,https://www.instagram.com/explore/locations/229885694245852/anson-town-bistro/
canberra-road-sembawang-singapore,https://www.instagram.com/explore/locations/245774708/canberra-road-sembawang-singapore/
mcdonalds-sun-plaza,https://www.instagram.com/explore/locations/239924821/mcdonalds-sun-plaza/
sun-plaza,https://www.instagram.com/explore/locations/354258918554124/sun-plaza/
canberra-community-centre,https://www.instagram.com/explore/locations/690568176/canberra-community-centre/
myheart-3,https://www.instagram.com/explore/locations/309319834/myheart-3/
ark-at-gambas,https://www.instagram.com/explore/locations/559401135/ark-at-gambas/
hai-bin-sembawang,https://www.instagram.com/explore/locations/217572477/hai-bin-sembawang/
sembawang-secondary-school,https://www.instagram.com/explore/locations/2262314/sembawang-secondary-school/
