cityname,url
pulau-tekong-reservoir,https://www.instagram.com/explore/locations/1001707901/pulau-tekong-reservoir/
bronco-company,https://www.instagram.com/explore/locations/81063587/bronco-company/
bmtc-school-4-centurions-coy,https://www.instagram.com/explore/locations/1014258713/bmtc-school-4-centurions-coy/
gftc-pulau-tekong-island,https://www.instagram.com/explore/locations/399541316/gftc-pulau-tekong-island/
tekong-imt-center,https://www.instagram.com/explore/locations/566027140485639/tekong-imt-center/
pulau-tekong-besar,https://www.instagram.com/explore/locations/398662016845230/pulau-tekong-besar/
gftc-pulau-tekong-singapore-south,https://www.instagram.com/explore/locations/190913954404655/gftc-pulau-tekong-singapore-south/
pulau-tekong-grenade-range,https://www.instagram.com/explore/locations/584663055302592/pulau-tekong-grenade-range/
bmtc-school-4-7th-company-centurion,https://www.instagram.com/explore/locations/251462158865624/bmtc-school-4-7th-company-centurion/
gftc-camp-1-tekong,https://www.instagram.com/explore/locations/168154153308669/gftc-camp-1-tekong/
