cityname,url
serangoon-singapore,https://www.instagram.com/explore/locations/235616850/serangoon-singapore/
nex-singapore,https://www.instagram.com/explore/locations/213641310/nex-singapore/
eleven-strands,https://www.instagram.com/explore/locations/763601533997274/eleven-strands/
serangoon-stadium,https://www.instagram.com/explore/locations/525292/serangoon-stadium/
amber-ember,https://www.instagram.com/explore/locations/1064369270395063/amber-ember/
jane-provision-shop,https://www.instagram.com/explore/locations/1019473856/jane-provision-shop/
sunday-market,https://www.instagram.com/explore/locations/270887457/sunday-market/
kombi-rocks,https://www.instagram.com/explore/locations/719406/kombi-rocks/
kooks-creamery,https://www.instagram.com/explore/locations/179083819568197/kooks-creamery/
nex,https://www.instagram.com/explore/locations/213561476/nex/
tamago-en,https://www.instagram.com/explore/locations/111527883653450/tamago-en/
beauty-in-the-pot-at-nex,https://www.instagram.com/explore/locations/107579831107961/beauty-in-the-pot-at-nex/
genki-sushi,https://www.instagram.com/explore/locations/104728338293026/genki-sushi/
nex,https://www.instagram.com/explore/locations/2191594/nex/
ichiban-boshi,https://www.instagram.com/explore/locations/542710/ichiban-boshi/
anytime-fitness-nex,https://www.instagram.com/explore/locations/415245046/anytime-fitness-nex/
food-republic-singapore,https://www.instagram.com/explore/locations/243500341/food-republic-singapore/
collins-grille,https://www.instagram.com/explore/locations/105017270914186/collins-grille/
church-of-the-immaculate-heart-of-mary,https://www.instagram.com/explore/locations/626561/church-of-the-immaculate-heart-of-mary/
dian-xiao-er,https://www.instagram.com/explore/locations/237830788/dian-xiao-er/
our-pet-shop,https://www.instagram.com/explore/locations/235403077/our-pet-shop/
fong-sheng-hao-singapore,https://www.instagram.com/explore/locations/101304601870565/fong-sheng-hao-singapore/
hot-tomato,https://www.instagram.com/explore/locations/716341243/hot-tomato/
two-bakers,https://www.instagram.com/explore/locations/3143487082343218/two-bakers/
infusion-roastery-cafe,https://www.instagram.com/explore/locations/105896557903436/infusion-roastery-cafe/
nex-serangoon-central,https://www.instagram.com/explore/locations/259852133/nex-serangoon-central/
shabu-sai-nex,https://www.instagram.com/explore/locations/105308054610080/shabu-sai-nex/
five-guys,https://www.instagram.com/explore/locations/100151335364410/five-guys/
upper-serangoon-rd,https://www.instagram.com/explore/locations/247233918/upper-serangoon-rd/
aburi-en,https://www.instagram.com/explore/locations/111331173807472/aburi-en/
serangoon-central-singapore,https://www.instagram.com/explore/locations/267930810/serangoon-central-singapore/
