cityname,url
serangoon-garden-estate-singapore,https://www.instagram.com/explore/locations/88069624/serangoon-garden-estate-singapore/
greem-hair-salon,https://www.instagram.com/explore/locations/267708713590032/greem-hair-salon/
acoustics-coffee-bar,https://www.instagram.com/explore/locations/363219857863264/acoustics-coffee-bar/
catholic-church-of-st-francis-xavier,https://www.instagram.com/explore/locations/214927185/catholic-church-of-st-francis-xavier/
the-workbench-bistro,https://www.instagram.com/explore/locations/598071676/the-workbench-bistro/
church-of-christ-the-king-singapore,https://www.instagram.com/explore/locations/218545783/church-of-christ-the-king-singapore/
bangkok-street-mookata,https://www.instagram.com/explore/locations/371428137/bangkok-street-mookata/
bishan-park-singapore,https://www.instagram.com/explore/locations/223221286/bishan-park-singapore/
heartbreak-melts,https://www.instagram.com/explore/locations/105350904661621/heartbreak-melts/
shanghai-yu-garden-,https://www.instagram.com/explore/locations/234692668/shanghai-yu-garden-/
teck-ghee-community-club,https://www.instagram.com/explore/locations/17178324/teck-ghee-community-club/
blk-409-ang-mo-kio-avenue-10-wet-market,https://www.instagram.com/explore/locations/253360450/blk-409-ang-mo-kio-avenue-10-wet-market/
chong-boon-market,https://www.instagram.com/explore/locations/2000687/chong-boon-market/
taiwan-taipei-city,https://www.instagram.com/explore/locations/224579714/taiwan-taipei-city/
thechefsbunk-at-teck-ghee-grandeur,https://www.instagram.com/explore/locations/382319756/thechefsbunk-at-teck-ghee-grandeur/
rainbow-cottage-cafe,https://www.instagram.com/explore/locations/697064847/rainbow-cottage-cafe/
ang-mo-kio-ave10,https://www.instagram.com/explore/locations/7276507/ang-mo-kio-ave10/
amk-ave-10,https://www.instagram.com/explore/locations/1162274/amk-ave-10/
skyhigh-trampoline-park,https://www.instagram.com/explore/locations/515790294/skyhigh-trampoline-park/
monday-coffee-bar,https://www.instagram.com/explore/locations/103554162171525/monday-coffee-bar/
autism-resource-centre-singapore-pathlight-school,https://www.instagram.com/explore/locations/218606089/autism-resource-centre-singapore-pathlight-school/
mcdonalds-ang-mo-kio-ave-10,https://www.instagram.com/explore/locations/240408142/mcdonalds-ang-mo-kio-ave-10/
in-our-heart,https://www.instagram.com/explore/locations/429228630/in-our-heart/
teck-ghee-parkview,https://www.instagram.com/explore/locations/558797910/teck-ghee-parkview/
rahim-muslim-food,https://www.instagram.com/explore/locations/49293496/rahim-muslim-food/
steakgrillsg,https://www.instagram.com/explore/locations/112534823502375/steakgrillsg/
the-right-fit,https://www.instagram.com/explore/locations/371216394/the-right-fit/
professor-brawn-cafe,https://www.instagram.com/explore/locations/100651938008853/professor-brawn-cafe/
kian-seng-seafood-restaurant,https://www.instagram.com/explore/locations/71887716/kian-seng-seafood-restaurant/
pok-pok-thai-kitchen,https://www.instagram.com/explore/locations/578453719199233/pok-pok-thai-kitchen/
around-sg,https://www.instagram.com/explore/locations/104283851832762/around-sg/
good-night,https://www.instagram.com/explore/locations/1470143066452810/good-night/
