cityname,url
table-at-7,https://www.instagram.com/explore/locations/6773593/table-at-7/
beranda-bali-bsb-semarang-jl-raya-semarang-boja-mijen-semarang,https://www.instagram.com/explore/locations/286845593/beranda-bali-bsb-semarang-jl-raya-semarang-boja-mijen-semarang/
at-my-own-world,https://www.instagram.com/explore/locations/108234965964057/at-my-own-world/
le-vigne-wines-spirits,https://www.instagram.com/explore/locations/518776186/le-vigne-wines-spirits/
fourth-avenue-residences,https://www.instagram.com/explore/locations/270151533703974/fourth-avenue-residences/
pilates-flow,https://www.instagram.com/explore/locations/14452064/pilates-flow/
sixth-avenue-namly-avenue,https://www.instagram.com/explore/locations/311210208966049/sixth-avenue-namly-avenue/
sim-management-house,https://www.instagram.com/explore/locations/945234/sim-management-house/
100-years-ago,https://www.instagram.com/explore/locations/634779279/100-years-ago/
fourth-avenue-residences,https://www.instagram.com/explore/locations/119127603089159/fourth-avenue-residences/
bukit-timah-first-avenue,https://www.instagram.com/explore/locations/913928481/bukit-timah-first-avenue/
namly-animal-clinic,https://www.instagram.com/explore/locations/3104080/namly-animal-clinic/
tay-junction,https://www.instagram.com/explore/locations/686733224704277/tay-junction/
sim-academy,https://www.instagram.com/explore/locations/249518486/sim-academy/
namly-garden,https://www.instagram.com/explore/locations/8398871/namly-garden/
standard-chartered,https://www.instagram.com/explore/locations/155472977841493/standard-chartered/
namly-avenue,https://www.instagram.com/explore/locations/1432852/namly-avenue/
ubud-bali,https://www.instagram.com/explore/locations/358091393/ubud-bali/
sim-university-namly,https://www.instagram.com/explore/locations/260393811/sim-university-namly/
singapore-sweet-home,https://www.instagram.com/explore/locations/1530874113900464/singapore-sweet-home/
odyssey-global-preschool,https://www.instagram.com/explore/locations/153084204750269/odyssey-global-preschool/
pet-salon-sopra-ginza,https://www.instagram.com/explore/locations/171580590431713/pet-salon-sopra-ginza/
royalgreen-freehold-luxurious-condo-in-prime-district-10,https://www.instagram.com/explore/locations/106316644088132/royalgreen-freehold-luxurious-condo-in-prime-district-10/
first-avenue,https://www.instagram.com/explore/locations/235558699/first-avenue/
platform-e,https://www.instagram.com/explore/locations/332879317094084/platform-e/
namly-garden,https://www.instagram.com/explore/locations/165823467532649/namly-garden/
third-ave,https://www.instagram.com/explore/locations/21870407/third-ave/
al-borgo,https://www.instagram.com/explore/locations/366186767135135/al-borgo/
sim-management-house-namly-avenue,https://www.instagram.com/explore/locations/273942554/sim-management-house-namly-avenue/
namly-veterinary-surgery,https://www.instagram.com/explore/locations/110502867970450/namly-veterinary-surgery/
namly-avenue-singapore,https://www.instagram.com/explore/locations/306203302/namly-avenue-singapore/
amano,https://www.instagram.com/explore/locations/196230036887460/amano/
sixth-avenue-namly-garden,https://www.instagram.com/explore/locations/335538206/sixth-avenue-namly-garden/
la-nonna-namly-place,https://www.instagram.com/explore/locations/214195358/la-nonna-namly-place/
sugared-body-sugaring-singapore,https://www.instagram.com/explore/locations/1808993752748509/sugared-body-sugaring-singapore/
the-odyssey,https://www.instagram.com/explore/locations/324344203/the-odyssey/
alvins,https://www.instagram.com/explore/locations/2110011842384289/alvins/
sim-singapore-institute-of-management,https://www.instagram.com/explore/locations/250469025/sim-singapore-institute-of-management/
the-odyssey-fourth-avenue,https://www.instagram.com/explore/locations/671627928/the-odyssey-fourth-avenue/
shamrock-park-singapore,https://www.instagram.com/explore/locations/823725220/shamrock-park-singapore/
db-bistro-marina-bay-sands,https://www.instagram.com/explore/locations/646613335/db-bistro-marina-bay-sands/
namly-garden-singapore,https://www.instagram.com/explore/locations/1002979751/namly-garden-singapore/
isian-norte-leon-iloilo,https://www.instagram.com/explore/locations/580086411/isian-norte-leon-iloilo/
sixht-ave,https://www.instagram.com/explore/locations/546607172083068/sixht-ave/
siau-island,https://www.instagram.com/explore/locations/1386297894945014/siau-island/
bukit-timah-second-avenue,https://www.instagram.com/explore/locations/248929854/bukit-timah-second-avenue/
bosen-melarat-pengen-sugeh,https://www.instagram.com/explore/locations/275766652/bosen-melarat-pengen-sugeh/
la-casa-ristorante-bar,https://www.instagram.com/explore/locations/255303945002827/la-casa-ristorante-bar/
