cityname,url
simei-singapore,https://www.instagram.com/explore/locations/12453069/simei-singapore/
eastpoint-mall,https://www.instagram.com/explore/locations/974199381/eastpoint-mall/
beauty-in-the-pot,https://www.instagram.com/explore/locations/1852626081466540/beauty-in-the-pot/
changi-general-hospital,https://www.instagram.com/explore/locations/60924/changi-general-hospital/
simei-street-1,https://www.instagram.com/explore/locations/547639/simei-street-1/
simei,https://www.instagram.com/explore/locations/1021616348/simei/
jing-halal-hotpot-bbq-buffet,https://www.instagram.com/explore/locations/101038321673262/jing-halal-hotpot-bbq-buffet/
eighteen-chefs,https://www.instagram.com/explore/locations/597068/eighteen-chefs/
st-andrews-community-hospital,https://www.instagram.com/explore/locations/1591463/st-andrews-community-hospital/
eastpoint-mall,https://www.instagram.com/explore/locations/1105776/eastpoint-mall/
changi-simei-community-club,https://www.instagram.com/explore/locations/845500/changi-simei-community-club/
eastpoint-green-condo-simei-singapore,https://www.instagram.com/explore/locations/233205227206272/eastpoint-green-condo-simei-singapore/
malaysia-boleh-sg,https://www.instagram.com/explore/locations/397685370821408/malaysia-boleh-sg/
changkat-changi-secondary-school,https://www.instagram.com/explore/locations/515754470/changkat-changi-secondary-school/
anytime-fitness-eastpoint,https://www.instagram.com/explore/locations/961763793976880/anytime-fitness-eastpoint/
simei-estate-singapore,https://www.instagram.com/explore/locations/10226005/simei-estate-singapore/
changi-general-hospital-accident-emergency,https://www.instagram.com/explore/locations/529741/changi-general-hospital-accident-emergency/
simei-mrt-station,https://www.instagram.com/explore/locations/225146546/simei-mrt-station/
my-manhattansimei-street-3tampinessingapore-condominium,https://www.instagram.com/explore/locations/93047507/my-manhattansimei-street-3tampinessingapore-condominium/
cgh-ae,https://www.instagram.com/explore/locations/2088565/cgh-ae/
macritchie-treetop-walk,https://www.instagram.com/explore/locations/264617205/macritchie-treetop-walk/
simei-east-point,https://www.instagram.com/explore/locations/491468370/simei-east-point/
esplanade-singapore,https://www.instagram.com/explore/locations/220592925/esplanade-singapore/
eunice-tan-nails,https://www.instagram.com/explore/locations/377782476/eunice-tan-nails/
andes-by-astons,https://www.instagram.com/explore/locations/113556357494969/andes-by-astons/
eastpoint-green-condo,https://www.instagram.com/explore/locations/3985713/eastpoint-green-condo/
pet-master,https://www.instagram.com/explore/locations/104063965264075/pet-master/
sanook-kitchen-eastpoint-mall,https://www.instagram.com/explore/locations/101486624640139/sanook-kitchen-eastpoint-mall/
dennis-gym-simei,https://www.instagram.com/explore/locations/1015180782/dennis-gym-simei/
universal-studios-singapore,https://www.instagram.com/explore/locations/454688251/universal-studios-singapore/
buddy-hoagies-cafe-grill,https://www.instagram.com/explore/locations/108231825081874/buddy-hoagies-cafe-grill/
shabu-sai-at-east-point-mall,https://www.instagram.com/explore/locations/492989124/shabu-sai-at-east-point-mall/
hola-cafeteria,https://www.instagram.com/explore/locations/2476597/hola-cafeteria/
modena-condominium,https://www.instagram.com/explore/locations/237630235/modena-condominium/
j-story,https://www.instagram.com/explore/locations/499904387/j-story/
intergrated-building-at-cgh,https://www.instagram.com/explore/locations/506883939/intergrated-building-at-cgh/
east-point-green-condominium,https://www.instagram.com/explore/locations/245001543/east-point-green-condominium/
planet-neptune,https://www.instagram.com/explore/locations/362509947826533/planet-neptune/
changkat-changi-secondary-school,https://www.instagram.com/explore/locations/1029027453/changkat-changi-secondary-school/
changi-general-hospital-ae,https://www.instagram.com/explore/locations/366386480460546/changi-general-hospital-ae/
in-your-mind,https://www.instagram.com/explore/locations/150593898343834/in-your-mind/
yoogane,https://www.instagram.com/explore/locations/105360714825265/yoogane/
saizeriya-at-eastpoint-mall,https://www.instagram.com/explore/locations/498266037/saizeriya-at-eastpoint-mall/
changkat-changi-secondary-school,https://www.instagram.com/explore/locations/508224596211762/changkat-changi-secondary-school/
starbuckseastpoint,https://www.instagram.com/explore/locations/3296610/starbuckseastpoint/
yayoi-eastpoint,https://www.instagram.com/explore/locations/515927405/yayoi-eastpoint/
mcdonalds,https://www.instagram.com/explore/locations/162662267669135/mcdonalds/
the-integrated-building-changi-general-hospital,https://www.instagram.com/explore/locations/632446670425491/the-integrated-building-changi-general-hospital/
siam-kitchen-at-east-point,https://www.instagram.com/explore/locations/503007138/siam-kitchen-at-east-point/
changkat-primary-school,https://www.instagram.com/explore/locations/502686178/changkat-primary-school/
engs-wantan-noodle,https://www.instagram.com/explore/locations/2078090659188025/engs-wantan-noodle/
singapore-indoor-stadiumkallangsingapore,https://www.instagram.com/explore/locations/240080888/singapore-indoor-stadiumkallangsingapore/
semei,https://www.instagram.com/explore/locations/383507084/semei/
sakura-family-restaurant,https://www.instagram.com/explore/locations/405814889780935/sakura-family-restaurant/
jinshangyipin-buffet-hot-pot,https://www.instagram.com/explore/locations/1731875830265407/jinshangyipin-buffet-hot-pot/
changi-sports-medicine-centre,https://www.instagram.com/explore/locations/842202285988695/changi-sports-medicine-centre/
eastpoint-mall,https://www.instagram.com/explore/locations/108288651683042/eastpoint-mall/
saizeriya-at-eastpoint-mall,https://www.instagram.com/explore/locations/214210885974328/saizeriya-at-eastpoint-mall/
blk-101-simei-st-1,https://www.instagram.com/explore/locations/275549007/blk-101-simei-st-1/
pizza-hut-at-eastpoint-mall,https://www.instagram.com/explore/locations/720765688/pizza-hut-at-eastpoint-mall/
tacloban-city-hall-tacloban-city-leytephilippines,https://www.instagram.com/explore/locations/880596254/tacloban-city-hall-tacloban-city-leytephilippines/
hanis-cafe-bakery-singapore,https://www.instagram.com/explore/locations/274292296301074/hanis-cafe-bakery-singapore/
fairy-tail-guild,https://www.instagram.com/explore/locations/930485012/fairy-tail-guild/
changkat-changi-secondary-school,https://www.instagram.com/explore/locations/1001583/changkat-changi-secondary-school/
changi-beach-park,https://www.instagram.com/explore/locations/1123812774307571/changi-beach-park/
blk-256-simei-st-1,https://www.instagram.com/explore/locations/242872843/blk-256-simei-st-1/
integrated-building,https://www.instagram.com/explore/locations/102902941481683/integrated-building/
eighteen-chefs,https://www.instagram.com/explore/locations/1800986960147804/eighteen-chefs/
blk-114-simei-street-1,https://www.instagram.com/explore/locations/570781/blk-114-simei-street-1/
changi-sports-medicine-centre,https://www.instagram.com/explore/locations/5499891/changi-sports-medicine-centre/
the-royal-cafe-eastpoint,https://www.instagram.com/explore/locations/504413471/the-royal-cafe-eastpoint/
simei-street-1-blk-113,https://www.instagram.com/explore/locations/296758139/simei-street-1-blk-113/
food-junction-at-eastpoint,https://www.instagram.com/explore/locations/631879986/food-junction-at-eastpoint/
blk-107-simei-street-1,https://www.instagram.com/explore/locations/1255164/blk-107-simei-street-1/
blk-117-simei-street-1,https://www.instagram.com/explore/locations/1180771/blk-117-simei-street-1/
four-leaves-bakery,https://www.instagram.com/explore/locations/720993770/four-leaves-bakery/
bara-food,https://www.instagram.com/explore/locations/113838841711533/bara-food/
phuket-patong-beach,https://www.instagram.com/explore/locations/237773713/phuket-patong-beach/
sakae-sushi,https://www.instagram.com/explore/locations/1430127/sakae-sushi/
changkat-primary-school,https://www.instagram.com/explore/locations/1977981969153446/changkat-primary-school/
blk-124-simei-street-1,https://www.instagram.com/explore/locations/681207/blk-124-simei-street-1/
starbucks-at-changi-general-hospital,https://www.instagram.com/explore/locations/214858718/starbucks-at-changi-general-hospital/
universal-studios-spore,https://www.instagram.com/explore/locations/443496660/universal-studios-spore/
terawih,https://www.instagram.com/explore/locations/611469403/terawih/
sherizawa-hm,https://www.instagram.com/explore/locations/11084168/sherizawa-hm/
tan-kah-kee-singapore,https://www.instagram.com/explore/locations/1027509352/tan-kah-kee-singapore/
kopitiam-simei,https://www.instagram.com/explore/locations/258503668/kopitiam-simei/
changkat-primary-school,https://www.instagram.com/explore/locations/966639/changkat-primary-school/
mcdonalds-eastpoint,https://www.instagram.com/explore/locations/583853615/mcdonalds-eastpoint/
sherizawa-room,https://www.instagram.com/explore/locations/1002078804/sherizawa-room/
nandhanas-restaurant-simei,https://www.instagram.com/explore/locations/101000074768778/nandhanas-restaurant-simei/
cgh-auditorium,https://www.instagram.com/explore/locations/915580/cgh-auditorium/
east-point-mall,https://www.instagram.com/explore/locations/1024390488/east-point-mall/
void-deck,https://www.instagram.com/explore/locations/302574260/void-deck/
