cityname,url
aposh-bizhub,https://www.instagram.com/explore/locations/236024373/aposh-bizhub/
the-oval-at-seletar-aerospace-park,https://www.instagram.com/explore/locations/1905258433137073/the-oval-at-seletar-aerospace-park/
northland-secondary-school,https://www.instagram.com/explore/locations/238433856/northland-secondary-school/
yishun-northpoint-bizhub,https://www.instagram.com/explore/locations/281934922/yishun-northpoint-bizhub/
a-posh-bizhub,https://www.instagram.com/explore/locations/457006618415901/a-posh-bizhub/
symphony-suites,https://www.instagram.com/explore/locations/322564121510507/symphony-suites/
shas-cakerie,https://www.instagram.com/explore/locations/573712026028910/shas-cakerie/
42-motors-pte-ltd,https://www.instagram.com/explore/locations/109533987633760/42-motors-pte-ltd/
awrah-femina,https://www.instagram.com/explore/locations/1408839996045065/awrah-femina/
yishun-fire-station-31,https://www.instagram.com/explore/locations/405655809/yishun-fire-station-31/
family-mookata,https://www.instagram.com/explore/locations/109820787521984/family-mookata/
fuel-up-yishun,https://www.instagram.com/explore/locations/294225494620503/fuel-up-yishun/
vicom-inspection-centre-yishun,https://www.instagram.com/explore/locations/514625492217996/vicom-inspection-centre-yishun/
childish,https://www.instagram.com/explore/locations/442580829177707/childish/
chongfu-school,https://www.instagram.com/explore/locations/269692915/chongfu-school/
home-sweeeeeet-homeee,https://www.instagram.com/explore/locations/2037876523176525/home-sweeeeeet-homeee/
yishun-ave-9,https://www.instagram.com/explore/locations/501450591/yishun-ave-9/
picket-fence-yishun,https://www.instagram.com/explore/locations/978056131/picket-fence-yishun/
win-5-yishun-avenue-9,https://www.instagram.com/explore/locations/1030084846/win-5-yishun-avenue-9/
sungei-khatib-bongsu,https://www.instagram.com/explore/locations/714521736/sungei-khatib-bongsu/
this-whitespace,https://www.instagram.com/explore/locations/1013162575/this-whitespace/
happy-vibes,https://www.instagram.com/explore/locations/1016846958386458/happy-vibes/
hq-scdf-3rd-division,https://www.instagram.com/explore/locations/213468444/hq-scdf-3rd-division/
somewhere-over-the-rainbow,https://www.instagram.com/explore/locations/286839495259956/somewhere-over-the-rainbow/
devils-heaven,https://www.instagram.com/explore/locations/1007282279/devils-heaven/
marine-aquarium-singapore,https://www.instagram.com/explore/locations/231895917542239/marine-aquarium-singapore/
fishers-tavern-seafood,https://www.instagram.com/explore/locations/235503342/fishers-tavern-seafood/
north-gaia-yishun-ec,https://www.instagram.com/explore/locations/111540251340146/north-gaia-yishun-ec/
yishun-industrial-street-1,https://www.instagram.com/explore/locations/244223302/yishun-industrial-street-1/
blk-283-yishun-ave-6,https://www.instagram.com/explore/locations/2067624623476776/blk-283-yishun-ave-6/
yishun-fire-station,https://www.instagram.com/explore/locations/257813460/yishun-fire-station/
oil-town-sarawak-noodle,https://www.instagram.com/explore/locations/369860726/oil-town-sarawak-noodle/
