cityname,url
clarke-quay,https://www.instagram.com/explore/locations/252733371/clarke-quay/
zouk-singapore,https://www.instagram.com/explore/locations/1244152/zouk-singapore/
clarke-quay,https://www.instagram.com/explore/locations/213566114/clarke-quay/
grand-copthorne-waterfront-hotel,https://www.instagram.com/explore/locations/221529221/grand-copthorne-waterfront-hotel/
clark-quay-singapore-river,https://www.instagram.com/explore/locations/264869530/clark-quay-singapore-river/
furama-riverfront-singapore,https://www.instagram.com/explore/locations/397522/furama-riverfront-singapore/
studio-m-hotel,https://www.instagram.com/explore/locations/197869/studio-m-hotel/
holiday-inn-singapore-atrium,https://www.instagram.com/explore/locations/67060/holiday-inn-singapore-atrium/
sentosa,https://www.instagram.com/explore/locations/215138509/sentosa/
bentota-sri-lanka,https://www.instagram.com/explore/locations/587695957963766/bentota-sri-lanka/
clarke-quay-singapore,https://www.instagram.com/explore/locations/1019323380/clarke-quay-singapore/
publico,https://www.instagram.com/explore/locations/189912334741723/publico/
m-social-singapore,https://www.instagram.com/explore/locations/1034419391/m-social-singapore/
hai-di-lao,https://www.instagram.com/explore/locations/248116909/hai-di-lao/
central-mall-cafe,https://www.instagram.com/explore/locations/1707439379518319/central-mall-cafe/
jumbo-seafood-riverside-point,https://www.instagram.com/explore/locations/402487486843665/jumbo-seafood-riverside-point/
super-loco-robertson-quay,https://www.instagram.com/explore/locations/352232028/super-loco-robertson-quay/
fclub-x-attica-sg,https://www.instagram.com/explore/locations/161405651/fclub-x-attica-sg/
four-points-by-sheraton-singapore-riverview,https://www.instagram.com/explore/locations/6309592/four-points-by-sheraton-singapore-riverview/
holey-moley-golf-club-singapore,https://www.instagram.com/explore/locations/246489476007835/holey-moley-golf-club-singapore/
bistecca-tuscan-steakhouse,https://www.instagram.com/explore/locations/8815366/bistecca-tuscan-steakhouse/
jumbo-seafood-clark-quay,https://www.instagram.com/explore/locations/213716428/jumbo-seafood-clark-quay/
level-up,https://www.instagram.com/explore/locations/1530930020298493/level-up/
clarke-quay,https://www.instagram.com/explore/locations/1932876/clarke-quay/
tiong-bahru-bakery,https://www.instagram.com/explore/locations/102158991993038/tiong-bahru-bakery/
wine-connection-bistro-robertson-walk,https://www.instagram.com/explore/locations/266959/wine-connection-bistro-robertson-walk/
the-warehouse-hotel,https://www.instagram.com/explore/locations/1744251509147288/the-warehouse-hotel/
tobys-estate-coffee-asia,https://www.instagram.com/explore/locations/251908919/tobys-estate-coffee-asia/
red-star-restaurant-pte-ltd,https://www.instagram.com/explore/locations/237616745/red-star-restaurant-pte-ltd/
clarke-quay-central,https://www.instagram.com/explore/locations/352482074/clarke-quay-central/
common-man-coffee-roasters,https://www.instagram.com/explore/locations/118800191/common-man-coffee-roasters/
robertson-quay,https://www.instagram.com/explore/locations/111133363830025/robertson-quay/
hai-di-lao-huo-guo,https://www.instagram.com/explore/locations/213681775/hai-di-lao-huo-guo/
wolfgangs-steakhouse-sg,https://www.instagram.com/explore/locations/150836822181836/wolfgangs-steakhouse-sg/
shuffle-bistro-bar,https://www.instagram.com/explore/locations/5231108/shuffle-bistro-bar/
clarke-quay-singapre,https://www.instagram.com/explore/locations/339200529/clarke-quay-singapre/
clarke-quay-central,https://www.instagram.com/explore/locations/213013137/clarke-quay-central/
haidilao-singapore,https://www.instagram.com/explore/locations/101852253647045/haidilao-singapore/
hanjip-korean-grill-house,https://www.instagram.com/explore/locations/108167047751690/hanjip-korean-grill-house/
1880,https://www.instagram.com/explore/locations/452308801788847/1880/
meta-restaurant,https://www.instagram.com/explore/locations/1018945624/meta-restaurant/
robertson-quay-singapore,https://www.instagram.com/explore/locations/215760414/robertson-quay-singapore/
copthorne-kings-hotel-singapore,https://www.instagram.com/explore/locations/11888703/copthorne-kings-hotel-singapore/
clarke-quay-river-side,https://www.instagram.com/explore/locations/221481599/clarke-quay-river-side/
robertson-walk-singapore,https://www.instagram.com/explore/locations/309353342/robertson-walk-singapore/
the-english-house,https://www.instagram.com/explore/locations/1924394721162790/the-english-house/
holiday-inn-express-singapore-clarke-quay,https://www.instagram.com/explore/locations/234773917/holiday-inn-express-singapore-clarke-quay/
clarke-quay-riverside,https://www.instagram.com/explore/locations/8956774/clarke-quay-riverside/
intercontinental-singapore-robertson-quay,https://www.instagram.com/explore/locations/1857650384448170/intercontinental-singapore-robertson-quay/
hooters-singapore-at-clarke-quay,https://www.instagram.com/explore/locations/2185248/hooters-singapore-at-clarke-quay/
botany-singapore,https://www.instagram.com/explore/locations/405794830236545/botany-singapore/
beast-butterflies,https://www.instagram.com/explore/locations/1024558920952633/beast-butterflies/
clark-quay-riverpoint-singapore,https://www.instagram.com/explore/locations/275599468/clark-quay-riverpoint-singapore/
28-hong-kong-street,https://www.instagram.com/explore/locations/5396789/28-hong-kong-street/
