cityname,url
the-clementi-mall,https://www.instagram.com/explore/locations/2177355/the-clementi-mall/
ayer-rajah-food-centre,https://www.instagram.com/explore/locations/507536/ayer-rajah-food-centre/
clementi-stadium,https://www.instagram.com/explore/locations/2061755/clementi-stadium/
yakiniku-like-singapore,https://www.instagram.com/explore/locations/104261568652369/yakiniku-like-singapore/
mcdonalds-clementi-mall,https://www.instagram.com/explore/locations/234898850/mcdonalds-clementi-mall/
clementi-town-secondary-school,https://www.instagram.com/explore/locations/497909860/clementi-town-secondary-school/
so-pho-vietnamese-cafe,https://www.instagram.com/explore/locations/264382404054243/so-pho-vietnamese-cafe/
tanglin-secondary-school,https://www.instagram.com/explore/locations/2535504/tanglin-secondary-school/
west-coast-hawker-centre,https://www.instagram.com/explore/locations/13640089/west-coast-hawker-centre/
the-parc-condominium,https://www.instagram.com/explore/locations/216958968364196/the-parc-condominium/
seoul-garden-clementi-mall,https://www.instagram.com/explore/locations/224980521/seoul-garden-clementi-mall/
swensens-clementi-mall,https://www.instagram.com/explore/locations/9101752/swensens-clementi-mall/
west-coast-food-centre,https://www.instagram.com/explore/locations/8329778/west-coast-food-centre/
waiting-for-you,https://www.instagram.com/explore/locations/433331643358365/waiting-for-you/
ichiban-sushi,https://www.instagram.com/explore/locations/397232877667324/ichiban-sushi/
clementi-mall,https://www.instagram.com/explore/locations/410094505/clementi-mall/
west-coast-walk-the-parc-condo,https://www.instagram.com/explore/locations/227603472/west-coast-walk-the-parc-condo/
hua-mu-lan-spa,https://www.instagram.com/explore/locations/1681579905463271/hua-mu-lan-spa/
fish-co,https://www.instagram.com/explore/locations/3019380/fish-co/
starbucks-coffee-clementi-mall,https://www.instagram.com/explore/locations/217859780/starbucks-coffee-clementi-mall/
ichiban-sushi-clementi-mall,https://www.instagram.com/explore/locations/226977819/ichiban-sushi-clementi-mall/
jinjja-chicken,https://www.instagram.com/explore/locations/108444234392014/jinjja-chicken/
clementi-public-library,https://www.instagram.com/explore/locations/128646728000311/clementi-public-library/
swensens,https://www.instagram.com/explore/locations/1155202134659096/swensens/
cottontail-inn,https://www.instagram.com/explore/locations/583036842138545/cottontail-inn/
jack-amys-gelato,https://www.instagram.com/explore/locations/466105214179963/jack-amys-gelato/
arvaco-click-link-in-profile-to-shop,https://www.instagram.com/explore/locations/1007838348/arvaco-click-link-in-profile-to-shop/
crystal-jade-singapore,https://www.instagram.com/explore/locations/229894287391248/crystal-jade-singapore/
ah-bear-mookata,https://www.instagram.com/explore/locations/100237521401316/ah-bear-mookata/
so-pho-clementi,https://www.instagram.com/explore/locations/246744492484324/so-pho-clementi/
hanssik-korean-bbq-at-clementi-mall,https://www.instagram.com/explore/locations/357528854961502/hanssik-korean-bbq-at-clementi-mall/
soup-restaurant,https://www.instagram.com/explore/locations/301898330663157/soup-restaurant/
jinjja-chicken,https://www.instagram.com/explore/locations/481208912261110/jinjja-chicken/
original-ah-hoe-mee-pok-food-stall,https://www.instagram.com/explore/locations/117694656306476/original-ah-hoe-mee-pok-food-stall/
ootoya,https://www.instagram.com/explore/locations/1254251964704380/ootoya/
west-coast-drive,https://www.instagram.com/explore/locations/2096644/west-coast-drive/
ice-cream-frenzy,https://www.instagram.com/explore/locations/229046390/ice-cream-frenzy/
hundred-treeswest-coast,https://www.instagram.com/explore/locations/366912723409106/hundred-treeswest-coast/
boleh-boleh,https://www.instagram.com/explore/locations/104315288328473/boleh-boleh/
clementi-mall-,https://www.instagram.com/explore/locations/214209095290365/clementi-mall-/
ramen-ichiro,https://www.instagram.com/explore/locations/112634360564381/ramen-ichiro/
pandan-river,https://www.instagram.com/explore/locations/29719611/pandan-river/
playstation,https://www.instagram.com/explore/locations/924942451034528/playstation/
bgain-442-eating-house-clementi,https://www.instagram.com/explore/locations/267913365/bgain-442-eating-house-clementi/
crystal-jade-clementi-mall,https://www.instagram.com/explore/locations/3087744/crystal-jade-clementi-mall/
eighteen-chefs,https://www.instagram.com/explore/locations/108458161303143/eighteen-chefs/
dookki,https://www.instagram.com/explore/locations/218837155553554/dookki/
rangooli,https://www.instagram.com/explore/locations/8905774/rangooli/
jamiyah-nursing-home,https://www.instagram.com/explore/locations/4467795/jamiyah-nursing-home/
malaysia-boleh,https://www.instagram.com/explore/locations/133049476843542/malaysia-boleh/
ban-soon-sewing-machine-pte-ltd,https://www.instagram.com/explore/locations/320840451880597/ban-soon-sewing-machine-pte-ltd/
fish-co-at-clementi-mall,https://www.instagram.com/explore/locations/15733921/fish-co-at-clementi-mall/
malaysia-boleh-boleh,https://www.instagram.com/explore/locations/107454764723246/malaysia-boleh-boleh/
desaru-malaysia,https://www.instagram.com/explore/locations/259490680/desaru-malaysia/
aye-ayer-rajah-expressway,https://www.instagram.com/explore/locations/240313488/aye-ayer-rajah-expressway/
swensens,https://www.instagram.com/explore/locations/328103918000112/swensens/
the-base-salon,https://www.instagram.com/explore/locations/467709773560081/the-base-salon/
513-west-coast-road,https://www.instagram.com/explore/locations/11273982/513-west-coast-road/
baskin-robbins-clementi-mall,https://www.instagram.com/explore/locations/234702291/baskin-robbins-clementi-mall/
polymath-learning-centre,https://www.instagram.com/explore/locations/883357285080288/polymath-learning-centre/
el-carbon,https://www.instagram.com/explore/locations/105932051699050/el-carbon/
food-pavilion,https://www.instagram.com/explore/locations/548263365185302/food-pavilion/
fish-n-co-clementi-mall,https://www.instagram.com/explore/locations/235361154/fish-n-co-clementi-mall/
swensens-clementi-mall,https://www.instagram.com/explore/locations/101270747974356/swensens-clementi-mall/
nus-business-school,https://www.instagram.com/explore/locations/225034798/nus-business-school/
clementi-primary-school,https://www.instagram.com/explore/locations/1490975/clementi-primary-school/
rasa-rindu-ini-hanya-untukmu,https://www.instagram.com/explore/locations/464693410208992/rasa-rindu-ini-hanya-untukmu/
tic-tech-centre,https://www.instagram.com/explore/locations/3591498/tic-tech-centre/
clementi-ave-3-joyful-palace,https://www.instagram.com/explore/locations/291499962/clementi-ave-3-joyful-palace/
gm-spa,https://www.instagram.com/explore/locations/104332881748066/gm-spa/
blk-431-clementi-ave-3-sp-coffeeshop,https://www.instagram.com/explore/locations/339205142/blk-431-clementi-ave-3-sp-coffeeshop/
ice-cream-frenzy,https://www.instagram.com/explore/locations/1851214/ice-cream-frenzy/
west-coast-walk-clementi,https://www.instagram.com/explore/locations/294622126/west-coast-walk-clementi/
bugis-junction-singapore,https://www.instagram.com/explore/locations/249113748/bugis-junction-singapore/
prai-meke-jurang-jaler,https://www.instagram.com/explore/locations/514636481982446/prai-meke-jurang-jaler/
london-weight-management,https://www.instagram.com/explore/locations/196560673695079/london-weight-management/
-jiayangdi-bbq,https://www.instagram.com/explore/locations/105370695601132/-jiayangdi-bbq/
starbucks-singapore,https://www.instagram.com/explore/locations/101356414593253/starbucks-singapore/
ha-jun-korean-restaurant,https://www.instagram.com/explore/locations/105009175262988/ha-jun-korean-restaurant/
darussalam-mosque-main-area,https://www.instagram.com/explore/locations/485327322029784/darussalam-mosque-main-area/
starbucks-coffee-clementi-mall,https://www.instagram.com/explore/locations/135673403644115/starbucks-coffee-clementi-mall/
fairprice-finest-at-clementi-mall,https://www.instagram.com/explore/locations/236279185/fairprice-finest-at-clementi-mall/
blk-512-west-coast-dr,https://www.instagram.com/explore/locations/246117664/blk-512-west-coast-dr/
numero-uno-palace,https://www.instagram.com/explore/locations/3424244/numero-uno-palace/
west-coast-drive-blk-508,https://www.instagram.com/explore/locations/327861476/west-coast-drive-blk-508/
blk-506-west-coast-drive,https://www.instagram.com/explore/locations/270529134/blk-506-west-coast-drive/
fish-n-co-clementi-mall,https://www.instagram.com/explore/locations/1019403467/fish-n-co-clementi-mall/
the-parc-condominium,https://www.instagram.com/explore/locations/371564919/the-parc-condominium/
o-mamma-mia-singapore,https://www.instagram.com/explore/locations/431843483822995/o-mamma-mia-singapore/
west-coast-rd,https://www.instagram.com/explore/locations/296860883/west-coast-rd/
fish-co-clementi-mall,https://www.instagram.com/explore/locations/246347138/fish-co-clementi-mall/
waffle-hut,https://www.instagram.com/explore/locations/353524557/waffle-hut/
xin-peng-la-mian-xiao-long-bao,https://www.instagram.com/explore/locations/326565651224902/xin-peng-la-mian-xiao-long-bao/
mr-teh-tarik-at-west-coast-blk-505,https://www.instagram.com/explore/locations/1022852705/mr-teh-tarik-at-west-coast-blk-505/
foodfare-clementi-mall,https://www.instagram.com/explore/locations/41505592/foodfare-clementi-mall/
hard-rock-hotel-sentosa-singapore,https://www.instagram.com/explore/locations/282387788/hard-rock-hotel-sentosa-singapore/
