cityname,url
sutd-singapore-university-of-technology-design,https://www.instagram.com/explore/locations/227628975/sutd-singapore-university-of-technology-design/
singapore-university-of-technology-and-design,https://www.instagram.com/explore/locations/872497870/singapore-university-of-technology-and-design/
changi-airport-terminal-2,https://www.instagram.com/explore/locations/230686204136229/changi-airport-terminal-2/
max-pavilion,https://www.instagram.com/explore/locations/89640/max-pavilion/
sutd-101,https://www.instagram.com/explore/locations/595428258/sutd-101/
sutd,https://www.instagram.com/explore/locations/361095713/sutd/
max-pavilion-singapore-expo,https://www.instagram.com/explore/locations/219313922/max-pavilion-singapore-expo/
the-max-pavilion-singapore-expo,https://www.instagram.com/explore/locations/219100264/the-max-pavilion-singapore-expo/
sutd-food-court,https://www.instagram.com/explore/locations/372241316846468/sutd-food-court/
the-max-pavillion-singapore-expo-hall-10,https://www.instagram.com/explore/locations/340841446/the-max-pavillion-singapore-expo-hall-10/
singapore-university-of-technology-and-design,https://www.instagram.com/explore/locations/273944059/singapore-university-of-technology-and-design/
changi-court,https://www.instagram.com/explore/locations/227576454/changi-court/
upper-changi-mrt,https://www.instagram.com/explore/locations/1028416697/upper-changi-mrt/
sutd-sports-complex,https://www.instagram.com/explore/locations/230573614280198/sutd-sports-complex/
expo-max-pavillion,https://www.instagram.com/explore/locations/341353554/expo-max-pavillion/
sutd,https://www.instagram.com/explore/locations/110221053730833/sutd/
max-pavillion-concert-hall,https://www.instagram.com/explore/locations/347104229/max-pavillion-concert-hall/
eightrium-changi-business-park,https://www.instagram.com/explore/locations/251989624/eightrium-changi-business-park/
the-kingsmen-experience,https://www.instagram.com/explore/locations/201872510758517/the-kingsmen-experience/
rohde-schwarz-asia-pte-ltd,https://www.instagram.com/explore/locations/36568609/rohde-schwarz-asia-pte-ltd/
sutd-sports-complex,https://www.instagram.com/explore/locations/250723712058601/sutd-sports-complex/
changi-court-condominum,https://www.instagram.com/explore/locations/256913747/changi-court-condominum/
xilinx-asia-pacific,https://www.instagram.com/explore/locations/1561049/xilinx-asia-pacific/
crooked-cooks,https://www.instagram.com/explore/locations/374842879523105/crooked-cooks/
food-hotel-asia-2016,https://www.instagram.com/explore/locations/1033357839/food-hotel-asia-2016/
changi-court-condo,https://www.instagram.com/explore/locations/1848203/changi-court-condo/
f17-academy,https://www.instagram.com/explore/locations/258542165/f17-academy/
sutd-changi-campus,https://www.instagram.com/explore/locations/1012166561/sutd-changi-campus/
simon-by-chef-simon-loke,https://www.instagram.com/explore/locations/735731100567542/simon-by-chef-simon-loke/
changi-bethany-church,https://www.instagram.com/explore/locations/259450480/changi-bethany-church/
rigel,https://www.instagram.com/explore/locations/515553942258515/rigel/
singapore-university-of-design-technology,https://www.instagram.com/explore/locations/730115604057354/singapore-university-of-design-technology/
sutd-sports-field,https://www.instagram.com/explore/locations/2167161473537424/sutd-sports-field/
max-pavilion-hall-10,https://www.instagram.com/explore/locations/590149373/max-pavilion-hall-10/
nestle-singapore,https://www.instagram.com/explore/locations/905634536/nestle-singapore/
sutd-sports-hall-1-61105a,https://www.instagram.com/explore/locations/287576475196649/sutd-sports-hall-1-61105a/
sutd-sports-field,https://www.instagram.com/explore/locations/1867053893518273/sutd-sports-field/
tigerair,https://www.instagram.com/explore/locations/256815492/tigerair/
maxpavillion,https://www.instagram.com/explore/locations/818404581/maxpavillion/
expo,https://www.instagram.com/explore/locations/658420260969078/expo/
