cityname,url
nie-canteen,https://www.instagram.com/explore/locations/264385/nie-canteen/
ntu-hall-13,https://www.instagram.com/explore/locations/254793807/ntu-hall-13/
canteen-14-ntu,https://www.instagram.com/explore/locations/237261501/canteen-14-ntu/
ntu-hall-of-residence-12,https://www.instagram.com/explore/locations/1373233/ntu-hall-of-residence-12/
nie-library,https://www.instagram.com/explore/locations/61681/nie-library/
nie-block-3,https://www.instagram.com/explore/locations/55865/nie-block-3/
nie-hockey-pitch,https://www.instagram.com/explore/locations/779236/nie-hockey-pitch/
canteen-13-ntu,https://www.instagram.com/explore/locations/256713963/canteen-13-ntu/
nie-gym,https://www.instagram.com/explore/locations/63307977/nie-gym/
nie-library,https://www.instagram.com/explore/locations/502852515/nie-library/
nie-sports-hall,https://www.instagram.com/explore/locations/244382173/nie-sports-hall/
nie-gymnasium,https://www.instagram.com/explore/locations/4048948/nie-gymnasium/
nie-swimming-pool,https://www.instagram.com/explore/locations/6158080/nie-swimming-pool/
nie-block-7,https://www.instagram.com/explore/locations/234586241/nie-block-7/
nie-ceramics-studio,https://www.instagram.com/explore/locations/5773213/nie-ceramics-studio/
sahara-desert,https://www.instagram.com/explore/locations/204214269623289/sahara-desert/
nie-lt1,https://www.instagram.com/explore/locations/1287937/nie-lt1/
school-of-mechanical-and-aerospace-engineering-secret-place,https://www.instagram.com/explore/locations/742760099/school-of-mechanical-and-aerospace-engineering-secret-place/
nie-student-hub,https://www.instagram.com/explore/locations/6145253/nie-student-hub/
nie-physical-education,https://www.instagram.com/explore/locations/543883887/nie-physical-education/
saf-live-firing-area,https://www.instagram.com/explore/locations/266326877353887/saf-live-firing-area/
nie-uid,https://www.instagram.com/explore/locations/391877821/nie-uid/
cafe-hotshot-nie,https://www.instagram.com/explore/locations/246209050/cafe-hotshot-nie/
jentera_pejuang_jb_,https://www.instagram.com/explore/locations/105248581074810/jentera_pejuang_jb_/
nie-lecture-theatre-12,https://www.instagram.com/explore/locations/2140885/nie-lecture-theatre-12/
nie-squash-court,https://www.instagram.com/explore/locations/12351885/nie-squash-court/
nie-cafe-hotshot,https://www.instagram.com/explore/locations/390099866/nie-cafe-hotshot/
nie-library,https://www.instagram.com/explore/locations/286722158621055/nie-library/
nie-blk-5,https://www.instagram.com/explore/locations/305304316/nie-blk-5/
interactive-session,https://www.instagram.com/explore/locations/167345249984940/interactive-session/
poyan-section-live-firing-range,https://www.instagram.com/explore/locations/467980578/poyan-section-live-firing-range/
nie-5-b2-04-sport-hall,https://www.instagram.com/explore/locations/198700257698827/nie-5-b2-04-sport-hall/
nie-science-lab,https://www.instagram.com/explore/locations/577000713/nie-science-lab/
nie-blk-7a,https://www.instagram.com/explore/locations/6051022/nie-blk-7a/
nanyang-playhouse,https://www.instagram.com/explore/locations/336661867107163/nanyang-playhouse/
nie-block-3-arts,https://www.instagram.com/explore/locations/351965532242559/nie-block-3-arts/
student-activities-centre,https://www.instagram.com/explore/locations/40420631/student-activities-centre/
centre-for-e-learning-nie,https://www.instagram.com/explore/locations/289665566/centre-for-e-learning-nie/
nie-office-of-graduate-studies-professional-learning,https://www.instagram.com/explore/locations/259508120844412/nie-office-of-graduate-studies-professional-learning/
nie-art-gallery,https://www.instagram.com/explore/locations/2183772371878191/nie-art-gallery/
singapore-sentosa-resort-world,https://www.instagram.com/explore/locations/617189319/singapore-sentosa-resort-world/
nie-recital-room,https://www.instagram.com/explore/locations/42437637/nie-recital-room/
nie-block-5-physical-education,https://www.instagram.com/explore/locations/320213481892764/nie-block-5-physical-education/
egypt,https://www.instagram.com/explore/locations/2209023379335026/egypt/
hall-of-residence-13,https://www.instagram.com/explore/locations/322981265269021/hall-of-residence-13/
safti-live-firing,https://www.instagram.com/explore/locations/376035012/safti-live-firing/
blk-3-nie,https://www.instagram.com/explore/locations/436591372/blk-3-nie/
bookmark-cafe,https://www.instagram.com/explore/locations/1985287618414698/bookmark-cafe/
hall13prod,https://www.instagram.com/explore/locations/317066542286659/hall13prod/
nie-lt-2,https://www.instagram.com/explore/locations/33457889/nie-lt-2/
squash-court-nie,https://www.instagram.com/explore/locations/389228622/squash-court-nie/
nie-band-room,https://www.instagram.com/explore/locations/237737414/nie-band-room/
student-hub-uid-national-institute-of-education,https://www.instagram.com/explore/locations/1853367551566226/student-hub-uid-national-institute-of-education/
nie-block-4-library,https://www.instagram.com/explore/locations/336021157149014/nie-block-4-library/
nie-library-cafe,https://www.instagram.com/explore/locations/250267360/nie-library-cafe/
safti-lfa,https://www.instagram.com/explore/locations/933107395/safti-lfa/
hall-13-blk-62,https://www.instagram.com/explore/locations/1008011927/hall-13-blk-62/
