cityname,url
malaysia-singapore,https://www.instagram.com/explore/locations/632264890145709/malaysia-singapore/
thai-hao-chi-mookata,https://www.instagram.com/explore/locations/86969740/thai-hao-chi-mookata/
deys-hotel,https://www.instagram.com/explore/locations/104578365933138/deys-hotel/
springleaf-prata-place,https://www.instagram.com/explore/locations/102927001909628/springleaf-prata-place/
the-prata-place,https://www.instagram.com/explore/locations/268637720/the-prata-place/
springleaf-prata-place,https://www.instagram.com/explore/locations/104897281180016/springleaf-prata-place/
the-prata-place-old-upper-thomson-road,https://www.instagram.com/explore/locations/242935685/the-prata-place-old-upper-thomson-road/
hans-upper-thomson,https://www.instagram.com/explore/locations/6632010/hans-upper-thomson/
mongkok-dim-sum,https://www.instagram.com/explore/locations/464324424058278/mongkok-dim-sum/
house-of-balinese-traditional-massage,https://www.instagram.com/explore/locations/163004474/house-of-balinese-traditional-massage/
lentor-ave,https://www.instagram.com/explore/locations/5478683/lentor-ave/
springleaf-upper-thomson,https://www.instagram.com/explore/locations/605408116/springleaf-upper-thomson/
wilder-mann-singapore,https://www.instagram.com/explore/locations/253727777/wilder-mann-singapore/
springleaf-garden,https://www.instagram.com/explore/locations/240557267/springleaf-garden/
springleaf-garden-estate,https://www.instagram.com/explore/locations/7421003/springleaf-garden-estate/
springleaf-villas-singapore,https://www.instagram.com/explore/locations/234711051/springleaf-villas-singapore/
hans-cafe-cake-house,https://www.instagram.com/explore/locations/454021/hans-cafe-cake-house/
springleaf-garden,https://www.instagram.com/explore/locations/672204503230870/springleaf-garden/
springleaf-park-singapore,https://www.instagram.com/explore/locations/56836013/springleaf-park-singapore/
lower-pierce-reservoir-park,https://www.instagram.com/explore/locations/253380276/lower-pierce-reservoir-park/
dalla-vale,https://www.instagram.com/explore/locations/6122918/dalla-vale/
sodcafe_upper-thomson,https://www.instagram.com/explore/locations/107110895355061/sodcafe_upper-thomson/
yureka-teppanyaki,https://www.instagram.com/explore/locations/51536/yureka-teppanyaki/
soon-kee-duck-rice-eating-house,https://www.instagram.com/explore/locations/333153743973584/soon-kee-duck-rice-eating-house/
tri-lab,https://www.instagram.com/explore/locations/135902573656059/tri-lab/
meeras-curry-banana-leaf-restaurant,https://www.instagram.com/explore/locations/385037175432467/meeras-curry-banana-leaf-restaurant/
unicuz-chinese-cuisine,https://www.instagram.com/explore/locations/932641690415685/unicuz-chinese-cuisine/
spartans-boxing-club-springleaf,https://www.instagram.com/explore/locations/114878711211747/spartans-boxing-club-springleaf/
springleaf-prata-place,https://www.instagram.com/explore/locations/105028108185980/springleaf-prata-place/
upper-thomson,https://www.instagram.com/explore/locations/1016314536/upper-thomson/
