cityname,url
east-coast-xtreme-skatepark,https://www.instagram.com/explore/locations/1402949/east-coast-xtreme-skatepark/
fico,https://www.instagram.com/explore/locations/113459558321447/fico/
bedok-jetty-singapore,https://www.instagram.com/explore/locations/242841494/bedok-jetty-singapore/
hua-yu-wee,https://www.instagram.com/explore/locations/626587/hua-yu-wee/
east-coast-park-bedok-jetty,https://www.instagram.com/explore/locations/218659488/east-coast-park-bedok-jetty/
east-coast-park-singapore,https://www.instagram.com/explore/locations/223934241/east-coast-park-singapore/
shanghai-china,https://www.instagram.com/explore/locations/328568705/shanghai-china/
costa-del-sol,https://www.instagram.com/explore/locations/1973897459599430/costa-del-sol/
bedok-jetty,https://www.instagram.com/explore/locations/190316645202693/bedok-jetty/
east-coast-park,https://www.instagram.com/explore/locations/247051155/east-coast-park/
bedok-jetty,https://www.instagram.com/explore/locations/110330377794893/bedok-jetty/
upper-east-coast-road-singapore,https://www.instagram.com/explore/locations/1025034712/upper-east-coast-road-singapore/
east-coast-bougainvillea-garden,https://www.instagram.com/explore/locations/287807164/east-coast-bougainvillea-garden/
bedok-jetty-anchor-singapore,https://www.instagram.com/explore/locations/1006140647/bedok-jetty-anchor-singapore/
upp-east-coast-rd,https://www.instagram.com/explore/locations/252456871/upp-east-coast-rd/
east-coast-park-area-c,https://www.instagram.com/explore/locations/491172/east-coast-park-area-c/
east-coast-park-area-f,https://www.instagram.com/explore/locations/103071661329705/east-coast-park-area-f/
central-thai,https://www.instagram.com/explore/locations/747131645667389/central-thai/
east-coast-park-area-f2,https://www.instagram.com/explore/locations/2087659/east-coast-park-area-f2/
high-tide-bistro-bar,https://www.instagram.com/explore/locations/102534758258590/high-tide-bistro-bar/
east-coast-carpark-f2,https://www.instagram.com/explore/locations/321270087948053/east-coast-carpark-f2/
sunset-bay-singapore,https://www.instagram.com/explore/locations/214023450/sunset-bay-singapore/
upper-east-coast-road,https://www.instagram.com/explore/locations/246367533/upper-east-coast-road/
the-summit-condominium-singapore,https://www.instagram.com/explore/locations/265768354/the-summit-condominium-singapore/
east-coast-park-jetty,https://www.instagram.com/explore/locations/1581254505302226/east-coast-park-jetty/
east-coast-park-near-carpark-f2,https://www.instagram.com/explore/locations/257932160957259/east-coast-park-near-carpark-f2/
the-daffodils,https://www.instagram.com/explore/locations/226920171/the-daffodils/
bedok-jetty-ecp,https://www.instagram.com/explore/locations/237094363/bedok-jetty-ecp/
costa-del-sol-condominium-bayshore-road-singapore,https://www.instagram.com/explore/locations/236881803/costa-del-sol-condominium-bayshore-road-singapore/
east-coast-park-ecp,https://www.instagram.com/explore/locations/219138917/east-coast-park-ecp/
philosophy-studio-sg,https://www.instagram.com/explore/locations/240426296/philosophy-studio-sg/
east-coast-park-area-f-pit-64,https://www.instagram.com/explore/locations/282087621/east-coast-park-area-f-pit-64/
sunset-bay-garden-beach-bar,https://www.instagram.com/explore/locations/849680/sunset-bay-garden-beach-bar/
bedok-anchorages-singapore,https://www.instagram.com/explore/locations/253896855/bedok-anchorages-singapore/
xtreme-skate-park-east-coast,https://www.instagram.com/explore/locations/236044544/xtreme-skate-park-east-coast/
hua-yu-wee-seafood-restaurant,https://www.instagram.com/explore/locations/108620067503480/hua-yu-wee-seafood-restaurant/
laut-singapore,https://www.instagram.com/explore/locations/341095952616454/laut-singapore/
f2-carpark-east-coast-park,https://www.instagram.com/explore/locations/242020677/f2-carpark-east-coast-park/
once-upon-a-table,https://www.instagram.com/explore/locations/1033019081/once-upon-a-table/
east-coast-park-casuarina-grove-area-f-meeting-point-9,https://www.instagram.com/explore/locations/490064261/east-coast-park-casuarina-grove-area-f-meeting-point-9/
ecp-jetty,https://www.instagram.com/explore/locations/381074621908641/ecp-jetty/
east-coast-sailing-club,https://www.instagram.com/explore/locations/268528811/east-coast-sailing-club/
lucky-heights,https://www.instagram.com/explore/locations/865579/lucky-heights/
bleu-at-east-coast,https://www.instagram.com/explore/locations/961431/bleu-at-east-coast/
riviera-residences-singapore,https://www.instagram.com/explore/locations/272691718/riviera-residences-singapore/
red-velvet,https://www.instagram.com/explore/locations/117657978735236/red-velvet/
tempat-mencari-ketenangan-jiwa,https://www.instagram.com/explore/locations/224529375/tempat-mencari-ketenangan-jiwa/
bedok-jetty,https://www.instagram.com/explore/locations/1509448302481764/bedok-jetty/
upper-east-coast-road,https://www.instagram.com/explore/locations/222017165/upper-east-coast-road/
passion-wave-at-east-coast,https://www.instagram.com/explore/locations/108030217643313/passion-wave-at-east-coast/
ecp-skatepark,https://www.instagram.com/explore/locations/240190976/ecp-skatepark/
fishing-ecp-bedok-jetty,https://www.instagram.com/explore/locations/236951518/fishing-ecp-bedok-jetty/
changi-airport-t1,https://www.instagram.com/explore/locations/266644608/changi-airport-t1/
eastcoast-by-the-beach,https://www.instagram.com/explore/locations/286322604727987/eastcoast-by-the-beach/
tower-2b-the-bayshore,https://www.instagram.com/explore/locations/2719840/tower-2b-the-bayshore/
fatfuku,https://www.instagram.com/explore/locations/758244204345171/fatfuku/
demsey-hill,https://www.instagram.com/explore/locations/781226855/demsey-hill/
east-coast-bedok-jetty,https://www.instagram.com/explore/locations/1979246029021841/east-coast-bedok-jetty/
dalam-hutan,https://www.instagram.com/explore/locations/835103746/dalam-hutan/
calvary-ag-singapore,https://www.instagram.com/explore/locations/527513077/calvary-ag-singapore/
the-daffodil,https://www.instagram.com/explore/locations/236304255/the-daffodil/
ma-concept-design-pte-ltd,https://www.instagram.com/explore/locations/417638214/ma-concept-design-pte-ltd/
east-coast-park-area-f,https://www.instagram.com/explore/locations/335424827009797/east-coast-park-area-f/
singapore-eastern-anchorage,https://www.instagram.com/explore/locations/833295664/singapore-eastern-anchorage/
di-hatimu,https://www.instagram.com/explore/locations/374571657/di-hatimu/
costa-del-sol-condominium,https://www.instagram.com/explore/locations/412163161/costa-del-sol-condominium/
bayshore-mrt,https://www.instagram.com/explore/locations/825736204188914/bayshore-mrt/
pa-water-venture-east-coast,https://www.instagram.com/explore/locations/2893766/pa-water-venture-east-coast/
costa-del-sol-bayshore,https://www.instagram.com/explore/locations/911525048/costa-del-sol-bayshore/
the-bayshore-condominium,https://www.instagram.com/explore/locations/6627544/the-bayshore-condominium/
misool-raja-ampat,https://www.instagram.com/explore/locations/511910924/misool-raja-ampat/
501-upper-east-coast-road,https://www.instagram.com/explore/locations/113133122095583/501-upper-east-coast-road/
pa-water-venture,https://www.instagram.com/explore/locations/320939939/pa-water-venture/
east-coast-park,https://www.instagram.com/explore/locations/109586593924993/east-coast-park/
tempat-tenangkan-fikiran,https://www.instagram.com/explore/locations/246297212086605/tempat-tenangkan-fikiran/
ecp,https://www.instagram.com/explore/locations/249011213/ecp/
bedok-jetty,https://www.instagram.com/explore/locations/114972205788114/bedok-jetty/
carpark-f2,https://www.instagram.com/explore/locations/2161934617159163/carpark-f2/
riviera-residences,https://www.instagram.com/explore/locations/769414/riviera-residences/
east-coast-f3-carpark,https://www.instagram.com/explore/locations/259229770/east-coast-f3-carpark/
bedok-jetty-fishing-time,https://www.instagram.com/explore/locations/414710700/bedok-jetty-fishing-time/
the-baycourt-condo,https://www.instagram.com/explore/locations/238646431/the-baycourt-condo/
eastern-bunkering-charlie-aebc,https://www.instagram.com/explore/locations/1014117385/eastern-bunkering-charlie-aebc/
angsana-green,https://www.instagram.com/explore/locations/296412724305275/angsana-green/
eastern-special-purpose-alpha-anchorage,https://www.instagram.com/explore/locations/250173853/eastern-special-purpose-alpha-anchorage/
east-coast-singapore,https://www.instagram.com/explore/locations/310917877/east-coast-singapore/
spring-park-estate-singapore,https://www.instagram.com/explore/locations/1035436417/spring-park-estate-singapore/
ecp-carpark-f1,https://www.instagram.com/explore/locations/703593720/ecp-carpark-f1/
bedok-jetty,https://www.instagram.com/explore/locations/385837272/bedok-jetty/
shoppin,https://www.instagram.com/explore/locations/620621715/shoppin/
ecp-f2,https://www.instagram.com/explore/locations/132603923475499/ecp-f2/
east-coast-park-bbq-pit-60,https://www.instagram.com/explore/locations/274549546387976/east-coast-park-bbq-pit-60/
east-coast-park,https://www.instagram.com/explore/locations/103448575662461/east-coast-park/
singapore-changi-airport-terminal-1,https://www.instagram.com/explore/locations/240709883/singapore-changi-airport-terminal-1/
east-coast-skate-park,https://www.instagram.com/explore/locations/216416539/east-coast-skate-park/
carols-house,https://www.instagram.com/explore/locations/180090158710243/carols-house/
asian-civilisation-museum,https://www.instagram.com/explore/locations/925492879/asian-civilisation-museum/
henderson-wave,https://www.instagram.com/explore/locations/725676274/henderson-wave/
the-pool-costa-del-sol,https://www.instagram.com/explore/locations/258482953/the-pool-costa-del-sol/
carpark-f3,https://www.instagram.com/explore/locations/253546802027315/carpark-f3/
costa-del-sol,https://www.instagram.com/explore/locations/267466194/costa-del-sol/
imbiah-trail,https://www.instagram.com/explore/locations/288648030/imbiah-trail/
east-coast-jetty,https://www.instagram.com/explore/locations/891727096/east-coast-jetty/
toys-r-us-vivo-city,https://www.instagram.com/explore/locations/400715113306100/toys-r-us-vivo-city/
aebc-singapore,https://www.instagram.com/explore/locations/1007864181/aebc-singapore/
