cityname,url
yale-nus-college,https://www.instagram.com/explore/locations/242774341/yale-nus-college/
w39-bistro-bakery,https://www.instagram.com/explore/locations/210650216/w39-bistro-bakery/
w39-bistro,https://www.instagram.com/explore/locations/85973861/w39-bistro/
nan-hua-high-school,https://www.instagram.com/explore/locations/338059039/nan-hua-high-school/
church-of-the-holy-cross-singapore,https://www.instagram.com/explore/locations/478909851/church-of-the-holy-cross-singapore/
nus-high-school-of-math-and-science,https://www.instagram.com/explore/locations/213133506/nus-high-school-of-math-and-science/
international-community-school-singapore,https://www.instagram.com/explore/locations/361277785/international-community-school-singapore/
west-coast-road,https://www.instagram.com/explore/locations/154716091814124/west-coast-road/
masjid-darussalam,https://www.instagram.com/explore/locations/1001985/masjid-darussalam/
activesg-clementi-sports-centre,https://www.instagram.com/explore/locations/478967559129378/activesg-clementi-sports-centre/
clementi-swimming-complex,https://www.instagram.com/explore/locations/1187259/clementi-swimming-complex/
clementi-sports-hall,https://www.instagram.com/explore/locations/375682293/clementi-sports-hall/
the-clement-canopy,https://www.instagram.com/explore/locations/157418634744722/the-clement-canopy/
west-coast-road-singapore,https://www.instagram.com/explore/locations/284805565/west-coast-road-singapore/
my-crib,https://www.instagram.com/explore/locations/183158945052900/my-crib/
new-town-secondary-school,https://www.instagram.com/explore/locations/543129729/new-town-secondary-school/
blk-354-clementi-ave-2,https://www.instagram.com/explore/locations/412849282/blk-354-clementi-ave-2/
haq-insafs-eating-house,https://www.instagram.com/explore/locations/227063108/haq-insafs-eating-house/
activesg-clementi-sport-centre,https://www.instagram.com/explore/locations/354718126/activesg-clementi-sport-centre/
a-poh-kitchen-pte-ltd,https://www.instagram.com/explore/locations/227644270/a-poh-kitchen-pte-ltd/
anywhere-but-here,https://www.instagram.com/explore/locations/533231607/anywhere-but-here/
casa-clementi,https://www.instagram.com/explore/locations/16139326/casa-clementi/
yangonburma,https://www.instagram.com/explore/locations/280406355/yangonburma/
clementi-ave2-singapore,https://www.instagram.com/explore/locations/268206696/clementi-ave2-singapore/
joyden-seafood,https://www.instagram.com/explore/locations/111872973/joyden-seafood/
marina-bridge,https://www.instagram.com/explore/locations/2313237355565226/marina-bridge/
west-coast-recreation-centre,https://www.instagram.com/explore/locations/799663/west-coast-recreation-centre/
chee-cheong-fun-club,https://www.instagram.com/explore/locations/2001154446791913/chee-cheong-fun-club/
clementi-ave-2-food-centre-market,https://www.instagram.com/explore/locations/237628572/clementi-ave-2-food-centre-market/
chicken-talk-kitchen,https://www.instagram.com/explore/locations/460174716/chicken-talk-kitchen/
clementi-west-602,https://www.instagram.com/explore/locations/799426318/clementi-west-602/
starvista,https://www.instagram.com/explore/locations/236036347/starvista/
