cityname,url
newton-circle-food-court,https://www.instagram.com/explore/locations/235245368/newton-circle-food-court/
sheraton-towers-singapore,https://www.instagram.com/explore/locations/214256405/sheraton-towers-singapore/
chennai-tamil-nadu-india,https://www.instagram.com/explore/locations/221136945/chennai-tamil-nadu-india/
newton-food-centre,https://www.instagram.com/explore/locations/69640965/newton-food-centre/
newton-food-centre,https://www.instagram.com/explore/locations/420338461/newton-food-centre/
shangri-la-hotel-singapore,https://www.instagram.com/explore/locations/324280921696675/shangri-la-hotel-singapore/
novotel-singapore-on-stevens,https://www.instagram.com/explore/locations/144276106082378/novotel-singapore-on-stevens/
tanglin-club,https://www.instagram.com/explore/locations/963252/tanglin-club/
the-line,https://www.instagram.com/explore/locations/8692/the-line/
mercure-singapore-on-stevens,https://www.instagram.com/explore/locations/740989299359457/mercure-singapore-on-stevens/
newton-circus-food-centre,https://www.instagram.com/explore/locations/733692/newton-circus-food-centre/
origin-bar,https://www.instagram.com/explore/locations/1695644503844191/origin-bar/
grub-burger-bistro-singapore,https://www.instagram.com/explore/locations/1809701599323483/grub-burger-bistro-singapore/
alliance-francaise-de-singapour,https://www.instagram.com/explore/locations/938803/alliance-francaise-de-singapour/
ki-sho-japanese-cuisine,https://www.instagram.com/explore/locations/235504201/ki-sho-japanese-cuisine/
buona-terra-italian-restaurant,https://www.instagram.com/explore/locations/69752042/buona-terra-italian-restaurant/
chez-suzette,https://www.instagram.com/explore/locations/104983575152582/chez-suzette/
prudential-scotts,https://www.instagram.com/explore/locations/1079309/prudential-scotts/
newton-circus,https://www.instagram.com/explore/locations/234288383/newton-circus/
newton-food-centre,https://www.instagram.com/explore/locations/1573967465982009/newton-food-centre/
relc-international-hotel,https://www.instagram.com/explore/locations/214166438/relc-international-hotel/
darkness-dessert,https://www.instagram.com/explore/locations/102074485769857/darkness-dessert/
waterfall-ristorante-italiano,https://www.instagram.com/explore/locations/397742470673006/waterfall-ristorante-italiano/
shima-restaurant-singapore,https://www.instagram.com/explore/locations/247144624/shima-restaurant-singapore/
singapore-chinese-girlsschool,https://www.instagram.com/explore/locations/950039699/singapore-chinese-girlsschool/
the-rose-veranda-shangri-la-hotel,https://www.instagram.com/explore/locations/1359412/the-rose-veranda-shangri-la-hotel/
newton-mrt-station,https://www.instagram.com/explore/locations/212968152/newton-mrt-station/
anglo-chinese-school-barker-road,https://www.instagram.com/explore/locations/561133890/anglo-chinese-school-barker-road/
buds-by-shangri-la,https://www.instagram.com/explore/locations/2091263177856004/buds-by-shangri-la/
the-line-at-shangri-la-hotel,https://www.instagram.com/explore/locations/761027715/the-line-at-shangri-la-hotel/
winestone,https://www.instagram.com/explore/locations/1979951445586246/winestone/
orchard-scotts-residence,https://www.instagram.com/explore/locations/709276/orchard-scotts-residence/
waffletown-singapore,https://www.instagram.com/explore/locations/213106509/waffletown-singapore/
the-gyu-bar,https://www.instagram.com/explore/locations/722599607945446/the-gyu-bar/
newton-food-centre-newton,https://www.instagram.com/explore/locations/247544529/newton-food-centre-newton/
the-line-at-shangri-la-hotel,https://www.instagram.com/explore/locations/226874210/the-line-at-shangri-la-hotel/
enjoy-eating-house-and-bar,https://www.instagram.com/explore/locations/102465431781707/enjoy-eating-house-and-bar/
indocafe-peranakan-dining,https://www.instagram.com/explore/locations/226899291/indocafe-peranakan-dining/
sheraton-towers,https://www.instagram.com/explore/locations/211657/sheraton-towers/
ion-club,https://www.instagram.com/explore/locations/872231600/ion-club/
metropolitan-ymca-singapore,https://www.instagram.com/explore/locations/488393256/metropolitan-ymca-singapore/
barker-road-methodist-church,https://www.instagram.com/explore/locations/1704351/barker-road-methodist-church/
