cityname,url
tai-seng-singapore,https://www.instagram.com/explore/locations/222594963/tai-seng-singapore/
hadramaut-tareem,https://www.instagram.com/explore/locations/279947493/hadramaut-tareem/
ipoh-perak-malaysia,https://www.instagram.com/explore/locations/260735387/ipoh-perak-malaysia/
jalan-tenaga,https://www.instagram.com/explore/locations/1430438/jalan-tenaga/
compound-coffee-co,https://www.instagram.com/explore/locations/467991059/compound-coffee-co/
nattarampalli,https://www.instagram.com/explore/locations/588726734476125/nattarampalli/
tenagaville,https://www.instagram.com/explore/locations/3673630/tenagaville/
encore-films,https://www.instagram.com/explore/locations/818891696/encore-films/
fuel-garage,https://www.instagram.com/explore/locations/1392103437488541/fuel-garage/
jean-yip-singapore,https://www.instagram.com/explore/locations/396549680/jean-yip-singapore/
kaki-bukit-road-3,https://www.instagram.com/explore/locations/1360356/kaki-bukit-road-3/
angel-and-devil,https://www.instagram.com/explore/locations/109450240898246/angel-and-devil/
kaki-bukit-autohub,https://www.instagram.com/explore/locations/1020578102/kaki-bukit-autohub/
entrepreneur-business-centre,https://www.instagram.com/explore/locations/1461027/entrepreneur-business-centre/
south-east-tyre-co,https://www.instagram.com/explore/locations/38616551/south-east-tyre-co/
motoworld-singapore,https://www.instagram.com/explore/locations/258378566/motoworld-singapore/
tian-wai-tian-fishhead-steamboat,https://www.instagram.com/explore/locations/817500715286516/tian-wai-tian-fishhead-steamboat/
detail-lab,https://www.instagram.com/explore/locations/384230832/detail-lab/
eunos-techpark,https://www.instagram.com/explore/locations/603804/eunos-techpark/
vos-automotive,https://www.instagram.com/explore/locations/1328600917185887/vos-automotive/
epicar-prestige,https://www.instagram.com/explore/locations/100389285607497/epicar-prestige/
60-kaki-bukit-place,https://www.instagram.com/explore/locations/275534056/60-kaki-bukit-place/
loois-motor,https://www.instagram.com/explore/locations/994368931/loois-motor/
sg-motors-pte-ltd,https://www.instagram.com/explore/locations/104961554295391/sg-motors-pte-ltd/
techlink,https://www.instagram.com/explore/locations/849744/techlink/
techlink,https://www.instagram.com/explore/locations/1535466643199452/techlink/
sbr-motors-pte-ltd,https://www.instagram.com/explore/locations/759099317/sbr-motors-pte-ltd/
waste-garage-scooters,https://www.instagram.com/explore/locations/306903429907321/waste-garage-scooters/
