cityname,url
tampines,https://www.instagram.com/explore/locations/105857252787847/tampines/
jannah,https://www.instagram.com/explore/locations/916876039/jannah/
underworld,https://www.instagram.com/explore/locations/874368627/underworld/
allure-maven-marketing-amm,https://www.instagram.com/explore/locations/403076376848062/allure-maven-marketing-amm/
saffrons,https://www.instagram.com/explore/locations/217020562/saffrons/
tampines-st-singapore,https://www.instagram.com/explore/locations/252115904/tampines-st-singapore/
al-azhar-eating-restaurant-pte-ltd,https://www.instagram.com/explore/locations/44952095/al-azhar-eating-restaurant-pte-ltd/
craze-kitchen,https://www.instagram.com/explore/locations/102025701557345/craze-kitchen/
tampines-junior-college,https://www.instagram.com/explore/locations/433458710/tampines-junior-college/
gardens-by-the-bay-marina-bay,https://www.instagram.com/explore/locations/243765255/gardens-by-the-bay-marina-bay/
tampines,https://www.instagram.com/explore/locations/537647553366107/tampines/
pahlawan-beach-sentosa,https://www.instagram.com/explore/locations/430063376/pahlawan-beach-sentosa/
afghanistan-family-restaurant,https://www.instagram.com/explore/locations/942160729/afghanistan-family-restaurant/
tampines-changkat-cc,https://www.instagram.com/explore/locations/774341594/tampines-changkat-cc/
asian-market-cafe-fairmont-hotel,https://www.instagram.com/explore/locations/342301867/asian-market-cafe-fairmont-hotel/
tampines-east-c-c,https://www.instagram.com/explore/locations/397442560287057/tampines-east-c-c/
2six-cafe,https://www.instagram.com/explore/locations/1181414691882746/2six-cafe/
pineapple-under-the-sea-bikini-bottom,https://www.instagram.com/explore/locations/844855417/pineapple-under-the-sea-bikini-bottom/
tampines-st-42,https://www.instagram.com/explore/locations/336233358/tampines-st-42/
simei-st-1-singapore,https://www.instagram.com/explore/locations/263912245/simei-st-1-singapore/
bakes-by-ny,https://www.instagram.com/explore/locations/324463297903382/bakes-by-ny/
mcdonalds-tampines-east-cc,https://www.instagram.com/explore/locations/216254072/mcdonalds-tampines-east-cc/
tekka,https://www.instagram.com/explore/locations/319052920/tekka/
mothers-day-celebration,https://www.instagram.com/explore/locations/122425061170967/mothers-day-celebration/
tampines,https://www.instagram.com/explore/locations/362299784265001/tampines/
south-koreaseoul,https://www.instagram.com/explore/locations/236914995/south-koreaseoul/
21-street-eating-house,https://www.instagram.com/explore/locations/523167/21-street-eating-house/
planet-jupiter,https://www.instagram.com/explore/locations/257156364/planet-jupiter/
home,https://www.instagram.com/explore/locations/361429856/home/
national-museum-singapore,https://www.instagram.com/explore/locations/461213600/national-museum-singapore/
up-in-the-blue-sky,https://www.instagram.com/explore/locations/630022075/up-in-the-blue-sky/
andersens-of-denmark-ice-cream-jewel-changi-airport,https://www.instagram.com/explore/locations/616899248962474/andersens-of-denmark-ice-cream-jewel-changi-airport/
tampines-block-201d,https://www.instagram.com/explore/locations/1027251514/tampines-block-201d/
little-white-house,https://www.instagram.com/explore/locations/1305545/little-white-house/
hm,https://www.instagram.com/explore/locations/208119479206121/hm/
tampines-east-community-centre,https://www.instagram.com/explore/locations/732649/tampines-east-community-centre/
adventure-cove-sentosa,https://www.instagram.com/explore/locations/236855361/adventure-cove-sentosa/
afghanistan-family-restaurant,https://www.instagram.com/explore/locations/236197642/afghanistan-family-restaurant/
tpjc,https://www.instagram.com/explore/locations/23169398/tpjc/
pulau-ubin-island,https://www.instagram.com/explore/locations/215778116/pulau-ubin-island/
city-of-evil,https://www.instagram.com/explore/locations/275645875/city-of-evil/
frozilicious,https://www.instagram.com/explore/locations/240457605/frozilicious/
tampines-east-mrt-dt33,https://www.instagram.com/explore/locations/119282008827708/tampines-east-mrt-dt33/
tampines-st-21-201c-coffeeshop,https://www.instagram.com/explore/locations/264906183/tampines-st-21-201c-coffeeshop/
block-301-tampines-street-32-ave-2,https://www.instagram.com/explore/locations/269145652/block-301-tampines-street-32-ave-2/
lindas-crib-tampines-ria,https://www.instagram.com/explore/locations/1386016608393378/lindas-crib-tampines-ria/
blk-201c-tampines-street-21,https://www.instagram.com/explore/locations/728773292/blk-201c-tampines-street-21/
takashimaya-orchard-rd,https://www.instagram.com/explore/locations/257772564/takashimaya-orchard-rd/
lost,https://www.instagram.com/explore/locations/668359639/lost/
simei-park,https://www.instagram.com/explore/locations/827955/simei-park/
artysticks-drum-studio,https://www.instagram.com/explore/locations/107249573990087/artysticks-drum-studio/
blk-456-tampines-st-42,https://www.instagram.com/explore/locations/236293900/blk-456-tampines-st-42/
haircove-singapore,https://www.instagram.com/explore/locations/243541459702058/haircove-singapore/
tampines-north-park,https://www.instagram.com/explore/locations/1180010/tampines-north-park/
