cityname,url
our-tampines-hub,https://www.instagram.com/explore/locations/241004225945809/our-tampines-hub/
changi-airport-singapore,https://www.instagram.com/explore/locations/104591377635578/changi-airport-singapore/
langkawi-malaysia,https://www.instagram.com/explore/locations/751520298/langkawi-malaysia/
tipsy-penguin,https://www.instagram.com/explore/locations/604530243225890/tipsy-penguin/
masjid-darul-ghufran,https://www.instagram.com/explore/locations/225869466/masjid-darul-ghufran/
uwcsea-east,https://www.instagram.com/explore/locations/213086163/uwcsea-east/
tampines-eco-green,https://www.instagram.com/explore/locations/1471624/tampines-eco-green/
singapore-singapore,https://www.instagram.com/explore/locations/101339985825270/singapore-singapore/
wowcrab,https://www.instagram.com/explore/locations/276869984160241/wowcrab/
tampines-singapore-city,https://www.instagram.com/explore/locations/279244899/tampines-singapore-city/
al-mahboob-rojak,https://www.instagram.com/explore/locations/10334874/al-mahboob-rojak/
tampines-regional-library,https://www.instagram.com/explore/locations/350863675/tampines-regional-library/
tampines-west-community-club,https://www.instagram.com/explore/locations/82052187819/tampines-west-community-club/
dutch-colony-coffee-co,https://www.instagram.com/explore/locations/109403661472947/dutch-colony-coffee-co/
tampines-bus-interchange,https://www.instagram.com/explore/locations/234696736/tampines-bus-interchange/
tampines-greenleaf,https://www.instagram.com/explore/locations/53191664/tampines-greenleaf/
the-tampines-trilliant,https://www.instagram.com/explore/locations/547379424/the-tampines-trilliant/
meet-melt,https://www.instagram.com/explore/locations/950615629/meet-melt/
the-rock-school,https://www.instagram.com/explore/locations/264583029/the-rock-school/
tampines-estate-singapore,https://www.instagram.com/explore/locations/230065354/tampines-estate-singapore/
cameron-highlands-malaysia,https://www.instagram.com/explore/locations/495015637/cameron-highlands-malaysia/
captain-kim-korean-bbq-hotpot-halal,https://www.instagram.com/explore/locations/113623054427206/captain-kim-korean-bbq-hotpot-halal/
fitness-first-tampines,https://www.instagram.com/explore/locations/241886055/fitness-first-tampines/
clip-n-climb-hometeamns,https://www.instagram.com/explore/locations/572117689628517/clip-n-climb-hometeamns/
kraft-x-mexicana,https://www.instagram.com/explore/locations/114347750217214/kraft-x-mexicana/
lighthouse-evangelism-tampines,https://www.instagram.com/explore/locations/1425415/lighthouse-evangelism-tampines/
enlightenment,https://www.instagram.com/explore/locations/105154147523300/enlightenment/
puffs-peaks-bakery,https://www.instagram.com/explore/locations/116002900302763/puffs-peaks-bakery/
jpot-at-tampines-one,https://www.instagram.com/explore/locations/213538935/jpot-at-tampines-one/
tampines-greenridges,https://www.instagram.com/explore/locations/345441312676409/tampines-greenridges/
around-sg,https://www.instagram.com/explore/locations/108895831440808/around-sg/
citylife,https://www.instagram.com/explore/locations/554396455/citylife/
sunplaza-park,https://www.instagram.com/explore/locations/1085714/sunplaza-park/
tampines-swimming-complex,https://www.instagram.com/explore/locations/1250853/tampines-swimming-complex/
mcdonalds-tampines,https://www.instagram.com/explore/locations/235301694/mcdonalds-tampines/
anytime-fitness-tampines,https://www.instagram.com/explore/locations/734463541/anytime-fitness-tampines/
jai-bharath-college-of-management-and-engineering-technology,https://www.instagram.com/explore/locations/597055799/jai-bharath-college-of-management-and-engineering-technology/
the-pets-workshop,https://www.instagram.com/explore/locations/102851961863898/the-pets-workshop/
