cityname,url
tampines-new-town,https://www.instagram.com/explore/locations/8299587/tampines-new-town/
tampines-1,https://www.instagram.com/explore/locations/1083229/tampines-1/
safra-tampines,https://www.instagram.com/explore/locations/578601364/safra-tampines/
tampines-mall,https://www.instagram.com/explore/locations/1268668/tampines-mall/
century-square,https://www.instagram.com/explore/locations/307335581/century-square/
golden-village-tampines,https://www.instagram.com/explore/locations/870353/golden-village-tampines/
haidilao-singapore,https://www.instagram.com/explore/locations/251528875379786/haidilao-singapore/
tampines,https://www.instagram.com/explore/locations/122282/tampines/
auckland-newzealand,https://www.instagram.com/explore/locations/276509117/auckland-newzealand/
tampines-east-singapore,https://www.instagram.com/explore/locations/1024518884/tampines-east-singapore/
singapore,https://www.instagram.com/explore/locations/101515734769905/singapore/
tampines-west-singapore,https://www.instagram.com/explore/locations/1024452132/tampines-west-singapore/
tampines-round-market-food-centre,https://www.instagram.com/explore/locations/36818/tampines-round-market-food-centre/
the-shoppes-at-the-marina-bay-sands,https://www.instagram.com/explore/locations/259640026/the-shoppes-at-the-marina-bay-sands/
tokyo-shokudo,https://www.instagram.com/explore/locations/104780351440952/tokyo-shokudo/
threes-a-crowd,https://www.instagram.com/explore/locations/1442436425818776/threes-a-crowd/
tampines-singapore,https://www.instagram.com/explore/locations/1883103355348817/tampines-singapore/
tampines-mrt-station,https://www.instagram.com/explore/locations/234544242/tampines-mrt-station/
tampines-singapore,https://www.instagram.com/explore/locations/107112437910857/tampines-singapore/
starbucks-singapore,https://www.instagram.com/explore/locations/213002252/starbucks-singapore/
genki-sushi,https://www.instagram.com/explore/locations/101561754673994/genki-sushi/
church-of-the-holy-trinity,https://www.instagram.com/explore/locations/1817436/church-of-the-holy-trinity/
swensen-at-tampines-mall,https://www.instagram.com/explore/locations/38289/swensen-at-tampines-mall/
the-meathouse,https://www.instagram.com/explore/locations/1022104907936873/the-meathouse/
tanjong-beach-club-sentosa-island,https://www.instagram.com/explore/locations/229204744/tanjong-beach-club-sentosa-island/
gelare-at-tampines-one,https://www.instagram.com/explore/locations/406659526/gelare-at-tampines-one/
fish-co-at-tampines-1,https://www.instagram.com/explore/locations/5088319/fish-co-at-tampines-1/
fluff-stack,https://www.instagram.com/explore/locations/101781285420192/fluff-stack/
indonesia-raya-merdeka,https://www.instagram.com/explore/locations/675490415800305/indonesia-raya-merdeka/
seorae-korean-bbq,https://www.instagram.com/explore/locations/106191188120659/seorae-korean-bbq/
paris-baguette,https://www.instagram.com/explore/locations/219694313/paris-baguette/
7th-heaven-ktv-cafe,https://www.instagram.com/explore/locations/518049935032390/7th-heaven-ktv-cafe/
mahota-singapore,https://www.instagram.com/explore/locations/1730651997158658/mahota-singapore/
din-tai-fung,https://www.instagram.com/explore/locations/1917819281847203/din-tai-fung/
joycelyn-kwan-nail-art,https://www.instagram.com/explore/locations/513306943/joycelyn-kwan-nail-art/
singapore,https://www.instagram.com/explore/locations/102868511309326/singapore/
kenny-rogers-roasters-singapore,https://www.instagram.com/explore/locations/100441958461476/kenny-rogers-roasters-singapore/
singapore-tampines,https://www.instagram.com/explore/locations/251708169/singapore-tampines/
love-land,https://www.instagram.com/explore/locations/299895385/love-land/
fitness-first-singapore,https://www.instagram.com/explore/locations/104925774319743/fitness-first-singapore/
tampines-singapore,https://www.instagram.com/explore/locations/1651686855080719/tampines-singapore/
seoul-garden-tampines-mall,https://www.instagram.com/explore/locations/1463709/seoul-garden-tampines-mall/
nandos-tampines-mall,https://www.instagram.com/explore/locations/1780729235278805/nandos-tampines-mall/
threes-a-crowd-802-tampines,https://www.instagram.com/explore/locations/103163548442320/threes-a-crowd-802-tampines/
sanook-kitchen,https://www.instagram.com/explore/locations/103189594885592/sanook-kitchen/
ollivanders,https://www.instagram.com/explore/locations/281513255799056/ollivanders/
