cityname,url
singapore-singapore,https://www.instagram.com/explore/locations/226233390/singapore-singapore/
singapore,https://www.instagram.com/explore/locations/954238744608741/singapore/
tanglin-halt-singapore,https://www.instagram.com/explore/locations/794418/tanglin-halt-singapore/
commonwealth,https://www.instagram.com/explore/locations/215610969/commonwealth/
ya-kun-kaya-toast,https://www.instagram.com/explore/locations/1015858726/ya-kun-kaya-toast/
tanglin-halt-food-centre,https://www.instagram.com/explore/locations/110036/tanglin-halt-food-centre/
wat-arun-bangkok,https://www.instagram.com/explore/locations/252448671/wat-arun-bangkok/
mcdonalds-queensway,https://www.instagram.com/explore/locations/221691011/mcdonalds-queensway/
commonwealth-10,https://www.instagram.com/explore/locations/160862180/commonwealth-10/
vh,https://www.instagram.com/explore/locations/287309204777/vh/
queensway-secondary-school,https://www.instagram.com/explore/locations/219116030/queensway-secondary-school/
your-worst-nightmare,https://www.instagram.com/explore/locations/429315705/your-worst-nightmare/
lombok-indonesia,https://www.instagram.com/explore/locations/794869821/lombok-indonesia/
ridout-tea-garden,https://www.instagram.com/explore/locations/177728399774452/ridout-tea-garden/
stay-home-singapore,https://www.instagram.com/explore/locations/110168333981078/stay-home-singapore/
the-milky-way-homemade-ice-cream-and-coffee,https://www.instagram.com/explore/locations/376712878/the-milky-way-homemade-ice-cream-and-coffee/
queenstown-community-centre,https://www.instagram.com/explore/locations/11037116/queenstown-community-centre/
faith-methodist-church-singapore,https://www.instagram.com/explore/locations/2430238/faith-methodist-church-singapore/
ritz-carlton-hotel-singapore,https://www.instagram.com/explore/locations/263936037/ritz-carlton-hotel-singapore/
move-to-live-singapore,https://www.instagram.com/explore/locations/624636993/move-to-live-singapore/
commonwealth-heights,https://www.instagram.com/explore/locations/595802656/commonwealth-heights/
philosophers-path-kyoto,https://www.instagram.com/explore/locations/265698882/philosophers-path-kyoto/
marina-bay-circuit,https://www.instagram.com/explore/locations/265986263433066/marina-bay-circuit/
drama-centre-victoria-street,https://www.instagram.com/explore/locations/1026271560/drama-centre-victoria-street/
tanglin-halt-road,https://www.instagram.com/explore/locations/2578923/tanglin-halt-road/
by-my-old-school,https://www.instagram.com/explore/locations/280044897/by-my-old-school/
math,https://www.instagram.com/explore/locations/231259820232376/math/
ridout-tea-garden-mcdonalds,https://www.instagram.com/explore/locations/214902250/ridout-tea-garden-mcdonalds/
heavan,https://www.instagram.com/explore/locations/345987905/heavan/
i-hate-you,https://www.instagram.com/explore/locations/277655595/i-hate-you/
one-commonwealth,https://www.instagram.com/explore/locations/690698317619577/one-commonwealth/
commonwealth-mrt,https://www.instagram.com/explore/locations/949486509/commonwealth-mrt/
wei-yi-laksa-prawn-noodle,https://www.instagram.com/explore/locations/17801854/wei-yi-laksa-prawn-noodle/
ownselfmakechef,https://www.instagram.com/explore/locations/288463594991937/ownselfmakechef/
tanglin-halt-market,https://www.instagram.com/explore/locations/6270575/tanglin-halt-market/
swettenham-road-singapore,https://www.instagram.com/explore/locations/236776320/swettenham-road-singapore/
lion-studios,https://www.instagram.com/explore/locations/327692820/lion-studios/
flabslab,https://www.instagram.com/explore/locations/7622535/flabslab/
the-cheese-artisans-singapore,https://www.instagram.com/explore/locations/399639943464482/the-cheese-artisans-singapore/
aha-move,https://www.instagram.com/explore/locations/101927968791428/aha-move/
macdonalds-japanese-garden,https://www.instagram.com/explore/locations/470414110/macdonalds-japanese-garden/
commonwealth-drive,https://www.instagram.com/explore/locations/111959173632774/commonwealth-drive/
commonwealth-drive-singapore,https://www.instagram.com/explore/locations/234717517/commonwealth-drive-singapore/
riyan-rashid-crib,https://www.instagram.com/explore/locations/531647609/riyan-rashid-crib/
new-town-primary-school,https://www.instagram.com/explore/locations/997807116/new-town-primary-school/
