cityname,url
kong-meng-san-phor-kark-see-monastery,https://www.instagram.com/explore/locations/225208027/kong-meng-san-phor-kark-see-monastery/
midview-city,https://www.instagram.com/explore/locations/304484432/midview-city/
so-good-char-chan-tang,https://www.instagram.com/explore/locations/1181246132037936/so-good-char-chan-tang/
church-of-the-holy-spirit-singapore,https://www.instagram.com/explore/locations/511151482255358/church-of-the-holy-spirit-singapore/
eunoia-junior-college,https://www.instagram.com/explore/locations/1724573087777299/eunoia-junior-college/
sin-ming,https://www.instagram.com/explore/locations/1019973294/sin-ming/
miwa-singapore,https://www.instagram.com/explore/locations/1015091839/miwa-singapore/
sin-ming-roti-prata,https://www.instagram.com/explore/locations/1596758203751915/sin-ming-roti-prata/
babyspacomsg,https://www.instagram.com/explore/locations/274142222/babyspacomsg/
hai-bin-prawning,https://www.instagram.com/explore/locations/15897/hai-bin-prawning/
ipoh-malaysia,https://www.instagram.com/explore/locations/508318106/ipoh-malaysia/
blk-22-sin-ming-road,https://www.instagram.com/explore/locations/2484055/blk-22-sin-ming-road/
kbs-motorsports-pte-ltd,https://www.instagram.com/explore/locations/260542982/kbs-motorsports-pte-ltd/
wonderful-bapsang,https://www.instagram.com/explore/locations/593421441168573/wonderful-bapsang/
anytime-fitness-marymount-cc,https://www.instagram.com/explore/locations/101361831410814/anytime-fitness-marymount-cc/
land-transport-authority-lta,https://www.instagram.com/explore/locations/274007585/land-transport-authority-lta/
bright-hill-temple,https://www.instagram.com/explore/locations/237697870/bright-hill-temple/
eat-drink-play,https://www.instagram.com/explore/locations/1481348265527159/eat-drink-play/
foursome,https://www.instagram.com/explore/locations/351561835923658/foursome/
taste-of-thailand-midview-city,https://www.instagram.com/explore/locations/1017409793/taste-of-thailand-midview-city/
hup-seng-duck-rice,https://www.instagram.com/explore/locations/1328939/hup-seng-duck-rice/
marymount-community-club,https://www.instagram.com/explore/locations/261478777/marymount-community-club/
midview-city,https://www.instagram.com/explore/locations/19982/midview-city/
tejomaya-studio,https://www.instagram.com/explore/locations/377929816/tejomaya-studio/
mbm-wheelpower,https://www.instagram.com/explore/locations/159635541177595/mbm-wheelpower/
caffe-zeppin-midview-city,https://www.instagram.com/explore/locations/1836266653293622/caffe-zeppin-midview-city/
bishan-park,https://www.instagram.com/explore/locations/104704648430709/bishan-park/
sin-ming-roti-prata,https://www.instagram.com/explore/locations/17534199/sin-ming-roti-prata/
sin-ming-autocare,https://www.instagram.com/explore/locations/52756689/sin-ming-autocare/
happy-folks,https://www.instagram.com/explore/locations/2086556814784681/happy-folks/
vicom-sin-ming,https://www.instagram.com/explore/locations/240482683/vicom-sin-ming/
eunoia-junior-college,https://www.instagram.com/explore/locations/100166852218982/eunoia-junior-college/
tai-huat-tyres-batteries,https://www.instagram.com/explore/locations/258558811917/tai-huat-tyres-batteries/
so-good-char-chan-tang,https://www.instagram.com/explore/locations/940793386082792/so-good-char-chan-tang/
sing-ming-autocity,https://www.instagram.com/explore/locations/166692110636407/sing-ming-autocity/
creatureland,https://www.instagram.com/explore/locations/397953157690676/creatureland/
thomson-view-condominium,https://www.instagram.com/explore/locations/1993228/thomson-view-condominium/
my-life-my-soulmate,https://www.instagram.com/explore/locations/402070540316521/my-life-my-soulmate/
the-salvation-army-singapore,https://www.instagram.com/explore/locations/147096333696/the-salvation-army-singapore/
grab-singapore,https://www.instagram.com/explore/locations/1062919433844309/grab-singapore/
memos-art-house,https://www.instagram.com/explore/locations/103086764779160/memos-art-house/
friendship-forever,https://www.instagram.com/explore/locations/932422328/friendship-forever/
an-lok-singapore-funeral-services,https://www.instagram.com/explore/locations/565894779/an-lok-singapore-funeral-services/
one-15-marina-club-sentosa-cove,https://www.instagram.com/explore/locations/270852492/one-15-marina-club-sentosa-cove/
amtech-building,https://www.instagram.com/explore/locations/530237/amtech-building/
velo-velo-singapore,https://www.instagram.com/explore/locations/508167119/velo-velo-singapore/
charcoal-traditional-toast,https://www.instagram.com/explore/locations/303889997091618/charcoal-traditional-toast/
thomson-park-singapore,https://www.instagram.com/explore/locations/1425233/thomson-park-singapore/
bms-tuning-pte-ltd,https://www.instagram.com/explore/locations/518479348/bms-tuning-pte-ltd/
earth-jar-treasure,https://www.instagram.com/explore/locations/237838703/earth-jar-treasure/
forbidden-tea,https://www.instagram.com/explore/locations/105534724467771/forbidden-tea/
score-campus,https://www.instagram.com/explore/locations/1011899683/score-campus/
surfers-paradise-gold-coast,https://www.instagram.com/explore/locations/247691971/surfers-paradise-gold-coast/
motor-edgevantage,https://www.instagram.com/explore/locations/607551832717163/motor-edgevantage/
