cityname,url
school-of-science-and-technology-singapore,https://www.instagram.com/explore/locations/236137035/school-of-science-and-technology-singapore/
sp-school-of-business,https://www.instagram.com/explore/locations/214127632/sp-school-of-business/
jem-jurong-east-mall,https://www.instagram.com/explore/locations/237065123/jem-jurong-east-mall/
dover-forest,https://www.instagram.com/explore/locations/103593348393124/dover-forest/
singapore-polytechnic-auditorium,https://www.instagram.com/explore/locations/988546/singapore-polytechnic-auditorium/
batu-aji-batam,https://www.instagram.com/explore/locations/779551672190031/batu-aji-batam/
eunos,https://www.instagram.com/explore/locations/1033907110/eunos/
botanict,https://www.instagram.com/explore/locations/109815487191638/botanict/
singapore-polytechnic-convention-centre,https://www.instagram.com/explore/locations/1612738012168264/singapore-polytechnic-convention-centre/
sp-business-school,https://www.instagram.com/explore/locations/2399108/sp-business-school/
the-marbella,https://www.instagram.com/explore/locations/938453/the-marbella/
hoy-yong-seafood-restaurant,https://www.instagram.com/explore/locations/110198450708616/hoy-yong-seafood-restaurant/
chef-wei-hk-cheong-fun,https://www.instagram.com/explore/locations/103846212044542/chef-wei-hk-cheong-fun/
singapore-polytechnic-convention-center,https://www.instagram.com/explore/locations/287074268/singapore-polytechnic-convention-center/
singapore-polytechnic-business-school,https://www.instagram.com/explore/locations/234835719/singapore-polytechnic-business-school/
school-of-digital-media-and-infocomm-technology-singapore-polytechnic-dmit,https://www.instagram.com/explore/locations/260592068/school-of-digital-media-and-infocomm-technology-singapore-polytechnic-dmit/
haato,https://www.instagram.com/explore/locations/429459/haato/
kitchin-tools,https://www.instagram.com/explore/locations/106750740687561/kitchin-tools/
california-los-angeles-beverly-hills,https://www.instagram.com/explore/locations/234709860/california-los-angeles-beverly-hills/
the-trizonridgewood-closesingapore-condominium,https://www.instagram.com/explore/locations/243716760/the-trizonridgewood-closesingapore-condominium/
352-01-117-clementi-av,https://www.instagram.com/explore/locations/688313558034033/352-01-117-clementi-av/
hilltop-haven-singapore-polytechnic,https://www.instagram.com/explore/locations/236028895/hilltop-haven-singapore-polytechnic/
mount-sinai-rise-singapore,https://www.instagram.com/explore/locations/343478250/mount-sinai-rise-singapore/
singapore-polytechnic-foodcourt-6,https://www.instagram.com/explore/locations/260788897/singapore-polytechnic-foodcourt-6/
mount-sinai-rise,https://www.instagram.com/explore/locations/1222121/mount-sinai-rise/
the-agency-sp,https://www.instagram.com/explore/locations/260527982/the-agency-sp/
singapore-polytechnic-t21,https://www.instagram.com/explore/locations/216934701/singapore-polytechnic-t21/
hapiha,https://www.instagram.com/explore/locations/103384288665534/hapiha/
sp-aerohub,https://www.instagram.com/explore/locations/1024171765/sp-aerohub/
gday-bistro,https://www.instagram.com/explore/locations/1327039607363852/gday-bistro/
pawrus-group,https://www.instagram.com/explore/locations/1033509558/pawrus-group/
beaverton-court,https://www.instagram.com/explore/locations/81446713/beaverton-court/
meet-up-352,https://www.instagram.com/explore/locations/110836783142314/meet-up-352/
singapore-polytechnic-fc3,https://www.instagram.com/explore/locations/225316107/singapore-polytechnic-fc3/
trizon-condo-singapore,https://www.instagram.com/explore/locations/1964449213776286/trizon-condo-singapore/
food-court-4-singapore-polytechnic,https://www.instagram.com/explore/locations/253803025/food-court-4-singapore-polytechnic/
singapore-polytechnic-school-of-business,https://www.instagram.com/explore/locations/5606776/singapore-polytechnic-school-of-business/
singapore-polytechnic-hilltop-library,https://www.instagram.com/explore/locations/1802710/singapore-polytechnic-hilltop-library/
fontana-heights-mount-sinai-rise,https://www.instagram.com/explore/locations/251128337/fontana-heights-mount-sinai-rise/
sp-stadium,https://www.instagram.com/explore/locations/730710820645829/sp-stadium/
snow-city,https://www.instagram.com/explore/locations/242809805/snow-city/
t18-singapore-polytechnic,https://www.instagram.com/explore/locations/267164563/t18-singapore-polytechnic/
mad-jack-cafe,https://www.instagram.com/explore/locations/780459375/mad-jack-cafe/
village-tower,https://www.instagram.com/explore/locations/21125051/village-tower/
taichung-taiwan,https://www.instagram.com/explore/locations/206419872816728/taichung-taiwan/
mlt8-singapore-polytechnic,https://www.instagram.com/explore/locations/260483281/mlt8-singapore-polytechnic/
singapore-polytechnic-hilltop,https://www.instagram.com/explore/locations/322971705/singapore-polytechnic-hilltop/
singapore-poly-auditorium,https://www.instagram.com/explore/locations/255279585/singapore-poly-auditorium/
singapore-polytechnic-t17,https://www.instagram.com/explore/locations/650180/singapore-polytechnic-t17/
auditorium-reception-hall-singapore-polytechnic,https://www.instagram.com/explore/locations/271237236927637/auditorium-reception-hall-singapore-polytechnic/
whyzee,https://www.instagram.com/explore/locations/617390432065122/whyzee/
photo-gallery,https://www.instagram.com/explore/locations/237855631/photo-gallery/
the-writers-room,https://www.instagram.com/explore/locations/275452113/the-writers-room/
singapore-polytechnic-staff-apartment-blk-210,https://www.instagram.com/explore/locations/808822291/singapore-polytechnic-staff-apartment-blk-210/
vegan-curry-rice-with-mother-earth,https://www.instagram.com/explore/locations/102387221136154/vegan-curry-rice-with-mother-earth/
starbucks-at-singapore-polytechnic,https://www.instagram.com/explore/locations/528866933794518/starbucks-at-singapore-polytechnic/
fire,https://www.instagram.com/explore/locations/105068981087505/fire/
deep-on-my-heart,https://www.instagram.com/explore/locations/599660908/deep-on-my-heart/
hilltop-library-sp,https://www.instagram.com/explore/locations/7777998/hilltop-library-sp/
jalilahscorner,https://www.instagram.com/explore/locations/105363394387798/jalilahscorner/
ridgewood-gourmet,https://www.instagram.com/explore/locations/195739620942829/ridgewood-gourmet/
singapore-polytechnic-mlt12,https://www.instagram.com/explore/locations/1407499/singapore-polytechnic-mlt12/
e-sarn-thai-cuisine-ridgewood-close,https://www.instagram.com/explore/locations/471179344/e-sarn-thai-cuisine-ridgewood-close/
31-rochester-drive,https://www.instagram.com/explore/locations/520764745/31-rochester-drive/
belmonte-latin-foods,https://www.instagram.com/explore/locations/102254963/belmonte-latin-foods/
foodcourt4-sp,https://www.instagram.com/explore/locations/276409212382138/foodcourt4-sp/
singapore-polytechnic-foodcourt-4,https://www.instagram.com/explore/locations/291217583/singapore-polytechnic-foodcourt-4/
sp-fc4,https://www.instagram.com/explore/locations/440305704/sp-fc4/
inside-my-heart-olways-loving-you,https://www.instagram.com/explore/locations/335598767/inside-my-heart-olways-loving-you/
sp-food-court-6,https://www.instagram.com/explore/locations/262113099/sp-food-court-6/
situjuah-payakumbuh,https://www.instagram.com/explore/locations/572214834/situjuah-payakumbuh/
singapore-polytechnic-t20,https://www.instagram.com/explore/locations/1301913/singapore-polytechnic-t20/
sp-diploma-in-business-innovation-design-dbid,https://www.instagram.com/explore/locations/332450679/sp-diploma-in-business-innovation-design-dbid/
marina-bay-singapore,https://www.instagram.com/explore/locations/252721280/marina-bay-singapore/
pineapple-tarts-singapore,https://www.instagram.com/explore/locations/1206345289473403/pineapple-tarts-singapore/
craftwork,https://www.instagram.com/explore/locations/107531274029871/craftwork/
pizzaface-ridgewood,https://www.instagram.com/explore/locations/1990923874528705/pizzaface-ridgewood/
