cityname,url
tuas-singapore,https://www.instagram.com/explore/locations/331939194/tuas-singapore/
singapore-marinabay,https://www.instagram.com/explore/locations/638513096288794/singapore-marinabay/
double-scoops,https://www.instagram.com/explore/locations/802949582/double-scoops/
singaporetuas-area,https://www.instagram.com/explore/locations/402849748/singaporetuas-area/
twilight-zone,https://www.instagram.com/explore/locations/437201151/twilight-zone/
keppeltuas-singapore,https://www.instagram.com/explore/locations/150699188328882/keppeltuas-singapore/
tuas-view-dormitory,https://www.instagram.com/explore/locations/491366901237185/tuas-view-dormitory/
tuas-south-street-5,https://www.instagram.com/explore/locations/6443875/tuas-south-street-5/
nipal,https://www.instagram.com/explore/locations/556832714338415/nipal/
tuas,https://www.instagram.com/explore/locations/103985552972052/tuas/
far-far-away-land,https://www.instagram.com/explore/locations/323027541819117/far-far-away-land/
marina-buysingapore,https://www.instagram.com/explore/locations/540270779/marina-buysingapore/
paxocean-singapore-shipyard,https://www.instagram.com/explore/locations/209592739545111/paxocean-singapore-shipyard/
greenhouse-bistro-tuas,https://www.instagram.com/explore/locations/105258568484390/greenhouse-bistro-tuas/
ddw-paxocean-shipyard-pte-ltd,https://www.instagram.com/explore/locations/257426794/ddw-paxocean-shipyard-pte-ltd/
st-marine-tuas,https://www.instagram.com/explore/locations/235254072/st-marine-tuas/
jurong-islandsingapore,https://www.instagram.com/explore/locations/235289996/jurong-islandsingapore/
live-in-singapure,https://www.instagram.com/explore/locations/926430580/live-in-singapure/
gul-circle-tuas-singapore,https://www.instagram.com/explore/locations/115412782717214/gul-circle-tuas-singapore/
tuas-west-road-mrt-station,https://www.instagram.com/explore/locations/1025753013/tuas-west-road-mrt-station/
paxocean-shipyard,https://www.instagram.com/explore/locations/1806846229418881/paxocean-shipyard/
sts-operation-area-nipah-anchorage,https://www.instagram.com/explore/locations/964751736/sts-operation-area-nipah-anchorage/
heart-of-love,https://www.instagram.com/explore/locations/101271741594912/heart-of-love/
south-china-sea,https://www.instagram.com/explore/locations/759483439/south-china-sea/
keppel-shipyard-tuas,https://www.instagram.com/explore/locations/2389178/keppel-shipyard-tuas/
scoopz-ice-cream,https://www.instagram.com/explore/locations/217520532/scoopz-ice-cream/
tuas-crescent,https://www.instagram.com/explore/locations/27451186/tuas-crescent/
gul-circle-mrt-station,https://www.instagram.com/explore/locations/929031342/gul-circle-mrt-station/
tuas-crescent-mrt-station,https://www.instagram.com/explore/locations/175113852530225/tuas-crescent-mrt-station/
tuas-west-road-singapore,https://www.instagram.com/explore/locations/1819840958242374/tuas-west-road-singapore/
novartis-singapore-pharmaceutical-manufacturing-ptd-ltd,https://www.instagram.com/explore/locations/1408907/novartis-singapore-pharmaceutical-manufacturing-ptd-ltd/
tuas-fire-station-station-42,https://www.instagram.com/explore/locations/219843378/tuas-fire-station-station-42/
tuas-south-avenue-14,https://www.instagram.com/explore/locations/258570449/tuas-south-avenue-14/
pioneer-sector-1,https://www.instagram.com/explore/locations/243549636/pioneer-sector-1/
woplsingapore,https://www.instagram.com/explore/locations/741014379/woplsingapore/
smarty-bt-oilfield-services-pte-ltd,https://www.instagram.com/explore/locations/475995480/smarty-bt-oilfield-services-pte-ltd/
tuas-shipyard,https://www.instagram.com/explore/locations/228021680544032/tuas-shipyard/
tuas-south-boulevard,https://www.instagram.com/explore/locations/590464282/tuas-south-boulevard/
halliburton-tuas-south-ave-12,https://www.instagram.com/explore/locations/252460325/halliburton-tuas-south-ave-12/
keppel-shipyard-tuas-singapore,https://www.instagram.com/explore/locations/382112280/keppel-shipyard-tuas-singapore/
lonza-tuas-biologics-pte-ltd,https://www.instagram.com/explore/locations/236867173/lonza-tuas-biologics-pte-ltd/
g7-bukit-timah-live-porridge,https://www.instagram.com/explore/locations/149149305183565/g7-bukit-timah-live-porridge/
pfizer-global-manufacturing-singapore,https://www.instagram.com/explore/locations/112372025503621/pfizer-global-manufacturing-singapore/
tuas-south-incineration-plant,https://www.instagram.com/explore/locations/2261336/tuas-south-incineration-plant/
abbott-manufacturing-singapore,https://www.instagram.com/explore/locations/13664366/abbott-manufacturing-singapore/
station-45-tuas-view-fire-station-hazmat,https://www.instagram.com/explore/locations/295926891/station-45-tuas-view-fire-station-hazmat/
keppel-shipyard-pioneer-sector,https://www.instagram.com/explore/locations/225696366/keppel-shipyard-pioneer-sector/
neste-oil-singapore,https://www.instagram.com/explore/locations/226284398/neste-oil-singapore/
opl-anchorage-singapore,https://www.instagram.com/explore/locations/604769284/opl-anchorage-singapore/
jtc-space-at-tuas,https://www.instagram.com/explore/locations/178042636236425/jtc-space-at-tuas/
tuas-basin-link,https://www.instagram.com/explore/locations/847704/tuas-basin-link/
tetra-pak,https://www.instagram.com/explore/locations/281794810/tetra-pak/
