cityname,url
changi-business-park,https://www.instagram.com/explore/locations/143835642297087/changi-business-park/
song-fa-bak-kut-teh,https://www.instagram.com/explore/locations/218407995/song-fa-bak-kut-teh/
dbs-bank-singapore,https://www.instagram.com/explore/locations/1004221061/dbs-bank-singapore/
standard-chartered-bank-changi-business-park,https://www.instagram.com/explore/locations/248784924/standard-chartered-bank-changi-business-park/
dbs-bank-asia-hub,https://www.instagram.com/explore/locations/268063209/dbs-bank-asia-hub/
zab-udon-coco-cafe,https://www.instagram.com/explore/locations/2308235719413250/zab-udon-coco-cafe/
changi-business-park,https://www.instagram.com/explore/locations/263047/changi-business-park/
just-dough-cafe,https://www.instagram.com/explore/locations/234589720216056/just-dough-cafe/
citibank-no-3-changi-business-park-crescent,https://www.instagram.com/explore/locations/240563670/citibank-no-3-changi-business-park-crescent/
the-signature,https://www.instagram.com/explore/locations/27293/the-signature/
ibm-singapore,https://www.instagram.com/explore/locations/6029205/ibm-singapore/
yips-cookies-more,https://www.instagram.com/explore/locations/257499986/yips-cookies-more/
dbs-asia-hub-changi-business-park-singapore,https://www.instagram.com/explore/locations/1592795984382637/dbs-asia-hub-changi-business-park-singapore/
kailash-parbat,https://www.instagram.com/explore/locations/314589972647219/kailash-parbat/
suntech-city-singapore,https://www.instagram.com/explore/locations/781536305/suntech-city-singapore/
plaza-8-changi-business-park,https://www.instagram.com/explore/locations/2659454/plaza-8-changi-business-park/
hansapoint-cbp,https://www.instagram.com/explore/locations/217383696/hansapoint-cbp/
dhl-global-forwarding,https://www.instagram.com/explore/locations/305402804/dhl-global-forwarding/
citi-singapore-campus,https://www.instagram.com/explore/locations/237782511/citi-singapore-campus/
changi-business-park-dbs-asia-hub,https://www.instagram.com/explore/locations/241518575/changi-business-park-dbs-asia-hub/
changi-south,https://www.instagram.com/explore/locations/485036624/changi-south/
f45-training-changi-business-park,https://www.instagram.com/explore/locations/1975735115972889/f45-training-changi-business-park/
sakunthalas-restaurant,https://www.instagram.com/explore/locations/281127834/sakunthalas-restaurant/
ibm-place-changi-business-park-singapore,https://www.instagram.com/explore/locations/235344538/ibm-place-changi-business-park-singapore/
