cityname,url
choa-chu-kang-stadium,https://www.instagram.com/explore/locations/496682/choa-chu-kang-stadium/
yew-mei-green-condominium,https://www.instagram.com/explore/locations/1868162/yew-mei-green-condominium/
sueno-cafe-sg,https://www.instagram.com/explore/locations/103028407858402/sueno-cafe-sg/
club-july-stagmont-ring,https://www.instagram.com/explore/locations/720818/club-july-stagmont-ring/
melaka-jonker-street,https://www.instagram.com/explore/locations/243527972/melaka-jonker-street/
regent-secondary-school,https://www.instagram.com/explore/locations/600974/regent-secondary-school/
pulau-ujong,https://www.instagram.com/explore/locations/407611054/pulau-ujong/
mandarin-oriental-hotel,https://www.instagram.com/explore/locations/270592466/mandarin-oriental-hotel/
fitness-workz,https://www.instagram.com/explore/locations/303766352/fitness-workz/
s-11-choa-chu-kang-787-food-court,https://www.instagram.com/explore/locations/253518438/s-11-choa-chu-kang-787-food-court/
i-love-sukhothai,https://www.instagram.com/explore/locations/106290605769078/i-love-sukhothai/
yew-tee-village-singapore,https://www.instagram.com/explore/locations/256717121/yew-tee-village-singapore/
park-connector-jogging-track,https://www.instagram.com/explore/locations/253358187/park-connector-jogging-track/
cck-clubfitt-gym,https://www.instagram.com/explore/locations/1278163/cck-clubfitt-gym/
chua-chu-kang-sports-hall,https://www.instagram.com/explore/locations/303630039/chua-chu-kang-sports-hall/
nail-gallery-by-sharon-low,https://www.instagram.com/explore/locations/566676226865291/nail-gallery-by-sharon-low/
not-here,https://www.instagram.com/explore/locations/758274036/not-here/
yew-tee-primary-school,https://www.instagram.com/explore/locations/534588834/yew-tee-primary-school/
gali-batu-depot,https://www.instagram.com/explore/locations/1020665677/gali-batu-depot/
yewtee,https://www.instagram.com/explore/locations/446381/yewtee/
villa-verde-singapore,https://www.instagram.com/explore/locations/247927558655354/villa-verde-singapore/
choa-chu-kang-swimming-complex,https://www.instagram.com/explore/locations/2144557519094481/choa-chu-kang-swimming-complex/
yew-tee-industrial-estate,https://www.instagram.com/explore/locations/218859015/yew-tee-industrial-estate/
activesg-choa-chu-kang-and-senja-cashew-sport-centre,https://www.instagram.com/explore/locations/384420165/activesg-choa-chu-kang-and-senja-cashew-sport-centre/
villa-verde,https://www.instagram.com/explore/locations/3181468/villa-verde/
