cityname,url
apple-singapore,https://www.instagram.com/explore/locations/6394298/apple-singapore/
arteastiq-at-mandarin-gallery,https://www.instagram.com/explore/locations/515953013/arteastiq-at-mandarin-gallery/
raku-inu-bistro-bar-powered-by-dong-mama-thai,https://www.instagram.com/explore/locations/102506005283995/raku-inu-bistro-bar-powered-by-dong-mama-thai/
seletar-expressway-sle,https://www.instagram.com/explore/locations/223661344/seletar-expressway-sle/
ncs-hub,https://www.instagram.com/explore/locations/275591226/ncs-hub/
nayana-kpop-cafe-restuarant,https://www.instagram.com/explore/locations/1010081212496977/nayana-kpop-cafe-restuarant/
the-vanilla-bean-sg,https://www.instagram.com/explore/locations/1521534618151109/the-vanilla-bean-sg/
apple-south-asia,https://www.instagram.com/explore/locations/255898329/apple-south-asia/
st-engineering,https://www.instagram.com/explore/locations/561489170660235/st-engineering/
ue-bizhub-central,https://www.instagram.com/explore/locations/2517056/ue-bizhub-central/
countryside-road,https://www.instagram.com/explore/locations/6159711/countryside-road/
sletpe,https://www.instagram.com/explore/locations/255857203/sletpe/
lazy-lizard-flora-vista,https://www.instagram.com/explore/locations/107818694775500/lazy-lizard-flora-vista/
lta-seletar-bus-depot,https://www.instagram.com/explore/locations/827701584104225/lta-seletar-bus-depot/
st-electronics,https://www.instagram.com/explore/locations/3077016/st-electronics/
tech-point,https://www.instagram.com/explore/locations/4669535/tech-point/
apple-hq-gym,https://www.instagram.com/explore/locations/2374063/apple-hq-gym/
econ-building-ang-mo-kio-st-64,https://www.instagram.com/explore/locations/318598793/econ-building-ang-mo-kio-st-64/
cafe-macs-apple-south-asia,https://www.instagram.com/explore/locations/183654738415937/cafe-macs-apple-south-asia/
techpoint-amk,https://www.instagram.com/explore/locations/260506134/techpoint-amk/
mk-musang-king,https://www.instagram.com/explore/locations/102187545001933/mk-musang-king/
sle,https://www.instagram.com/explore/locations/23027907/sle/
crimson-by-sunbird,https://www.instagram.com/explore/locations/110216784594706/crimson-by-sunbird/
o2-cafe,https://www.instagram.com/explore/locations/425601548168340/o2-cafe/
caffe-macs,https://www.instagram.com/explore/locations/10693242/caffe-macs/
cactus-road,https://www.instagram.com/explore/locations/1801435580160804/cactus-road/
small-ville-bakery-cafe,https://www.instagram.com/explore/locations/362167484211343/small-ville-bakery-cafe/
cactus-road,https://www.instagram.com/explore/locations/1042092/cactus-road/
cactus-crescent,https://www.instagram.com/explore/locations/9119880/cactus-crescent/
seletar-garden-cactus-rd,https://www.instagram.com/explore/locations/515959793/seletar-garden-cactus-rd/
ang-mo-kio-st-65-techpoint,https://www.instagram.com/explore/locations/1017697604/ang-mo-kio-st-65-techpoint/
floraville-condo-singapore,https://www.instagram.com/explore/locations/133934039/floraville-condo-singapore/
seletar-garden,https://www.instagram.com/explore/locations/295669701038469/seletar-garden/
st-engineering-hub,https://www.instagram.com/explore/locations/283952678/st-engineering-hub/
floraview-flora-vista-singapore,https://www.instagram.com/explore/locations/1287008091428153/floraview-flora-vista-singapore/
apple-singapore-caffe-macs,https://www.instagram.com/explore/locations/343215355/apple-singapore-caffe-macs/
3m,https://www.instagram.com/explore/locations/399450800780341/3m/
cactus-crescent-seletar-gardens-yio-chu-kang-road,https://www.instagram.com/explore/locations/357898724/cactus-crescent-seletar-gardens-yio-chu-kang-road/
yong-heng-cafe-restaurant,https://www.instagram.com/explore/locations/328978/yong-heng-cafe-restaurant/
schneider-electric-singapore,https://www.instagram.com/explore/locations/835592473234953/schneider-electric-singapore/
tung-luk-hotel-michael-sentosa,https://www.instagram.com/explore/locations/241700349334121/tung-luk-hotel-michael-sentosa/
office-gym,https://www.instagram.com/explore/locations/388187253/office-gym/
lunchtime-gym,https://www.instagram.com/explore/locations/1032157984/lunchtime-gym/
anjolinail,https://www.instagram.com/explore/locations/1661984557419226/anjolinail/
livingcare-singapore,https://www.instagram.com/explore/locations/1005662792890729/livingcare-singapore/
arthouse-singapore,https://www.instagram.com/explore/locations/747698228907735/arthouse-singapore/
hong-ji-claypot-pork-rib,https://www.instagram.com/explore/locations/865335646/hong-ji-claypot-pork-rib/
floravista,https://www.instagram.com/explore/locations/792903050757113/floravista/
locale-of-singapore-north,https://www.instagram.com/explore/locations/340829406/locale-of-singapore-north/
rong-ji-seafood,https://www.instagram.com/explore/locations/2023668/rong-ji-seafood/
changi-airport-terminal-2-arrival-hall,https://www.instagram.com/explore/locations/266723012/changi-airport-terminal-2-arrival-hall/
countryside-kitchen,https://www.instagram.com/explore/locations/405744588/countryside-kitchen/
cafe-mac,https://www.instagram.com/explore/locations/111031239/cafe-mac/
small-ville-bakery-cafe,https://www.instagram.com/explore/locations/1367979039994424/small-ville-bakery-cafe/
seletar-garden,https://www.instagram.com/explore/locations/4354616/seletar-garden/
seletar-bus-depot,https://www.instagram.com/explore/locations/1202611606509567/seletar-bus-depot/
invisible-seat-my-little-world,https://www.instagram.com/explore/locations/311055620/invisible-seat-my-little-world/
kuching,https://www.instagram.com/explore/locations/193519280702347/kuching/
seletar-bus-depot,https://www.instagram.com/explore/locations/383434418749771/seletar-bus-depot/
asml-singapore,https://www.instagram.com/explore/locations/655593851189273/asml-singapore/
sembawang-shopping-center,https://www.instagram.com/explore/locations/219105029/sembawang-shopping-center/
smrt-buses,https://www.instagram.com/explore/locations/424545205024563/smrt-buses/
qcd-technology,https://www.instagram.com/explore/locations/236385476378669/qcd-technology/
iglesia-ni-cristo-north,https://www.instagram.com/explore/locations/314280993/iglesia-ni-cristo-north/
singapore-lion-city,https://www.instagram.com/explore/locations/895635466/singapore-lion-city/
insiders,https://www.instagram.com/explore/locations/106223434046221/insiders/
kiddiwinkie-schoolhouse,https://www.instagram.com/explore/locations/105045898850344/kiddiwinkie-schoolhouse/
chinatown,https://www.instagram.com/explore/locations/288438384/chinatown/
church-of-christ-locale-of-singapore-north,https://www.instagram.com/explore/locations/251567218221998/church-of-christ-locale-of-singapore-north/
learning-visionncs,https://www.instagram.com/explore/locations/4374178/learning-visionncs/
nepes,https://www.instagram.com/explore/locations/221506262/nepes/
tech-data-singapore,https://www.instagram.com/explore/locations/216635175580335/tech-data-singapore/
10-ang-mo-kio-street-65,https://www.instagram.com/explore/locations/1014141478/10-ang-mo-kio-street-65/
apple-inc,https://www.instagram.com/explore/locations/396821365/apple-inc/
lower-seletar-reservior,https://www.instagram.com/explore/locations/291077073/lower-seletar-reservior/
12-ang-mo-kio-st-65,https://www.instagram.com/explore/locations/468395385/12-ang-mo-kio-st-65/
khoo-teck-phuat-hospital,https://www.instagram.com/explore/locations/249728416/khoo-teck-phuat-hospital/
sanden-international-singapore-pte-ltd,https://www.instagram.com/explore/locations/2267708513468729/sanden-international-singapore-pte-ltd/
kim-eng-chicken-rice,https://www.instagram.com/explore/locations/109749117921602/kim-eng-chicken-rice/
furnishing-fabrics,https://www.instagram.com/explore/locations/108607204111015/furnishing-fabrics/
powertech-singapore,https://www.instagram.com/explore/locations/862984283/powertech-singapore/
floraview-floravista,https://www.instagram.com/explore/locations/523856317806388/floraview-floravista/
five-foot-way-cafe-techpoint-building-amk,https://www.instagram.com/explore/locations/317624328/five-foot-way-cafe-techpoint-building-amk/
rocky-master-singapore,https://www.instagram.com/explore/locations/874517789356890/rocky-master-singapore/
techpoint-schneider-electric,https://www.instagram.com/explore/locations/1034535424/techpoint-schneider-electric/
floraview,https://www.instagram.com/explore/locations/123054505106621/floraview/
salman-park,https://www.instagram.com/explore/locations/181034556151393/salman-park/
cactus-road-seletar-garden,https://www.instagram.com/explore/locations/105471789574591/cactus-road-seletar-garden/
heartcave-senior-paws-rehab-retreat,https://www.instagram.com/explore/locations/488539458185445/heartcave-senior-paws-rehab-retreat/
countryside-grove,https://www.instagram.com/explore/locations/1016958129/countryside-grove/
2-ang-mo-kio-street-64-econ-bldg,https://www.instagram.com/explore/locations/340845282/2-ang-mo-kio-street-64-econ-bldg/
marina-bay,https://www.instagram.com/explore/locations/291381680/marina-bay/
1-ang-mo-kio-street-64,https://www.instagram.com/explore/locations/48650184/1-ang-mo-kio-street-64/
green-garden-6023-foodcourt,https://www.instagram.com/explore/locations/987432455/green-garden-6023-foodcourt/
