cityname,url
my-rabbit-hole,https://www.instagram.com/explore/locations/282974277/my-rabbit-hole/
amoy-quee-camp,https://www.instagram.com/explore/locations/1516775/amoy-quee-camp/
sunrise-gardens,https://www.instagram.com/explore/locations/10038476/sunrise-gardens/
bugis-junction-singapore,https://www.instagram.com/explore/locations/213675202045182/bugis-junction-singapore/
este-villa,https://www.instagram.com/explore/locations/238617356/este-villa/
grande-vistacactus-drivesingapore-condominium,https://www.instagram.com/explore/locations/798753236/grande-vistacactus-drivesingapore-condominium/
perfectly-painted,https://www.instagram.com/explore/locations/1863710560523181/perfectly-painted/
yio-chu-kang-estate-singaproe,https://www.instagram.com/explore/locations/1030359682/yio-chu-kang-estate-singaproe/
serenity-park,https://www.instagram.com/explore/locations/1612460/serenity-park/
grande-vista,https://www.instagram.com/explore/locations/1432207/grande-vista/
the-ding-ding-man,https://www.instagram.com/explore/locations/105406419906420/the-ding-ding-man/
mercedez-benz-museum-stuttgart,https://www.instagram.com/explore/locations/1030580928/mercedez-benz-museum-stuttgart/
sunrise-avenue,https://www.instagram.com/explore/locations/526280/sunrise-avenue/
powerboxinggym,https://www.instagram.com/explore/locations/444004148997213/powerboxinggym/
yio-chu-kang-estate-singapore,https://www.instagram.com/explore/locations/268032650/yio-chu-kang-estate-singapore/
begonia-drive,https://www.instagram.com/explore/locations/2660890/begonia-drive/
mimosa-terrace,https://www.instagram.com/explore/locations/21234165/mimosa-terrace/
sunrise-avenue-yio-chu-kang-rd,https://www.instagram.com/explore/locations/1021727113/sunrise-avenue-yio-chu-kang-rd/
sunrise-way,https://www.instagram.com/explore/locations/1973740/sunrise-way/
national-cadet-corps-singapore,https://www.instagram.com/explore/locations/290607574/national-cadet-corps-singapore/
saraca-terrace,https://www.instagram.com/explore/locations/2482060/saraca-terrace/
cabana-sunrise-terrace,https://www.instagram.com/explore/locations/258166532/cabana-sunrise-terrace/
mimosa-park,https://www.instagram.com/explore/locations/16054452/mimosa-park/
cabanasunrise-terracesingapore-landed-estate,https://www.instagram.com/explore/locations/646465292373347/cabanasunrise-terracesingapore-landed-estate/
alanasunrise-terracesingapore-landed-estate,https://www.instagram.com/explore/locations/619170948468605/alanasunrise-terracesingapore-landed-estate/
sunrise,https://www.instagram.com/explore/locations/810999438/sunrise/
mimosa-view,https://www.instagram.com/explore/locations/865756/mimosa-view/
st-vincent-de-paul-church-yio-chu-kang-rd-singapore,https://www.instagram.com/explore/locations/256920249/st-vincent-de-paul-church-yio-chu-kang-rd-singapore/
