Rank,Username,Category,Followers,Country,Engagement,img
1,jjlin,Music,5.2M,China,25K,https://cdn.hypeauditor.com/img/instagram/user/6322604.jpg?w=150&till=1725148740&sign=66657cb079056a6b1139abcb22155abe
2,speishi,Beauty,373.2K,Singapore,265.5K,https://cdn.hypeauditor.com/img/instagram/user/5361039.jpg?w=150&till=1725148740&sign=d5e1c8897b563df911955e1b520281b9
3,sherrinn_,Lifestyle,370.7K,India,115.6K,https://cdn.hypeauditor.com/img/instagram/user/1747200252.jpg?w=150&till=1725148740&sign=5976439f28176dd8d9cc5c5864a88044
4,insynced,Photography,291.1K,Singapore,151.7K,https://cdn.hypeauditor.com/img/instagram/user/2279929562.jpg?w=150&till=1725148740&sign=034a9bdec0e672c4fbd6292309fa5e3f
5,lindsayvoitton,Clothing & Outfits,169.1K,Singapore,235.6K,https://cdn.hypeauditor.com/img/instagram/user/24946561.jpg?w=150&till=1725148740&sign=5d203ce93006d0697ee845b0befd7dfa
6,adore_rosiee,Humor & Fun & Happiness,69.1K,Singapore,370K,https://cdn.hypeauditor.com/img/instagram/user/25816545820.jpg?w=150&till=1725148740&sign=3b0f09ab02a2a7586b7895efc2ed8c76
7,carrinelow,Lifestyle,138.2K,Singapore,216.1K,https://cdn.hypeauditor.com/img/instagram/user/12716074.jpg?w=150&till=1725148740&sign=de59f5be8cd1400865cf5665d3989932
8,darylaiden,Beauty,136.7K,Singapore,254K,https://cdn.hypeauditor.com/img/instagram/user/46453765.jpg?w=150&till=1725148740&sign=45d65ea3bdc0447ceda122405a6fad8e
9,andyyongfilms,Photography,2.5M,Singapore,9.4K,https://cdn.hypeauditor.com/img/instagram/user/3004811502.jpg?w=150&till=1725148740&sign=f2bd07a9e7df2b9b2ceb72b96c8a18a5
10,denisesoongeelyn,Cinema & Actors/actresses,351.2K,Singapore,52.1K,https://cdn.hypeauditor.com/img/instagram/user/13377838.jpg?w=150&till=1725148740&sign=38877f1dc2f692c0b37e8e82bf0bba3f
11,moshicatinc,Comics & sketches,233K,Singapore,70.6K,https://cdn.hypeauditor.com/img/instagram/user/45623930122.jpg?w=150&till=1725148740&sign=32c235e94f2fed9ab6f8ac77bfb68ef9
12,moochihehe,Beauty,394.6K,Singapore,41K,https://cdn.hypeauditor.com/img/instagram/user/203330936.jpg?w=150&till=1725148740&sign=01bad8e52ffb65390ef6d6014f2ffc4e
13,naomineo_,Family,925.7K,Singapore,12.6K,https://cdn.hypeauditor.com/img/instagram/user/6308389.jpg?w=150&till=1725148740&sign=1a262a179767ed987d7a2964037a4ef6
14,foodmakescalhappy,Food & Cooking,58.3K,Singapore,246.4K,https://cdn.hypeauditor.com/img/instagram/user/187657814.jpg?w=150&till=1725148740&sign=9ad6ffead3b074a09e859e4fab22d9b6
15,graceglazee,Shows,211.5K,Singapore,59.2K,https://cdn.hypeauditor.com/img/instagram/user/272144482.jpg?w=150&till=1725148740&sign=8495d80e94f729bdbe2e8774cd0d8009
16,zermattneo,Food & Cooking,477K,Singapore,24.3K,https://cdn.hypeauditor.com/img/instagram/user/184018231.jpg?w=150&till=1725148740&sign=417d02b2bdd20a0e131c4f5b52ac689c
17,vanakkamkannu_vlogs,Humor & Fun & Happiness,333.8K,India,30K,https://cdn.hypeauditor.com/img/instagram/user/4852005789.jpg?w=150&till=1725148740&sign=2979b7bccc3060754994bbc38f5eb408
18,yingxuantaan,Clothing & Outfits,30.9K,Singapore,418.7K,https://cdn.hypeauditor.com/img/instagram/user/275130728.jpg?w=150&till=1725148740&sign=d8bc5ecbfef042e2932c54f26d8d39a4
19,thewokesalaryman,Finance & Economics,478.6K,Singapore,20.3K,https://cdn.hypeauditor.com/img/instagram/user/13697878919.jpg?w=150&till=1725148740&sign=26b855a63c163b179960809bc7a31407
20,mothershipsg,Shows,827.7K,Singapore,9.7K,https://cdn.hypeauditor.com/img/instagram/user/479894638.jpg?w=150&till=1725148740&sign=909d73c3b45a6376561e79487e1751b1
21,rockstararms,Fitness & Gym,537K,Indonesia,21K,https://cdn.hypeauditor.com/img/instagram/user/2188470585.jpg?w=150&till=1725148740&sign=a8062205cc324941b7f4f32ef9818ef2
22,smilewithjeryl,Travel,1.3M,Singapore,6.8K,https://cdn.hypeauditor.com/img/instagram/user/285615992.jpg?w=150&till=1725148740&sign=568d9e209c3a1037db229d764ec3d3e0
23,lohkeanyew,Sports with a ball,419.6K,Singapore,18.3K,https://cdn.hypeauditor.com/img/instagram/user/104769173.jpg?w=150&till=1725148740&sign=4535f88cfded955d330923885c2bd977
24,dj.sakuraaa,Music,866.8K,Singapore,10.8K,https://cdn.hypeauditor.com/img/instagram/user/47170627.jpg?w=150&till=1725148740&sign=964b7ec5e6dcb1c5682a1c1b68fcb3f2
25,avidixit10,Humor & Fun & Happiness,377.6K,Singapore,16K,https://cdn.hypeauditor.com/img/instagram/user/246392950.jpg?w=150&till=1725148740&sign=005bde4c4f56ff488e733675ad229321
26,bravenyeo,Lifestyle,245.3K,Singapore,27.9K,https://cdn.hypeauditor.com/img/instagram/user/42056629.jpg?w=150&till=1725148740&sign=794af64118368033eb136034b3437bae
27,thejianhaotan,Shows,691.3K,Singapore,8.2K,https://cdn.hypeauditor.com/img/instagram/user/35720927.jpg?w=150&till=1725148740&sign=8d8f85de8647402c6e352d59036011f3
28,mayig,Cinema & Actors/actresses,807.5K,Thailand,12.7K,https://cdn.hypeauditor.com/img/instagram/user/501505319.jpg?w=150&till=1725148740&sign=e7afef2b1bd6131437b525319000bf23
29,jeanetteaw,Cinema & Actors/actresses,445.3K,Singapore,11K,https://cdn.hypeauditor.com/img/instagram/user/544285229.jpg?w=150&till=1725148740&sign=cd2e8e877031fb2f82ce7b4976df9d32
30,trumpster.d,Lifestyle,859.7K,Singapore,9.8K,https://cdn.hypeauditor.com/img/instagram/user/500202058.jpg?w=150&till=1725148740&sign=6a11a039cf47bade21061d753585149e
31,benjaminkheng,Music,450.9K,Singapore,12.9K,https://cdn.hypeauditor.com/img/instagram/user/181896432.jpg?w=150&till=1725148740&sign=5291f6bdb6796cbded4d26f69810eb17
32,djjaderasif,Lifestyle,541.6K,United States,12K,https://cdn.hypeauditor.com/img/instagram/user/325479860.jpg?w=150&till=1725148740&sign=f0cc11f4bcc332e88686b0727e6d8109
33,mohsenhatef,Business & Careers,255.3K,Singapore,20.9K,https://cdn.hypeauditor.com/img/instagram/user/3139156702.jpg?w=150&till=1725148740&sign=a0ad243ce9284234b2dec4391ed6372a
34,glennyqh,Lifestyle,495.3K,Singapore,9.1K,https://cdn.hypeauditor.com/img/instagram/user/202338296.jpg?w=150&till=1725148740&sign=aa12f948fbc337de4a89e5394e2bb030
35,rosario_ldn,Art/Artists,251.5K,Singapore,22K,https://cdn.hypeauditor.com/img/instagram/user/57792105435.jpg?w=150&till=1725148740&sign=b0522dfa287f1f47a55604c8edeb566a
36,ilhanfa,Sports with a ball,198.4K,Singapore,21.9K,https://cdn.hypeauditor.com/img/instagram/user/453115470.jpg?w=150&till=1725148740&sign=92098d242e9cd9cfdfd1b1750ebc1923
37,deniseteojiaqi,Gaming,260.2K,Singapore,17.1K,https://cdn.hypeauditor.com/img/instagram/user/52461804.jpg?w=150&till=1725148740&sign=ca0555135735f59fe2dc2b683d509a72
38,reakami,Computers & Gadgets,126.5K,Singapore,33.9K,https://cdn.hypeauditor.com/img/instagram/user/1535685433.jpg?w=150&till=1725148740&sign=326269e143b22f9455d74ab3ef642abe
39,ahsylle.antheia,,81.3K,Singapore,50.5K,https://cdn.hypeauditor.com/img/instagram/user/1977155963.jpg?w=150&till=1725148740&sign=866c0e786474614dbfb8dc065d2a7072
40,debbwie,Family,460.4K,Singapore,7.4K,https://cdn.hypeauditor.com/img/instagram/user/6562109.jpg?w=150&till=1725148740&sign=79c81ff824998dace95569ec40f55f2f
41,sgagsg,Humor & Fun & Happiness,821.5K,Singapore,3.9K,https://cdn.hypeauditor.com/img/instagram/user/293188374.jpg?w=150&till=1725148740&sign=8ce437fcf44f85ee1ba89d7602572b8b
42,vaunephan,Photography,142K,Singapore,36.1K,https://cdn.hypeauditor.com/img/instagram/user/17034274.jpg?w=150&till=1725148740&sign=d2f22d00e70df0e999c398eb0448b07b
43,singaporeair,Photography,1.5M,Singapore,2.5K,https://cdn.hypeauditor.com/img/instagram/user/1358641689.jpg?w=150&till=1725148740&sign=c8f5d94b070c78019536d0ec8d60a275
44,syafiqapls,Shows,190.5K,Singapore,16.6K,https://cdn.hypeauditor.com/img/instagram/user/418017656.jpg?w=150&till=1725148740&sign=8e0a9305fedfc6d1a5a28538e879ca5c
45,leehsienloong,Business & Careers,739.2K,Singapore,4K,https://cdn.hypeauditor.com/img/instagram/user/237806574.jpg?w=150&till=1725148740&sign=6a4f0f65d3c6ba51516c01240cdc44ff
46,jhonathanmacarilao,Photography,285.1K,India,11.2K,https://cdn.hypeauditor.com/img/instagram/user/989502891.jpg?w=150&till=1725148740&sign=aea41b579037e77b661b079d6380e60c
47,shookoboo,Gaming,165.7K,Singapore,16.9K,https://cdn.hypeauditor.com/img/instagram/user/640651299.jpg?w=150&till=1725148740&sign=a90323165e04afd26a4f25dd4aaf55a2
48,juhinars,Lifestyle,61.4K,Singapore,48K,https://cdn.hypeauditor.com/img/instagram/user/45347437.jpg?w=150&till=1725148740&sign=e70985ee4b8fe0e86bb09a11ea766ef4
49,ikhsanfandi,Sports with a ball,261.1K,Singapore,14K,https://cdn.hypeauditor.com/img/instagram/user/27665889.jpg?w=150&till=1725148740&sign=9bdcf6763d08d5c50586e030847d644f
50,una_iam,Lifestyle,981.8K,Taiwan,4.8K,https://cdn.hypeauditor.com/img/instagram/user/8233932296.jpg?w=150&till=1725148740&sign=08a8e8f5df76b2391473f12cdb317281
51,armaanmalik.live,Cinema & Actors/actresses,78.8K,Singapore,37.5K,https://cdn.hypeauditor.com/img/instagram/user/4132369543.jpg?w=150&till=1725148740&sign=fc4884874ba44ce6d5ec179048956492
52,straits_times,Shows,639.2K,Singapore,3.2K,https://cdn.hypeauditor.com/img/instagram/user/1091214028.jpg?w=150&till=1725148740&sign=62eee0223f49e309aad2b807a7a25e8a
53,zakiv4,Lifestyle,144.9K,Singapore,16.6K,https://cdn.hypeauditor.com/img/instagram/user/273331347.jpg?w=150&till=1725148740&sign=ba34f040965121d11354f242c9c00c99
54,verysallyish,Music,833K,Singapore,4K,https://cdn.hypeauditor.com/img/instagram/user/18166289.jpg?w=150&till=1725148740&sign=d0b3dcdf605e7d6d37d7d0dab457fd0d
55,dyrachyo,Modeling,89.6K,Singapore,19.6K,https://cdn.hypeauditor.com/img/instagram/user/6015959947.jpg?w=150&till=1725148740&sign=d53c4233dfaebc1363c4f1a3577e7a9e
56,deniseteojiaqi,Gaming,260.3K,Singapore,7.7K,https://cdn.hypeauditor.com/img/instagram/user/52461804.jpg?w=150&till=1725148740&sign=ca0555135735f59fe2dc2b683d509a72
57,nigowa_99,,90.7K,Singapore,18.5K,https://cdn.hypeauditor.com/img/instagram/user/49384965542.jpg?w=150&till=1725148740&sign=47412f87bbea60a55fa53eb6aea95d6c
58,sherlyninsta,,118.6K,Singapore,14.8K,https://cdn.hypeauditor.com/img/instagram/user/1682220925.jpg?w=150&till=1725148740&sign=f882c93394ef970a52f20aca43c26602
59,carriewst,Management & Marketing,386.4K,Singapore,4.3K,https://cdn.hypeauditor.com/img/instagram/user/10615198.jpg?w=150&till=1725148740&sign=c7d1b8e17c2a167b7de356d3ae3aee1a
60,diasekalab,Photography,151.5K,Singapore,10.3K,https://cdn.hypeauditor.com/img/instagram/user/7241390671.jpg?w=150&till=1725148740&sign=7b48109d0734de5ea581f808af57a975
61,aimeechengbradshaw,Fitness & Gym,294.2K,Singapore,7.2K,https://cdn.hypeauditor.com/img/instagram/user/43444247.jpg?w=150&till=1725148740&sign=e6c7945b5163d3170429b23000169a8d
62,glaglathis,Beauty,166.5K,Singapore,12.8K,https://cdn.hypeauditor.com/img/instagram/user/254975693.jpg?w=150&till=1725148740&sign=8806c5e431a20fbca8f416b15ec64f90
63,elizabethboon,Cinema & Actors/actresses,298.8K,Singapore,5.6K,https://cdn.hypeauditor.com/img/instagram/user/183276969.jpg?w=150&till=1725148740&sign=777e634a829313ad30a975c0e2ef7536
64,annettelee,Music,216.9K,Singapore,6.7K,https://cdn.hypeauditor.com/img/instagram/user/276725761.jpg?w=150&till=1725148740&sign=cf1ad84bf522a695823e7ff61b9262f9
65,limrebecca,Lifestyle,459.5K,Singapore,3.2K,https://cdn.hypeauditor.com/img/instagram/user/144125164.jpg?w=150&till=1725148740&sign=1cec98e168823eeb358f2d8e56ad862d
66,meganmeltdown,,220.1K,Singapore,6K,https://cdn.hypeauditor.com/img/instagram/user/44453799806.jpg?w=150&till=1725148740&sign=40ce41b9f32f257cdb183542d902a754
67,jaspersjaspers,Family,187.7K,Malaysia,9.1K,https://cdn.hypeauditor.com/img/instagram/user/247538574.jpg?w=150&till=1725148740&sign=1921cba7933245a789f3a072b012d1de
68,xarissaxcheox,Cinema & Actors/actresses,348.3K,Singapore,5.7K,https://cdn.hypeauditor.com/img/instagram/user/5963703.jpg?w=150&till=1725148740&sign=79199373b879d90695ebe8d9eda8cd2b
69,toshrock,Cinema & Actors/actresses,317.2K,Malaysia,5.4K,https://cdn.hypeauditor.com/img/instagram/user/5387098.jpg?w=150&till=1725148740&sign=d7e019201202c6d22041c7ad05ab2afb
70,threepetalstudio,Sweets & Bakery,34.7K,Singapore,43.8K,https://cdn.hypeauditor.com/img/instagram/user/5381619128.jpg?w=150&till=1725148740&sign=4936c140098f501e648baf9bfaf931af
71,qimmyshimmy,,208.5K,Singapore,6.1K,https://cdn.hypeauditor.com/img/instagram/user/25288457.jpg?w=150&till=1725148740&sign=a3b957fef297246a5144eab6f3b14283
72,mrpianominion,Music,40.1K,Singapore,41.3K,https://cdn.hypeauditor.com/img/instagram/user/1941311727.jpg?w=150&till=1725148740&sign=399b7ac24295b828fa1892bf39c73009
73,xplacidacidx,Cinema & Actors/actresses,392K,Singapore,5.7K,https://cdn.hypeauditor.com/img/instagram/user/16838685.jpg?w=150&till=1725148740&sign=7e4d269a31acbf2750b3aaeaa7ddd360
74,lennardy,Food & Cooking,409.2K,Singapore,3.4K,https://cdn.hypeauditor.com/img/instagram/user/41858353.jpg?w=150&till=1725148740&sign=3c13cdef41afcd892465f10faef65f4c
75,jiaqiwoo,Cinema & Actors/actresses,543.8K,Malaysia,2.8K,https://cdn.hypeauditor.com/img/instagram/user/18586764.jpg?w=150&till=1725148740&sign=8dc50e0dd18b64cf950e6088dc969fba
76,kawasakinozomi,Kids & Toys,298.9K,Singapore,3.1K,https://cdn.hypeauditor.com/img/instagram/user/645649510.jpg?w=150&till=1725148740&sign=421a1e6eb2f2bd08f47f49b1c4e9a197
77,xixilimofficial,Cinema & Actors/actresses,73K,Singapore,20.7K,https://cdn.hypeauditor.com/img/instagram/user/23494275.jpg?w=150&till=1725148740&sign=2189dfd3b276cc985dc819e5c0e99abc
78,houseofchais,DIY & Design,320.9K,United States,4.2K,https://cdn.hypeauditor.com/img/instagram/user/7364516265.jpg?w=150&till=1725148740&sign=64474c409ad363a4cf12acf5d45860d4
79,kaviammu_1002,,13K,Singapore,93.8K,https://cdn.hypeauditor.com/img/instagram/user/4180093581.jpg?w=150&till=1725148740&sign=54c43bbe498b67b97bc91153c442d9f3
80,jesssseca,Lifestyle,361.1K,Singapore,2.9K,https://cdn.hypeauditor.com/img/instagram/user/146131123.jpg?w=150&till=1725148740&sign=958ebfecf35386685ccf30c93cfe7029
81,yvonnelim928,Family,271.4K,Singapore,4.3K,https://cdn.hypeauditor.com/img/instagram/user/1692810270.jpg?w=150&till=1725148740&sign=6c982c2eae94bef75d0f5cbb9ad26c7b
82,channelnewsasia,Shows,779.8K,Singapore,1.4K,https://cdn.hypeauditor.com/img/instagram/user/207567201.jpg?w=150&till=1725148740&sign=54139a086be05b04332df7e17c190a0d
83,amr_clara,Lifestyle,251K,Singapore,5K,https://cdn.hypeauditor.com/img/instagram/user/1364924737.jpg?w=150&till=1725148740&sign=2d4bfbad0b047db86038a90632beec65
84,honglingg_,Cinema & Actors/actresses,199.3K,Singapore,5.9K,https://cdn.hypeauditor.com/img/instagram/user/176138851.jpg?w=150&till=1725148740&sign=fef0d016205d6145de96125dd1666009
85,hellotasrif,,208.8K,Singapore,5K,https://cdn.hypeauditor.com/img/instagram/user/4138618331.jpg?w=150&till=1725148740&sign=28e83f6632212055fd60d8aa41c5aacd
86,crysta.bel,Lifestyle,131.7K,Singapore,8K,https://cdn.hypeauditor.com/img/instagram/user/231896471.jpg?w=150&till=1725148740&sign=ba5277c1385d2a34d1028f1f0d693e7d
87,nivaa.sh,Lifestyle,302.4K,Singapore,4.4K,https://cdn.hypeauditor.com/img/instagram/user/231122636.jpg?w=150&till=1725148740&sign=d572a587b15c92adb03c6269692f9bb6
88,vspomnii,,28.4K,Singapore,39.1K,https://cdn.hypeauditor.com/img/instagram/user/38266274772.jpg?w=150&till=1725148740&sign=4c54864e2c8b2dabc077708b08261d96
89,gin_ster,Family,130.4K,Singapore,9K,https://cdn.hypeauditor.com/img/instagram/user/17622655148.jpg?w=150&till=1725148740&sign=f665f32f28f86998bcbf58c6ad055127
90,hiddenjemmmig,Food & Cooking,93.7K,Singapore,10K,https://cdn.hypeauditor.com/img/instagram/user/60008758595.jpg?w=150&till=1725148740&sign=6372d33ef2fd973be542b4003ae9cbc5
